# lemma(1sg.pres)	V;1;SG;IND;PRS	V;2;SG;IND;PRS	V;3;SG;IND;PRS	V;1;PL;IND;PRS	V;2;PL;IND;PRS	V;3;PL;IND;PRS	V;1;SG;IND;IPFV	V;2;SG;IND;IPFV	V;3;SG;IND;IPFV	V;1;PL;IND;IPFV	V;2;PL;IND;IPFV	V;3;PL;IND;IPFV	V;1;SG;IND;PST	V;2;SG;IND;PST	V;3;SG;IND;PST	V;1;PL;IND;PST	V;2;PL;IND;PST	V;3;PL;IND;PST	V;1;SG;ADM;PRS	V;2;SG;ADM;PRS	V;3;SG;ADM;PRS	V;1;PL;ADM;PRS	V;2;PL;ADM;PRS	V;3;PL;ADM;PRS	V;1;SG;ADM;IPFV	V;2;SG;ADM;IPFV	V;3;SG;ADM;IPFV	V;1;PL;ADM;IPFV	V;2;PL;ADM;IPFV	V;3;PL;ADM;IPFV	V;2;SG;IMP	V;2;PL;IMP	V;V.PTCP  ("-" = productive -oj default)
afrimohem	afirmohem	afirmohesh	afirmohet	afirmohemi	afirmoheni	afirmohen	afirmohesha	afirmoheshe	afirmohej	afirmoheshim	afirmoheshit	afirmoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afirmohu	afirmohuni	afirmuar
afrohem	afrohem	afrohesh	afrohet	afrohemi	afroheni	afrohen	afrohesha	afroheshe	afrohej	afroheshim	afroheshit	afroheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	afrohu	afrohuni	afruar
ajros	ajros	ajros	ajros	ajrosim	ajrosni	ajrosin	ajrosja	ajrosje	ajroste	ajrosnim	ajrosnit	ajrosnin	ajrosa	ajrose	ajrosi	ajrosëm	ajrosët	ajrosën	ajroskam	ajroske	ajroska	ajroskemi	ajroskeni	ajroskan	ajroskësha	ajroskëshe	ajroskësh	ajroskëshim	ajroskëshit	ajroskëshin	ajros	ajrosni	ajrosur
alarmohem	alarmohem	alarmohesh	alarmohet	alarmohemi	alarmoheni	alarmohen	alarmohesha	alarmoheshe	alarmohej	alarmoheshim	alarmoheshit	alarmoheshin	alarmova	alarmove	alarmoi	alarmuam	alarmuat	alarmuan	alarmuakam	alarmuake	alarmuaka	alarmuakemi	alarmuakeni	alarmuakan	alarmuakësha	alarmuakëshe	alarmuakësh	alarmuakëshim	alarmuakëshit	alarmuakëshin	alarmo	alarmohuni	alarmuar
alarmoj	alarmohem	alarmohesh	alarmohet	alarmohemi	alarmoheni	alarmohen	alarmohesha	alarmoheshe	alarmohej	alarmoheshim	alarmoheshit	alarmoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	alarmohuni	-
angllatis	angllatis	angllatis	angllatis	angllatisim	angllatisni	angllatisin	angllatisja	angllatisje	angllatiste	angllatisnim	angllatisnit	angllatisnin	angllatisa	angllatise	angllatisi	angllatisëm	angllatisët	angllatisën	angllatiskam	angllatiske	angllatiska	angllatiskemi	angllatiskeni	angllatiskan	angllatiskësha	angllatiskëshe	angllatiskësh	angllatiskëshim	angllatiskëshit	angllatiskëshin	angllatis	angllatisni	angllatisur
angërdufem	angërdufem	angërdufesh	angërdufet	angërdufemi	angërdufeni	angërdufen	angërdufesha	angërdufeshe	angërdufej	angërdufeshim	angërdufeshit	angërdufeshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	angërdufu	angërdufuni	angërdufur
ankohem	ankohem	ankohesh	ankohet	ankohemi	ankoheni	ankohen	ankohesha	ankoheshe	ankohej	ankoheshim	ankoheshit	ankoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ankohu	ankohuni	ankuar
ap	jap	jep	jep	japim	jepni	japin	jepja	jepje	jepte	jepnim	jepnit	jepnin	dhashë	dhe	dha	dhamë	dhatë	dhanë	dhënkam	dhënke	dhënka	dhënkemi	dhënkeni	dhënkan	dhënkësha	dhënkëshe	dhënkësh	dhënkëshim	dhënkëshit	dhënkëshin	jep	jepni	dhënë
aprovoj	aprooj	aproon	aproon	aproojmë	aprooni	aproojnë	aprooja	aprooje	aproonte	aproonim	aproonit	aproonin	aproova	aproove	aprooi	aprouam	aprouat	aprouan	aprouakam	aprouake	aprouaka	aprouakemi	aprouakeni	aprouakan	aprouakësha	aprouakëshe	aprouakësh	aprouakëshim	aprouakëshit	aprouakëshin	aproo	aprooni	aprouar
argëtohem	argëtohem	argëtohesh	argëtohet	argëtohemi	argëtoheni	argëtohen	argëtohesha	argëtoheshe	argëtohej	argëtoheshim	argëtoheshit	argëtoheshin	argëtova	argëtove	argëtoi	argëtuam	argëtuat	argëtuan	argëtuakam	argëtuake	argëtuaka	argëtuakemi	argëtuakeni	argëtuakan	argëtuakësha	argëtuakëshe	argëtuakësh	argëtuakëshim	argëtuakëshit	argëtuakëshin	argëto	argëtohuni	argëtuar
armatos	armatos	armatos	armatos	armatosim	armatosni	armatosin	armatosja	armatosje	armatoste	armatosnim	armatosnit	armatosnin	armatosa	armatose	armatosi	armatosëm	armatosët	armatosën	armatoskam	armatoske	armatoska	armatoskemi	armatoskeni	armatoskan	armatoskësha	armatoskëshe	armatoskësh	armatoskëshim	armatoskëshit	armatoskëshin	armatos	armatosni	armatosur
arnis	arnis	arnis	arnis	arnisemi	arniseni	arnisen	arnisesha	arniseshe	arnisej	arniseshim	arniseshit	arniseshin	arnisa	arnise	arnisi	arnisëm	arnisët	arnisën	arniskam	arniske	arniska	arniskemi	arniskeni	arniskan	arniskësha	arniskëshe	arniskësh	arniskëshim	arniskëshit	arniskëshin	arnis	arnisni	arnisur
arratis	arratis	arratis	arratis	arratisim	arratisni	arratisin	arratisja	arratisje	arratiste	arratisnim	arratisnit	arratisnin	arratisa	arratise	arratisi	arratisëm	arratisët	arratisën	arratiskam	arratiske	arratiska	arratiskemi	arratiskeni	arratiskan	arratiskësha	arratiskëshe	arratiskësh	arratiskëshim	arratiskëshit	arratiskëshin	arratis	arratisni	arratisur
arratisem	arratisem	arratisesh	arratiset	arratisemi	arratiseni	arratisen	arratisesha	arratiseshe	arratisej	arratiseshim	arratiseshit	arratiseshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	arratisu	arratisuni	arratisuar
ath	ath	ath	ath	athim	athni	athin	athja	athje	athte	athnim	athnit	athnin	atha	athe	athi	athëm	athët	athën	athkam	athke	athka	athkemi	athkeni	athkan	athkësha	athkëshe	athkësh	athkëshim	athkëshit	athkëshin	ath	athni	athur
avit	avit	avit	avit	avitim	avitni	avitin	avitja	avitje	avitte	avitnim	avitnit	avitnin	avita	avite	aviti	avitëm	avitët	avitën	avitkam	avitke	avitka	avitkemi	avitkeni	avitkan	avitkësha	avitkëshe	avitkësh	avitkëshim	avitkëshit	avitkëshin	avit	avitni	avitur
barazohem	barazohem	barazohesh	barazohet	barazohemi	barazoheni	barazohen	barazohesha	barazoheshe	barazohej	barazoheshim	barazoheshit	barazoheshin	barazova	barazove	barazoi	barazuam	barazuat	barazuan	barazuakam	barazuake	barazuaka	barazuakemi	barazuakeni	barazuakan	barazuakësha	barazuakëshe	barazuakësh	barazuakëshim	barazuakëshit	barazuakëshin	barazo	barazohuni	barazuar
barazoj	barazohem	barazohesh	barazohet	barazohemi	barazoheni	barazohen	barazohesha	barazoheshe	barazohej	barazoheshim	barazoheshit	barazoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	barazohuni	-
barros	barros	barros	barros	barrosim	barrosni	barrosin	barrosja	barrosje	barroste	barrosnim	barrosnit	barrosnin	barrosa	barrose	barrosi	barrosëm	barrosët	barrosën	barroskam	barroske	barroska	barroskemi	barroskeni	barroskan	barroskësha	barroskëshe	barroskësh	barroskëshim	barroskëshit	barroskëshin	barros	barrosni	barrosur
bashkohem	bashkohem	bashkohesh	bashkohet	bashkohemi	bashkoheni	bashkohen	bashkohesha	bashkoheshe	bashkohej	bashkoheshim	bashkoheshit	bashkoheshin	bashkova	bashkove	bashkoi	bashkuam	bashkuat	bashkuan	bashkuakam	bashkuake	bashkuaka	bashkuakemi	bashkuakeni	bashkuakan	bashkuakësha	bashkuakëshe	bashkuakësh	bashkuakëshim	bashkuakëshit	bashkuakëshin	bashko	bashkohuni	bashkuar
bashkëbart	bashkëbart	bashkëbart	bashkëbart	bashkëbartim	bashkëbartni	bashkëbartin	bashkëbartja	bashkëbartje	bashkëbartte	bashkëbartnim	bashkëbartnit	bashkëbartnin	bashkëbarta	bashkëbarte	bashkëbarti	bashkëbartëm	bashkëbartët	bashkëbartën	bashkëbartkam	bashkëbartke	bashkëbartka	bashkëbartkemi	bashkëbartkeni	bashkëbartkan	bashkëbartkësha	bashkëbartkëshe	bashkëbartkësh	bashkëbartkëshim	bashkëbartkëshit	bashkëbartkëshin	bashkëbart	bashkëbartni	bashkëbartur
bastis	bastis	bastis	bastis	bastisim	bastisni	bastisin	bastisja	bastisje	bastiste	bastisnim	bastisnit	bastisnin	bastisa	bastise	bastisi	bastisëm	bastisët	bastisën	bastiskam	bastiske	bastiska	bastiskemi	bastiskeni	bastiskan	bastiskësha	bastiskëshe	bastiskësh	bastiskëshim	bastiskëshit	bastiskëshin	bastis	bastisni	bastisur
begenis	begenis	begenis	begenis	begenisim	begenisni	begenisin	begenisja	begenisje	begeniste	begenisnim	begenisnit	begenisnin	begenisa	begenise	begenisi	begenisëm	begenisët	begenisën	begeniskam	begeniske	begeniska	begeniskemi	begeniskeni	begeniskan	begeniskësha	begeniskëshe	begeniskësh	begeniskëshim	begeniskëshit	begeniskëshin	begenis	begenisni	begenisur
betohem	betohem	betohesh	betohet	betohemi	betoheni	betohen	betohesha	betoheshe	betohej	betoheshim	betoheshit	betoheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	betohu	betohuni	betuar
bezdis	bezdis	bezdis	bezdis	bezdisim	bezdisni	bezdisin	bezdisja	bezdisje	bezdiste	bezdisnim	bezdisnit	bezdisnin	bezdisa	bezdise	bezdisi	bezdisëm	bezdisët	bezdisën	bezdiskam	bezdiske	bezdiska	bezdiskemi	bezdiskeni	bezdiskan	bezdiskësha	bezdiskëshe	bezdiskësh	bezdiskëshim	bezdiskëshit	bezdiskëshin	bezdis	bezdisni	bezdisur
bezdisem	bezdisem	bezdisesh	bezdiset	bezdisemi	bezdiseni	bezdisen	bezdisesha	bezdiseshe	bezdisej	bezdiseshim	bezdiseshit	bezdiseshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bezdisu	bezdisuni	bezdisur
bie	bie	bie	bie	biem	bini	bien	bija	bije	binte	binim	binit	binin	prura	prure	pruri	prumë	prutë	prunë	prukam	pruke	pruka	prukemi	prukeni	prukan	prukësha	prukëshe	prukësh	prukëshim	prukëshit	prukëshin	bjer	bini	prurë
bind	bind	bind	bind	bindim	bindni	bindin	bindja	bindje	bindte	bindnim	bindnit	bindnin	binda	binde	bindi	bindëm	bindët	bindën	bindkam	bindke	bindka	bindkemi	bindkeni	bindkan	bindkësha	bindkëshe	bindkësh	bindkëshim	bindkëshit	bindkëshin	bind	bindni	bindur
birrem	birrem	birresh	birret	birremi	birreni	birren	birresha	birreshe	birrej	birreshim	birreshit	birreshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Birru!	Birruni!	bjerrë
bitis	bitis	bitis	bitis	bitisemi	bitiseni	bitisen	bitisesha	bitiseshe	bitisej	bitiseshim	bitiseshit	bitiseshin	bitisa	bitise	bitisi	bitisëm	bitisët	bitisën	bitiskam	bitiske	bitiska	bitiskemi	bitiskeni	bitiskan	bitiskësha	bitiskëshe	bitiskësh	bitiskëshim	bitiskëshit	bitiskëshin	bitis	bitisni	bitisur
bjerr	bjerr	bjerr	bjerr	bjerrim	birrni	bjerrin	birrja	birrje	birrte	birrnim	birrnit	birrnin	bora	bore	bori	borëm	borët	borën	bjerrkam	bjerrke	bjerrka	bjerrkemi	bjerrkeni	bjerrkan	bjerrkësha	bjerrkëshe	bjerrkej	bjerrkëshim	bjerrkëshit	bjerrkëshin	birr	birrni	bjerrë
blihem	blihem	blihesh	blihet	blihemi	bliheni	blihen	blihesha	bliheshe	blihej	bliheshim	bliheshit	bliheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Blihu!	Blihuni!	blerë
boshatis	boshatis	boshatis	boshatis	boshatisim	boshatisni	boshatisin	boshatisja	boshatisje	boshatiste	boshatisnim	boshatisnit	boshatisnin	boshatisa	boshatise	boshatisi	boshatisëm	boshatisët	boshatisën	boshatiskam	boshatiske	boshatiska	boshatiskemi	boshatiskeni	boshatiskan	boshatiskësha	boshatiskëshe	boshatiskësh	boshatiskëshim	boshatiskëshit	boshatiskëshin	boshatis	boshatisni	boshatisur
braktis	braktis	braktis	braktis	braktisim	braktisni	braktisin	braktisja	braktisje	braktiste	braktisnim	braktisnit	braktisnin	braktisa	braktise	braktisi	braktisëm	braktisët	braktisën	braktiskam	braktiske	braktiska	braktiskemi	braktiskeni	braktiskan	braktiskësha	braktiskëshe	braktiskësh	braktiskëshim	braktiskëshit	braktiskëshin	braktis	braktisni	braktisur
braktisem	braktisem	braktisesh	braktiset	braktisemi	braktiseni	braktisen	braktisesha	braktiseshe	braktisej	braktiseshim	braktiseshit	braktiseshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	braktisu	braktisuni	braktisur
bredh	bredh	bredh	bredh	bredhim	bredhni	bredhin	bridhja	bridhje	bridhte	bridhnim	bridhnit	bridhnin	brodha	brodhe	brodhi	brodhëm	brodhët	brodhën	bredhkam	bredhke	bredhka	bredhkemi	bredhkeni	bredhkan	bredhkësha	bredhkëshe	bredhkësh	bredhkëshim	bredhkëshit	bredhkëshin	bridh	bridhni	bredhur
brehem	brehem	brehesh	brehet	brehemi	breheni	brehen	brehesha	breheshe	brehej	breheshim	breheshit	breheshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Brehu!	Brehuni!	brejtur
brej	brej	bren	bren	brejmë	breni	brejnë	breja	breje	brente	brenim	brenit	brenin	brejta	brejte	brejti	brejtëm	brejtët	brejtën	brejtkam	brejtke	brejtka	brejtkemi	brejtkeni	brejtkan	brejtkësha	brejtkëshe	brejtkej	brejtkëshim	brejtkëshit	brejtkëshin	Brej!	Breni!	brejtur
brengos	brengos	brengos	brengos	brengosim	brengosni	brengosin	brengosja	brengosje	brengoste	brengosnim	brengosnit	brengosnin	brengosa	brengose	brengosi	brengosëm	brengosët	brengosën	brengoskam	brengoske	brengoska	brengoskemi	brengoskeni	brengoskan	brengoskësha	brengoskëshe	brengoskësh	brengoskëshim	brengoskëshit	brengoskëshin	brengos	brengosni	brengosur
brengosem	brengosem	brengosesh	brengoset	brengosemi	brengoseni	brengosen	brengosesha	brengoseshe	brengosej	brengoseshim	brengoseshit	brengoseshin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	brengosu	brengosuni	brengosur
brij	brij	brin	brin	brijmë	brini	brijnë	brija	brije	brinte	brinim	brinit	brinin	briva	brive	briu	brimë	britë	brinë	brikam	brike	brika	brikemi	brikeni	brikan	brikësha	brikëshe	brikësh	brikëshim	brikëshit	brikëshin	bri	brini	brirë
brof	brof	brof	brof	brofim	brofni	brofin	brofja	brofje	brofte	brofnim	brofnit	brofnin	brofa	brofe	brofi	brofëm	brofët	brofën	brofkam	brofke	brofka	brofkemi	brofkeni	brofkan	brofkësha	brofkëshe	brofkësh	brofkëshim	brofkëshit	brofkëshin	brof	brofni	brofur
brydh	brydh	brydh	brydh	brydhim	brydhni	brydhin	brydhja	brydhje	brydhte	brydhnim	brydhnit	brydhnin	brydha	brydhe	brydhi	brydhëm	brydhët	brydhën	brydhkam	brydhke	brydhka	brydhkemi	brydhkeni	brydhkan	brydhkësha	brydhkëshe	brydhkësh	brydhkëshim	brydhkëshit	brydhkëshin	brydh	brydhni	brydhur
burgos	burgos	burgos	burgos	burgosim	burgosni	burgosin	burgosja	burgosje	burgoste	burgosnim	burgosnit	burgosnin	burgosa	burgose	burgosi	burgosëm	burgosët	burgosën	burgoskam	burgoske	burgoska	burgoskemi	burgoskeni	burgoskan	burgoskësha	burgoskëshe	burgoskësh	burgoskëshim	burgoskëshit	burgoskëshin	burgos	burgosni	burgosur
buzëqesh	buzëqesh	buzëqesh	buzëqesh	buzëqeshim	buzëqeshni	buzëqeshin	buzëqeshja	buzëqeshje	buzëqeshte	buzëqeshnim	buzëqeshnit	buzëqeshnin	buzëqesha	buzëqeshe	buzëqeshi	buzëqeshëm	buzëqeshët	buzëqeshën	buzëqeshkam	buzëqeshke	buzëqeshka	buzëqeshkemi	buzëqeshkeni	buzëqeshkan	buzëqeshkësha	buzëqeshkëshe	buzëqeshkësh	buzëqeshkëshim	buzëqeshkëshit	buzëqeshkëshin	buzëqesh	buzëqeshni	buzëqeshur
bymej	bymej	bymen	bymen	bymejmë	bymeni	bymejnë	bymeja	bymeje	bymente	bymenim	bymenit	bymenin	bymeva	bymeve	bymeu	bymyem	bymyet	bymyen	bymyekam	bymyeke	bymyeka	bymyekemi	bymyekeni	bymyekan	bymyekësha	bymyekëshe	bymyekësh	bymyekëshim	bymyekëshit	bymyekëshin	byme	bymeni	bymyer
byr	byr	byr	byr	byrim	byrni	byrin	byrja	byrje	byrte	byrnim	byrnit	byrnin	byra	byre	byri	byrëm	byrët	byrën	byrkam	byrke	byrka	byrkemi	byrkeni	byrkan	byrkësha	byrkëshe	byrkësh	byrkëshim	byrkëshit	byrkëshin	byr	byrni	byrur
bëhem	bëhem	bëhesh	bëhet	bëhemi	bëheni	bëhen	bëhesha	bëheshe	bëhesh	bëheshim	bëheshit	bëheshin	bëra	bëre	bëri	bëmë	bëtë	bënë	bëkam	bëke	bëka	bëkemi	bëkeni	bëkan	bëkësha	bëkëshe	bëkësh	bëkëshim	bëkëshit	bëkëshin	bëhu	bëhuni	bërë
bëj	bëj	bën	bën	bëjmë	bëni	bëjnë	bëja	bëje	bënte	bënim	bënit	bënin	bëra	bëre	bëri	bëmë	bëtë	bënë	bëkam	bëke	bëka	bëkemi	bëkeni	bëkan	bëkësha	bëkëshe	bëkësh	bëkëshim	bëkëshit	bëkëshin	bëj	bëni	bërë
bërbëlit	bërbëlit	bërbëlit	bërbëlit	bërbëlitim	bërbëlitni	bërbëlitin	bërbëlitja	bërbëlitje	bërbëlitte	bërbëlitnim	bërbëlitnit	bërbëlitnin	bërbëlita	bërbëlite	bërbëliti	bërbëlitëm	bërbëlitët	bërbëlitën	bërbëlitkam	bërbëlitke	bërbëlitka	bërbëlitkemi	bërbëlitkeni	bërbëlitkan	bërbëlitkësha	bërbëlitkëshe	bërbëlitkësh	bërbëlitkëshim	bërbëlitkëshit	bërbëlitkëshin	bërbëlit	bërbëlitni	bërbëlitur
bërtas	bërtas	bërtet	bërtet	bërtasim	bërtitni	bërtasin	bërtitja	bërtitje	bërtiste	bërtitnim	bërtitnit	bërtitnin	bërtita	bërtite	bërtiti	bërtitëm	bërtitët	bërtitën	bërtitkam	bërtitke	bërtitka	bërtitkemi	bërtitkeni	bërtitkan	bërtitkësha	bërtitkëshe	bërtitkësh	bërtitkëshim	bërtitkëshit	bërtitkëshin	bërtit	bërtitni	bërtitur
cac	cac	cac	cac	cacim	cacni	cacin	cacja	cacje	cacte	cacnim	cacnit	cacnin	caca	cace	caci	cacëm	cacët	cacën	cackam	cacke	cacka	cackemi	cackeni	cackan	cackësha	cackëshe	cackësh	cackëshim	cackëshit	cackëshin	cac	cacni	cacur
cacit	cacit	cacit	cacit	cacitim	cacitni	cacitin	cacitja	cacitje	cacitte	cacitnim	cacitnit	cacitnin	cacita	cacite	caciti	cacitëm	cacitët	cacitën	cacitkam	cacitke	cacitka	cacitkemi	cacitkeni	cacitkan	cacitkësha	cacitkëshe	cacitkësh	cacitkëshim	cacitkëshit	cacitkëshin	cacit	cacitni	cacitur
cak	cak	cak	cak	cakim	cakni	cakin	cakja	cakje	cakte	caknim	caknit	caknin	caka	cake	caku	cakëm	cakët	cakën	cakkam	cakke	cakka	cakkemi	cakkeni	cakkan	cakkësha	cakkëshe	cakkësh	cakkëshim	cakkëshit	cakkëshin	cak	cakni	cakur
cakis	cakis	cakis	cakis	cakisim	cakisni	cakisin	cakisja	cakisje	cakiste	cakisnim	cakisnit	cakisnin	cakisa	cakise	cakisi	cakisëm	cakisët	cakisën	cakiskam	cakiske	cakiska	cakiskemi	cakiskeni	cakiskan	cakiskësha	cakiskëshe	cakiskësh	cakiskëshim	cakiskëshit	cakiskëshin	cakis	cakisni	cakisur
cakos	cakos	cakos	cakos	cakosim	cakosni	cakosin	cakosja	cakosje	cakoste	cakosnim	cakosnit	cakosnin	cakosa	cakose	cakosi	cakosëm	cakosët	cakosën	cakoskam	cakoske	cakoska	cakoskemi	cakoskeni	cakoskan	cakoskësha	cakoskëshe	cakoskësh	cakoskëshim	cakoskëshit	cakoskëshin	cakos	cakosni	cakosur
camruk	camruk	camruk	camruk	camrukim	camrukni	camrukin	camrukja	camrukje	camrukte	camruknim	camruknit	camruknin	camruka	camruke	camruki	camrukëm	camrukët	camrukën	camrukkam	camrukke	camrukka	camrukkemi	camrukkeni	camrukkan	camrukkësha	camrukkëshe	camrukkësh	camrukkëshim	camrukkëshit	camrukkëshin	camruk	camrukni	camrukur
caqis	cakis	cakis	cakis	cakisim	cakisni	cakisin	cakisja	cakisje	cakiste	cakisnim	cakisnit	cakisnin	cakisa	cakise	cakisi	cakisëm	cakisët	cakisën	cakiskam	cakiske	cakiska	cakiskemi	cakiskeni	cakiskan	cakiskësha	cakiskëshe	cakiskësh	cakiskëshim	cakiskëshit	cakiskëshin	cakis	cakisni	cakisur
carb	carb	carb	carb	carbim	carbni	carbin	carbja	carbje	carbte	carbnim	carbnit	carbnin	carba	carbe	carbi	carbëm	carbët	carbën	carbkam	carbke	carbka	carbkemi	carbkeni	carbkan	carbkësha	carbkëshe	carbkësh	carbkëshim	carbkëshit	carbkëshin	carb	carbni	carbur
cazit	cazit	cazit	cazit	cazitim	cazitni	cazitin	cazitja	cazitje	cazitte	cazitnim	cazitnit	cazitnin	cazita	cazite	caziti	cazitëm	cazitët	cazitën	cazitkam	cazitke	cazitka	cazitkemi	cazitkeni	cazitkan	cazitkësha	cazitkëshe	cazitkësh	cazitkëshim	cazitkëshit	cazitkëshin	cazit	cazitni	cazitur
ceflis	ceflis	ceflis	ceflis	ceflisim	ceflisni	ceflisin	ceflisja	ceflisje	cefliste	ceflisnim	ceflisnit	ceflisnin	ceflisa	ceflise	ceflisi	ceflisëm	ceflisët	ceflisën	cefliskam	cefliske	cefliska	cefliskemi	cefliskeni	cefliskan	cefliskësha	cefliskëshe	cefliskësh	cefliskëshim	cefliskëshit	cefliskëshin	ceflis	ceflisni	ceflisur
cek	cek	cek	cek	cekim	cekni	cekin	cekja	cekje	cekte	ceknim	ceknit	ceknin	ceka	ceke	ceku	cekëm	cekët	cekën	cekkam	cekke	cekka	cekkemi	cekkeni	cekkan	cekkësha	cekkëshe	cekkësh	cekkëshim	cekkëshit	cekkëshin	cek	cekni	cekur
