# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;PST;1;SG	V;PST;2;SG	V;PST;3;SG	V;PST;1;PL	V;PST;2;PL	V;PST;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;AOR;1;SG	V;AOR;2;SG	V;AOR;3;SG	V;AOR;1;PL	V;AOR;2;PL	V;AOR;3;PL	V;IMP;2;SG	V;IMP;2;PL	V;NFIN
aldatmaq	aldadıram	aldadırsan	aldadır	aldadırıq	aldadırsınız	aldadırlar	-	-	-	-	-	-	aldadacağam	aldadacaqsan	aldadacaq	aldadacağıq	aldadacaqsınız	aldadacaqlar	aldadaram	aldadarsan	aldadar	aldadarıq	aldadarsınız	aldadarlar	-	aldadalım	-
döydürmək	döydürirəm	döydürirsən	döydürir	döydüririk	döydürirsiniz	döydürirlər	döydürdim	döydürdin	döydürdi	döydürdik	döydürdiniz	döydürdilər	-	-	-	döydürəcəyik	döydürəcəksiniz	-	-	-	-	döydürərik	döydürərsiniz	-	-	döydürin	-
döymək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	döyəcəyik	döyəcəksiniz	-	-	-	-	döyərik	döyərsiniz	-	-	-	-
döyülmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	döyüləcəyik	döyüləcəksiniz	-	-	-	-	döyülərik	döyülərsiniz	-	-	-	-
döyünmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	döyünəcəyik	döyünəcəksiniz	-	-	-	-	döyünərik	döyünərsiniz	-	-	-	-
döyüşmək	döyüşuram	döyüşursan	döyüşur	döyüşuruq	döyüşursunuz	döyüşurlar	döyüşdum	döyüşdun	döyüşdu	döyüşduq	döyüşdunuz	döyüşdular	döyüşacağam	döyüşacaqsan	döyüşacaq	döyüşacağıq	döyüşacaqsınız	döyüşacaqlar	döyüşaram	döyüşarsan	döyüşar	döyüşarıq	döyüşarsınız	döyüşarlar	-	döyüşalım	döyüşmaq
dözmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dözəcəyik	dözəcəksiniz	-	-	-	-	dözərik	dözərsiniz	-	-	-	-
dözülmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dözüləcəyik	dözüləcəksiniz	-	-	-	-	dözülərik	dözülərsiniz	-	-	-	-
dürtmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dürtəcəyik	dürtəcəksiniz	-	-	-	-	dürtərik	dürtərsiniz	-	-	-	-
düymək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	düyəcəyik	düyəcəksiniz	-	-	-	-	düyərik	düyərsiniz	-	-	-	-
düzmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	düzəcəyik	düzəcəksiniz	-	-	-	-	düzərik	düzərsiniz	-	-	-	-
düzəltmək	düzəldirəm	düzəldirsən	düzəldir	düzəldirik	düzəldirsiniz	düzəldirlər	-	-	-	-	-	-	düzəldəcəyəm	düzəldəcəksən	düzəldəcək	düzəldəcəyik	düzəldəcəksiniz	düzəldəcəklər	düzəldərəm	düzəldərsən	düzəldər	düzəldərik	düzəldərsiniz	düzəldərlər	-	düzəldin	-
düşmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	düşəcəyik	düşəcəksiniz	-	-	-	-	düşərik	düşərsiniz	-	-	-	-
düşünmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	düşünəcəyik	düşünəcəksiniz	-	-	-	-	düşünərik	düşünərsiniz	-	-	-	-
düşürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	düşürəcəyik	düşürəcəksiniz	-	-	-	-	düşürərik	düşürərsiniz	-	-	-	-
etmək	edirəm	edirsən	edir	edirik	edirsiniz	edirlər	-	-	-	-	-	-	edəcəyəm	edəcəksən	edəcək	edəcəyik	edəcəksiniz	edəcəklər	edərəm	edərsən	edər	edərik	edərsiniz	edərlər	-	edin	-
eşitmək	eşidirəm	eşidirsən	eşidir	eşidirik	eşidirsiniz	eşidirlər	-	-	-	-	-	-	eşidəcəyəm	eşidəcəksən	eşidəcək	eşidəcəyik	eşidəcəksiniz	eşidəcəklər	eşidərəm	eşidərsən	eşidər	eşidərik	eşidərsiniz	eşidərlər	-	eşidin	-
eşələmək	eşələyıram	eşələyırsan	eşələyır	eşələyırıq	eşələyırsınız	eşələyırlar	eşələdım	eşələdın	eşələdı	eşələdıq	eşələdınız	eşələdılar	eşələyacağam	eşələyacaqsan	eşələyacaq	eşələyacağıq	eşələyacaqsınız	eşələyacaqlar	eşələyaram	eşələyarsan	eşələyar	eşələyarıq	eşələyarsınız	eşələyarlar	-	eşələsınlar	eşələmaq
fırlatmaq	fırladıram	fırladırsan	fırladır	fırladırıq	fırladırsınız	fırladırlar	-	-	-	-	-	-	fırladacağam	fırladacaqsan	fırladacaq	fırladacağıq	fırladacaqsınız	fırladacaqlar	fırladaram	fırladarsan	fırladar	fırladarıq	fırladarsınız	fırladarlar	-	fırladalım	-
getmək	gedirəm	gedirsən	gedir	gedirik	gedirsiniz	gedirlər	-	-	-	-	-	-	gedəcəyəm	gedəcəksən	gedəcək	gedəcəyik	gedəcəksiniz	gedəcəklər	gedərəm	gedərsən	gedər	gedərik	gedərsiniz	gedərlər	-	gedin	-
gizlətmək	gizlədirəm	gizlədirsən	gizlədir	gizlədirik	gizlədirsiniz	gizlədirlər	-	-	-	-	-	-	gizlədəcəyəm	gizlədəcəksən	gizlədəcək	gizlədəcəyik	gizlədəcəksiniz	gizlədəcəklər	gizlədərəm	gizlədərsən	gizlədər	gizlədərik	gizlədərsiniz	gizlədərlər	-	gizlədin	-
gömmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	göməcəyik	göməcəksiniz	-	-	-	-	gömərik	gömərsiniz	-	-	-	-
gördürmək	gördürirəm	gördürirsən	gördürir	gördüririk	gördürirsiniz	gördürirlər	gördürdim	gördürdin	gördürdi	gördürdik	gördürdiniz	gördürdilər	-	-	-	gördürəcəyik	gördürəcəksiniz	-	-	-	-	gördürərik	gördürərsiniz	-	-	gördürin	-
görmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	görəcəyik	görəcəksiniz	-	-	-	-	görərik	görərsiniz	-	-	-	-
görüb-götürmək	görüb-götürirəm	görüb-götürirsən	görüb-götürir	görüb-götüririk	görüb-götürirsiniz	görüb-götürirlər	görüb-götürdim	görüb-götürdin	görüb-götürdi	görüb-götürdik	görüb-götürdiniz	görüb-götürdilər	-	-	-	görüb-götürəcəyik	görüb-götürəcəksiniz	-	-	-	-	görüb-götürərik	görüb-götürərsiniz	-	-	görüb-götürin	-
görünmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	görünəcəyik	görünəcəksiniz	-	-	-	-	görünərik	görünərsiniz	-	-	-	-
görüşdürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	görüşdürəcəyik	görüşdürəcəksiniz	-	-	-	-	görüşdürərik	görüşdürərsiniz	-	-	-	-
görüşmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	görüşəcəyik	görüşəcəksiniz	-	-	-	-	görüşərik	görüşərsiniz	-	-	-	-
götürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	götürəcəyik	götürəcəksiniz	-	-	-	-	götürərik	götürərsiniz	-	-	-	-
güdmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	güdəcəyik	güdəcəksiniz	-	-	-	-	güdərik	güdərsiniz	-	-	-	-
güldürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	güldürəcəyik	güldürəcəksiniz	-	-	-	-	güldürərik	güldürərsiniz	-	-	-	-
güllələnmək	güllələnıram	güllələnırsan	güllələnır	güllələnırıq	güllələnırsınız	güllələnırlar	güllələndım	güllələndın	güllələndı	güllələndıq	güllələndınız	güllələndılar	güllələnacağam	güllələnacaqsan	güllələnacaq	güllələnacağıq	güllələnacaqsınız	güllələnacaqlar	güllələnaram	güllələnarsan	güllələnar	güllələnarıq	güllələnarsınız	güllələnarlar	-	güllələnalım	güllələnmaq
gülmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	güləcəyik	güləcəksiniz	-	-	-	-	gülərik	gülərsiniz	-	-	-	-
hopdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hopduracağıq	hopduracaqsınız	-	-	-	-	hopdurarıq	hopdurarsınız	-	-	-	-
hopmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hopacağıq	hopacaqsınız	-	-	-	-	hoparıq	hoparsınız	-	-	-	-
hörmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hörəcəyik	hörəcəksiniz	-	-	-	-	hörərik	hörərsiniz	-	-	-	-
hürkmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hürkəcəyik	hürkəcəksiniz	-	-	-	-	hürkərik	hürkərsiniz	-	-	-	-
hürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hürəcəyik	hürəcəksiniz	-	-	-	-	hürərik	hürərsiniz	-	-	-	-
imək	deyiləm	deyilsən	deyildir	deyilik	deyilsiniz	deyildirlər	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
incitmək	incidirəm	incidirsən	incidir	incidirik	incidirsiniz	incidirlər	-	-	-	-	-	-	incidəcəyəm	incidəcəksən	incidəcək	incidəcəyik	incidəcəksiniz	incidəcəklər	incidərəm	incidərsən	incidər	incidərik	incidərsiniz	incidərlər	-	incidin	-
islatmaq	isladıram	isladırsan	isladır	isladırıq	isladırsınız	isladırlar	-	-	-	-	-	-	isladacağam	isladacaqsan	isladacaq	isladacağıq	isladacaqsınız	isladacaqlar	isladaram	isladarsan	isladar	isladarıq	isladarsınız	isladarlar	-	isladalım	-
işlətmək	işlədirəm	işlədirsən	işlədir	işlədirik	işlədirsiniz	işlədirlər	-	-	-	-	-	-	işlədəcəyəm	işlədəcəksən	işlədəcək	işlədəcəyik	işlədəcəksiniz	işlədəcəklər	işlədərəm	işlədərsən	işlədər	işlədərik	işlədərsiniz	işlədərlər	-	işlədin	-
kilidlətmək	kilidlədirəm	kilidlədirsən	kilidlədir	kilidlədirik	kilidlədirsiniz	kilidlədirlər	-	-	-	-	-	-	kilidlədəcəyəm	kilidlədəcəksən	kilidlədəcək	kilidlədəcəyik	kilidlədəcəksiniz	kilidlədəcəklər	kilidlədərəm	kilidlədərsən	kilidlədər	kilidlədərik	kilidlədərsiniz	kilidlədərlər	-	kilidlədin	-
kökləmək	kökləyıram	kökləyırsan	kökləyır	kökləyırıq	kökləyırsınız	kökləyırlar	köklədım	köklədın	köklədı	köklədıq	köklədınız	köklədılar	kökləyacağam	kökləyacaqsan	kökləyacaq	kökləyacağıq	kökləyacaqsınız	kökləyacaqlar	kökləyaram	kökləyarsan	kökləyar	kökləyarıq	kökləyarsınız	kökləyarlar	-	kökləsınlar	kökləmaq
köçmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	köçəcəyik	köçəcəksiniz	-	-	-	-	köçərik	köçərsiniz	-	-	-	-
köçürmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	köçürəcəyik	köçürəcəksiniz	-	-	-	-	köçürərik	köçürərsiniz	-	-	-	-
küsmək	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	küsəcəyik	küsəcəksiniz	-	-	-	-	küsərik	küsərsiniz	-	-	-	-
ləngitmək	ləngidirəm	ləngidirsən	ləngidir	ləngidirik	ləngidirsiniz	ləngidirlər	-	-	-	-	-	-	ləngidəcəyəm	ləngidəcəksən	ləngidəcək	ləngidəcəyik	ləngidəcəksiniz	ləngidəcəklər	ləngidərəm	ləngidərsən	ləngidər	ləngidərik	ləngidərsiniz	ləngidərlər	-	ləngidin	-
mürgüləmək	mürgüləyürəm	mürgüləyürsən	mürgüləyür	mürgüləyürük	mürgüləyürsünüz	mürgüləyürlər	mürgülədüm	mürgülədün	mürgülədü	mürgülədük	mürgülədünüz	mürgülədülər	-	-	-	-	-	-	-	-	-	-	-	-	-	mürgüləsünlər	-
məskunlaşdırmaq	məskunlaşdırrm	məskunlaşdırrsn	məskunlaşdırr	məskunlaşdırr	məskunlaşdırrsnz	məskunlaşdırrlr	məskunlaşdırdm	məskunlaşdırdn	məskunlaşdırd	məskunlaşdırd	məskunlaşdırdnz	məskunlaşdırdlr	məskunlaşdırcm	məskunlaşdırcsn	məskunlaşdırc	məskunlaşdırc	məskunlaşdırcsnz	məskunlaşdırclr	məskunlaşdırrm	məskunlaşdırrsn	məskunlaşdırr	məskunlaşdırr	məskunlaşdırrsnz	məskunlaşdırrlr	-	məskunlaşdır	məskunlaşdırm
olmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	olacağıq	olacaqsınız	-	-	-	-	olarıq	olarsınız	-	-	-	-
osturmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	osturacağıq	osturacaqsınız	-	-	-	-	osturarıq	osturarsınız	-	-	-	-
osurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	osuracağıq	osuracaqsınız	-	-	-	-	osurarıq	osurarsınız	-	-	-	-
oturmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	oturacağıq	oturacaqsınız	-	-	-	-	oturarıq	oturarsınız	-	-	-	-
oturub-durmaq	oturub-durıram	oturub-durırsan	oturub-durır	oturub-durırıq	oturub-durırsınız	oturub-durırlar	oturub-durdım	oturub-durdın	oturub-durdı	oturub-durdıq	oturub-durdınız	oturub-durdılar	-	-	-	oturub-duracağıq	oturub-duracaqsınız	-	-	-	-	oturub-durarıq	oturub-durarsınız	-	-	oturub-duralım	-
oturuşmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	oturuşacağıq	oturuşacaqsınız	-	-	-	-	oturuşarıq	oturuşarsınız	-	-	-	-
otuzdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	otuzduracağıq	otuzduracaqsınız	-	-	-	-	otuzdurarıq	otuzdurarsınız	-	-	-	-
ovmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ovacağıq	ovacaqsınız	-	-	-	-	ovarıq	ovarsınız	-	-	-	-
ovundurmaq	ovundurıram	ovundurırsan	ovundurır	ovundurırıq	ovundurırsınız	ovundurırlar	ovundurdım	ovundurdın	ovundurdı	ovundurdıq	ovundurdınız	ovundurdılar	-	-	-	ovunduracağıq	ovunduracaqsınız	-	-	-	-	ovundurarıq	ovundurarsınız	-	-	ovunduralım	-
ovunmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ovunacağıq	ovunacaqsınız	-	-	-	-	ovunarıq	ovunarsınız	-	-	-	-
ovutmaq	ovuduram	ovudursan	ovudur	ovuduruq	ovudursunuz	ovudurlar	-	-	-	-	-	-	ovudacağam	ovudacaqsan	ovudacaq	ovudacağıq	ovudacaqsınız	ovudacaqlar	ovudaram	ovudarsan	ovudar	ovudarıq	ovudarsınız	ovudarlar	-	ovudalım	-
ovuşdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ovuşduracağıq	ovuşduracaqsınız	-	-	-	-	ovuşdurarıq	ovuşdurarsınız	-	-	-	-
oxumaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	oxuyacağıq	oxuyacaqsınız	-	-	-	-	oxuyarıq	oxuyarsınız	-	-	-	-
oxunmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	oxunacağıq	oxunacaqsınız	-	-	-	-	oxunarıq	oxunarsınız	-	-	-	-
oxutdurmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	oxutduracağıq	oxutduracaqsınız	-	-	-	-	oxutdurarıq	oxutdurarsınız	-	-	-	-
oxutmaq	oxuduram	oxudursan	oxudur	oxuduruq	oxudursunuz	oxudurlar	-	-	-	-	-	-	oxudacağam	oxudacaqsan	oxudacaq	oxudacağıq	oxudacaqsınız	oxudacaqlar	oxudaram	oxudarsan	oxudar	oxudarıq	oxudarsınız	oxudarlar	-	oxudalım	-
oxuşmaq	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	oxuşacağıq	oxuşacaqsınız	-	-	-	-	oxuşarıq	oxuşarsınız	-	-	-	-
