# Tamil verb stems, mined from the kaikki ∩ ThamizhiMorph agreement.
# Tamil conjugation class is lexical, so the stems are stored and the
# engine (src/tam.rs) only stacks the PNG endings.
# Regenerate: python3 scripts/tam/mine_verbs.py
#
# present is the கிற் stem, past the past stem, future the வ்/ப் stem;
# um is the -உம் form, inf the infinitive, imp_pl the plural imperative.
# A `-` cell falls through to the productive weak rule.
# lemma	present	past	future	um	inf	imp_pl
அகப்படு	அகப்படுகிற்	அகப்பட்ட்	அகப்படுவ்	அகப்படும்	அகப்பட	அகப்படுங்கள்
அணி	அணிகிற்	அணிந்த்	அணிவ்	அணியும்	அணிய	அணியுங்கள்
அணுகு	அணுகுகிற்	அணுகின்	அணுகுவ்	அணுகும்	அணுக	அணுகுங்கள்
அணை	அணைகிற்	அணைத்த்	அணைப்ப்	அணையும்	அணைக்க	அணையுங்கள்
அண்டு	அண்டுகிற்	அண்டின்	அண்டுவ்	அண்டும்	அண்ட	அண்டுங்கள்
அண்ணா	அண்ணாக்கிற்	அண்ணாந்த்	அண்ணாப்ப்	அண்ணாக்கும்	அண்ணாக்க	அண்ணாவுங்கள்
அண்ணு	அண்ணுகிற்	அண்ணின்	அண்ணுவ்	அண்ணும்	அண்ண	அண்ணுங்கள்
அதட்டு	அதட்டுகிற்	அதட்டின்	அதட்டுவ்	அதட்டும்	அதட்ட	அதட்டுங்கள்
அதிகரி	அதிகரிக்கிற்	அதிகரித்த்	அதிகரிப்ப்	அதிகரிக்கும்	அதிகரிக்க	அதிகரியுங்கள்
அதிர்	அதிர்கிற்	அதிர்த்த்	அதிர்ப்ப்	அதிரும்	அதிர்க்க	அதிருங்கள்
அத்துமீறு	அத்துமீறுகிற்	அத்துமீறின்	அத்துமீறுவ்	அத்துமீறும்	அத்துமீற	அத்துமீறுங்கள்
அனல்	அனல்கிற்	அனலின்	அனல்வ்	அனலும்	அனல	அனலுங்கள்
அனுபவி	அனுபவிக்கிற்	அனுபவித்த்	அனுபவிப்ப்	அனுபவிக்கும்	அனுபவிக்க	அனுபவியுங்கள்
அனுப்பு	அனுப்புகிற்	அனுப்பின்	அனுப்புவ்	அனுப்பும்	அனுப்ப	அனுப்புங்கள்
அனுமதி	அனுமதிக்கிற்	அனுமதித்த்	அனுமதிப்ப்	அனுமதிக்கும்	அனுமதிக்க	அனுமதியுங்கள்
அன்று	அன்றுகிற்	அன்றின்	அன்றுவ்	அன்றும்	அன்ற	அன்றுங்கள்
அப்பு	அப்புகிற்	அப்பின்	அப்புவ்	அப்பும்	அப்ப	அப்புங்கள்
அமர்	அமர்கிற்	அமர்த்த்	அமர்ப்ப்	அமரும்	அமர்க்க	அமருங்கள்
அமுக்கு	அமுக்குகிற்	அமுக்கின்	அமுக்குவ்	அமுக்கும்	அமுக்க	அமுக்குங்கள்
அமை	அமைகிற்	அமைத்த்	அமைப்ப்	அமையும்	அமைக்க	அமையுங்கள்
அயர்	அயர்கிற்	அயர்ந்த்	அயர்வ்	அயரும்	அயர	அயருங்கள்
அரள்	அரள்கிற்	அரண்ட்	அரள்வ்	அரளும்	அரள	அரளுங்கள்
அரி	அரிகிற்	அரித்த்	அரிப்ப்	அரியும்	அரிக்க	அரியுங்கள்
அருகு	அருகுகிற்	அருகின்	அருகுவ்	அருகும்	அருக	அருகுங்கள்
அருச்சி	அருச்சிக்கிற்	அருச்சித்த்	அருச்சிப்ப்	அருச்சிக்கும்	அருச்சிக்க	அருச்சியுங்கள்
அருந்து	அருந்துகிற்	அருந்தின்	அருந்துவ்	அருந்தும்	அருந்த	அருந்துங்கள்
அருள்	அருள்கிற்	அருளின்	அருள்வ்	அருளும்	அருள	அருளுங்கள்
அரை	அரைகிற்	அரைத்த்	அரைப்ப்	அரையும்	அரைக்க	அரையுங்கள்
அறி	அறிகிற்	அறிந்த்	அறிவ்	அறியும்	அறிய	அறியுங்கள்
அறிவுறுத்து	அறிவுறுத்துகிற்	அறிவுறுத்தின்	அறிவுறுத்துவ்	அறிவுறுத்தும்	அறிவுறுத்த	அறிவுறுத்துங்கள்
அறு	அறுகிற்	அறுத்த்	அறுப்ப்	அறுக்கும்	அற	அறுங்கள்
அறை	அறைகிற்	அறைந்த்	அறைவ்	அறையும்	அறைய	அறையுங்கள்
அலங்கரி	அலங்கரிக்கிற்	அலங்கரித்த்	அலங்கரிப்ப்	அலங்கரிக்கும்	அலங்கரிக்க	அலங்கரியுங்கள்
அலங்கு	அலங்குகிற்	அலங்கின்	அலங்குவ்	அலங்கும்	அலங்க	அலங்குங்கள்
அலம்பு	அலம்புகிற்	அலம்பின்	அலம்புவ்	அலம்பும்	அலம்ப	அலம்புங்கள்
அலர்	அலர்கிற்	அலர்ந்த்	அலர்வ்	அலரும்	அலர	அலருங்கள்
அலர்த்து	அலர்த்துகிற்	அலர்த்தின்	அலர்த்துவ்	அலர்த்தும்	அலர்த்த	அலர்த்துங்கள்
அலறு	அலறுகிற்	அலறின்	அலறுவ்	அலறும்	அலற	அலறுங்கள்
அலு	அலுக்கிற்	அலுத்த்	அலுப்ப்	அலுக்கும்	அலுக்க	அலுங்கள்
அலுங்கு	அலுங்குகிற்	அலுங்கின்	அலுங்குவ்	அலுங்கும்	அலுங்க	அலுங்குங்கள்
அலை	அலைகிற்	அலைத்த்	அலைப்ப்	அலையும்	அலைக்க	அலையுங்கள்
அள	அளக்கிற்	அளந்த்	அளப்ப்	அளக்கும்	அளக்க	அளவுங்கள்
அளி	அளிக்கிற்	அளித்த்	அளிப்ப்	அளிக்கும்	அளிக்க	அளியுங்கள்
அள்ளு	அள்ளுகிற்	அள்ளின்	அள்ளுவ்	அள்ளும்	அள்ள	அள்ளுங்கள்
அழி	அழிகிற்	அழித்த்	அழிப்ப்	அழியும்	அழிக்க	அழியுங்கள்
அழு	அழுகிற்	அழுத்	அழுவ்	அழும்	அழ	அழுங்கள்
அழுகு	அழுகுகிற்	அழுகின்	அழுகுவ்	அழுகும்	அழுக	அழுகுங்கள்
அழுத்து	அழுத்துகிற்	அழுத்தின்	அழுத்துவ்	அழுத்தும்	அழுத்த	அழுத்துங்கள்
அழை	அழைக்கிற்	அழைத்த்	அழைப்ப்	அழைக்கும்	அழைக்க	அழையுங்கள்
அவி	அவிகிற்	அவித்த்	அவிப்ப்	அவியும்	அவிக்க	அவியுங்கள்
அவிழ்	அவிழ்கிற்	அவிழ்த்த்	அவிழ்ப்ப்	அவிழும்	அவிழ	அவிழுங்கள்
அவை	அவைக்கிற்	அவைத்த்	அவைப்ப்	அவைக்கும்	அவைக்க	அவையுங்கள்
ஆகு	ஆகிற்	ஆகின்	ஆகுவ்	ஆகும்	ஆக	ஆகுங்கள்
ஆக்கிரமி	ஆக்கிரமிக்கிற்	ஆக்கிரமித்த்	ஆக்கிரமிப்ப்	ஆக்கிரமிக்கும்	ஆக்கிரமிக்க	ஆக்கிரமியுங்கள்
ஆக்கு	ஆக்குகிற்	ஆக்கின்	ஆக்குவ்	ஆக்கும்	ஆக்க	ஆக்குங்கள்
ஆடு	ஆடுகிற்	ஆடின்	ஆடுவ்	ஆடும்	ஆட	ஆடுங்கள்
ஆட்டு	ஆட்டுகிற்	ஆட்டின்	ஆட்டுவ்	ஆட்டும்	ஆட்ட	ஆட்டுங்கள்
ஆமோதி	ஆமோதிக்கிற்	ஆமோதித்த்	ஆமோதிப்ப்	ஆமோதிக்கும்	ஆமோதிக்க	ஆமோதியுங்கள்
ஆரம்பி	ஆரம்பிக்கிற்	ஆரம்பித்த்	ஆரம்பிப்ப்	ஆரம்பிக்கும்	ஆரம்பிக்க	ஆரம்பியுங்கள்
ஆராய்	ஆராய்கிற்	ஆராய்ந்த்	ஆராய்வ்	ஆராயும்	ஆராய	ஆராயுங்கள்
ஆர்	ஆர்கிற்	ஆர்த்த்	ஆர்ப்ப்	ஆரும்	ஆர்க்க	ஆருங்கள்
ஆறு	ஆறுகிற்	ஆறின்	ஆறுவ்	ஆறும்	ஆற	ஆறுங்கள்
ஆற்று	ஆற்றுகிற்	ஆற்றின்	ஆற்றுவ்	ஆற்றும்	ஆற்ற	ஆற்றுங்கள்
ஆலோசி	ஆலோசிக்கிற்	ஆலோசித்த்	ஆலோசிப்ப்	ஆலோசிக்கும்	ஆலோசிக்க	ஆலோசியுங்கள்
ஆள்	ஆள்கிற்	ஆண்ட்	ஆள்வ்	ஆளும்	ஆள	ஆளுங்கள்
ஆழ்	ஆழ்கிற்	ஆழ்ந்த்	ஆழ்வ்	ஆழும்	ஆழ	ஆழுங்கள்
ஆழ்த்து	ஆழ்த்துகிற்	ஆழ்த்தின்	ஆழ்த்துவ்	ஆழ்த்தும்	ஆழ்த்த	ஆழ்த்துங்கள்
ஆவி	ஆவிக்கிற்	ஆவித்த்	ஆவிப்ப்	ஆவிக்கும்	ஆவிக்க	ஆவியுங்கள்
இகழ்	இகழ்கிற்	இகழ்ந்த்	இகழ்வ்	இகழும்	இகழ	இகழுங்கள்
இங்கு	இங்குகிற்	இங்கின்	இங்குவ்	இங்கும்	இங்க	இங்குங்கள்
இசை	இசைக்கிற்	இசைத்த்	இசைப்ப்	இசைக்கும்	இசைக்க	இசையுங்கள்
இடி	இடிகிற்	இடித்த்	இடிப்ப்	இடியும்	இடிக்க	இடியுங்கள்
இடு	இடுகிற்	இட்ட்	இடுவ்	இடும்	இட	இடுங்கள்
இடை	இடைகிற்	இடைந்த்	இடைவ்	இடையும்	இடைய	இடையுங்கள்
இணக்கு	இணக்குகிற்	இணக்கின்	இணக்குவ்	இணக்கும்	இணக்க	இணக்குங்கள்
இணங்கு	இணங்குகிற்	இணங்கின்	இணங்குவ்	இணங்கும்	இணங்க	இணங்குங்கள்
இணை	இணைகிற்	இணைத்த்	இணைப்ப்	இணையும்	இணைக்க	இணையுங்கள்
இனி	இனிக்கிற்	இனித்த்	இனிப்ப்	இனிக்கும்	இனிக்க	இனியுங்கள்
இயக்கு	இயக்குகிற்	இயக்கின்	இயக்குவ்	இயக்கும்	இயக்க	இயக்குங்கள்
இயங்கு	இயங்குகிற்	இயங்கின்	இயங்குவ்	இயங்கும்	இயங்க	இயங்குங்கள்
இயற்று	இயற்றுகிற்	இயற்றின்	இயற்றுவ்	இயற்றும்	இயற்ற	இயற்றுங்கள்
இயலு	இயலுகிற்	இயன்ற்	இயலுவ்	இயலும்	இயல	இயலுங்கள்
இயல்	இயல்கிற்	இயன்ற்	இயல்வ்	இயலும்	இயல	இயலுங்கள்
இர	இரக்கிற்	இரந்த்	இரப்ப்	இரக்கும்	இரக்க	இரவுங்கள்
இரங்கு	இரங்குகிற்	இரங்கின்	இரங்குவ்	இரங்கும்	இரங்க	இரங்குங்கள்
இரட்சி	இரட்சிக்கிற்	இரட்சித்த்	இரட்சிப்ப்	இரட்சிக்கும்	இரட்சிக்க	இரட்சியுங்கள்
இரட்டி	இரட்டிக்கிற்	இரட்டித்த்	இரட்டிப்ப்	இரட்டிக்கும்	இரட்டிக்க	இரட்டியுங்கள்
இரு	இருக்கிற்	இருந்த்	இருப்ப்	இருக்கும்	இருக்க	இருங்கள்
இருள்	இருள்கிற்	இருண்ட்	இருள்வ்	இருளும்	இருள	இருளுங்கள்
இரை	இரைகிற்	இரைத்த்	இரைப்ப்	இரையும்	இரைக்க	இரையுங்கள்
இற	இறக்கிற்	இறந்த்	இறப்ப்	இறக்கும்	இறக்க	இறவுங்கள்
இறக்கு	இறக்குகிற்	இறக்கின்	இறக்குவ்	இறக்கும்	இறக்க	இறக்குங்கள்
இறங்கு	இறங்குகிற்	இறங்கின்	இறங்குவ்	இறங்கும்	இறங்க	இறங்குங்கள்
இறு	இறுகிற்	இறுத்த்	இறுப்ப்	இறுக்கும்	இற	இறுங்கள்
இறுகு	இறுகுகிற்	இறுகின்	இறுகுவ்	இறுகும்	இறுக	இறுகுங்கள்
இறுக்கு	இறுக்குகிற்	இறுக்கின்	இறுக்குவ்	இறுக்கும்	இறுக்க	இறுக்குங்கள்
இறை	இறைகிற்	இறைத்த்	இறைப்ப்	இறையும்	இறைக்க	இறையுங்கள்
இலை	இலைக்கிற்	இலைத்த்	இலைப்ப்	இலைக்கும்	இலைக்க	இலையுங்கள்
இளி	இளிக்கிற்	இளித்த்	இளிப்ப்	இளிக்கும்	இளிக்க	இளியுங்கள்
இழ	இழக்கிற்	இழந்த்	இழப்ப்	இழக்கும்	இழக்க	இழவுங்கள்
இழி	இழிகிற்	இழித்த்	இழிப்ப்	இழியும்	இழிக்க	இழியுங்கள்
இழிசு	இழிசுகிற்	இழிசின்	இழிசுவ்	இழிசும்	இழிச	இழிசுங்கள்
இழு	இழுக்கிற்	இழுத்த்	இழுப்ப்	இழுக்கும்	இழுக்க	இழுங்கள்
இழுகு	இழுகுகிற்	இழுகின்	இழுகுவ்	இழுகும்	இழுக	இழுகுங்கள்
இழுக்கு	இழுக்குகிற்	இழுக்கின்	இழுக்குவ்	இழுக்கும்	இழுக்க	இழுக்குங்கள்
இழை	இழைகிற்	இழைத்த்	இழைப்ப்	இழையும்	இழைக்க	இழையுங்கள்
ஈ	ஈகிற்	ஈந்த்	ஈவ்	ஈயும்	ஈய	ஈயுங்கள்
ஈன்	ஈன்கிற்	ஈன்ற்	ஈனுவ்	ஈனும்	ஈன	ஈனுங்கள்
ஈர்	ஈர்கிற்	ஈர்த்த்	ஈர்ப்ப்	ஈரும்	ஈர்க்க	ஈருங்கள்
உடு	உடுக்கிற்	உடுத்த்	உடுப்ப்	உடுக்கும்	உடுக்க	உடுங்கள்
உடை	உடைகிற்	உடைத்த்	உடைப்ப்	உடையும்	உடைக்க	உடையுங்கள்
உட்கார்	உட்கார்கிற்	உட்கார்ந்த்	உட்கார்வ்	உட்காரும்	உட்கார	உட்காருங்கள்
உணர்	உணர்கிற்	உணர்ந்த்	உணர்வ்	உணரும்	உணர	உணருங்கள்
உண்	உண்கிற்	உண்ட்	உண்ணுவ்	உண்ணும்	உண்ண	உண்ணுங்கள்
உண்டாகு	உண்டாகிற்	உண்டாகின்	உண்டாகுவ்	உண்டாகும்	உண்டாக	உண்டாகுங்கள்
உதி	உதிக்கிற்	உதித்த்	உதிப்ப்	உதிக்கும்	உதிக்க	உதியுங்கள்
உதிர்	உதிர்கிற்	உதிர்த்த்	உதிர்ப்ப்	உதிரும்	உதிர்க்க	உதிருங்கள்
உதை	உதைக்கிற்	உதைத்த்	உதைப்ப்	உதைக்கும்	உதைக்க	உதையுங்கள்
உன்னு	உன்னுகிற்	உன்னின்	உன்னுவ்	உன்னும்	உன்ன	உன்னுங்கள்
உபயோகி	உபயோகிக்கிற்	உபயோகித்த்	உபயோகிப்ப்	உபயோகிக்கும்	உபயோகிக்க	உபயோகியுங்கள்
உமி	உமிகிற்	உமித்த்	உமிப்ப்	உமியும்	உமிக்க	உமியுங்கள்
உமிழ்	உமிழ்கிற்	உமிழ்ந்த்	உமிழ்வ்	உமிழும்	உமிழ	உமிழுங்கள்
உயர்	உயர்க்கிற்	உயர்த்த்	உயர்ப்ப்	உயரும்	உயர்க்க	உயருங்கள்
உயிர்	உயிர்க்கிற்	உயிர்த்த்	உயிர்ப்ப்	உயிர்க்கும்	உயிர்க்க	உயிருங்கள்
உய்	உய்கிற்	உய்த்த்	உய்ப்ப்	உய்க்கும்	உய்க்க	உயுங்கள்
உரசு	உரசுகிற்	உரசின்	உரசுவ்	உரசும்	உரச	உரசுங்கள்
உராய்	உராய்கிற்	உராய்ந்த்	உராய்வ்	உராயும்	உராய	உராயுங்கள்
உரி	உரிகிற்	உரித்த்	உரிப்ப்	உரியும்	உரிக்க	உரியுங்கள்
உரு	உருக்கிற்	உருத்த்	உருப்ப்	உருக்கும்	உருக்க	உருங்கள்
உருகு	உருகுகிற்	உருகின்	உருகுவ்	உருகும்	உருக	உருகுங்கள்
உருக்கு	உருக்குகிற்	உருக்கின்	உருக்குவ்	உருக்கும்	உருக்க	உருக்குங்கள்
உருட்டு	உருட்டுகிற்	உருட்டின்	உருட்டுவ்	உருட்டும்	உருட்ட	உருட்டுங்கள்
உருள்	உருள்கிற்	உருண்ட்	உருள்வ்	உருளும்	உருள	உருளுங்கள்
உருவு	உருவுகிற்	உருவின்	உருவுவ்	உருவும்	உருவ	உருவுங்கள்
உரை	உரைகிற்	உரைத்த்	உரைப்ப்	உரையும்	உரைக்க	உரையுங்கள்
உறங்கு	உறங்குகிற்	உறங்கின்	உறங்குவ்	உறங்கும்	உறங்க	உறங்குங்கள்
உறழ்	உறழ்கிற்	உறழ்ந்த்	உறழ்வ்	உறழும்	உறழ	உறழுங்கள்
உறி	உறிகிற்	உறிந்த்	உறிவ்	உறியும்	உறிய	உறியுங்கள்
உறிஞ்சு	உறிஞ்சுகிற்	உறிஞ்சின்	உறிஞ்சுவ்	உறிஞ்சும்	உறிஞ்ச	உறிஞ்சுங்கள்
உறு	உறுகிற்	உற்ற்	உறுவ்	உறும்	உற	உறுங்கள்
உறுத்து	உறுத்துகிற்	உறுத்தின்	உறுத்துவ்	உறுத்தும்	உறுத்த	உறுத்துங்கள்
உறுமு	உறுமுகிற்	உறுமின்	உறுமுவ்	உறுமும்	உறும	உறுமுங்கள்
உறை	உறைகிற்	உறைந்த்	உறைவ்	உறையும்	உறைய	உறையுங்கள்
உலாவு	உலாவுகிற்	உலாவின்	உலாவுவ்	உலாவும்	உலாவ	உலாவுங்கள்
உலுக்கு	உலுக்குகிற்	உலுக்கின்	உலுக்குவ்	உலுக்கும்	உலுக்க	உலுக்குங்கள்
உலை	உலைகிற்	உலைந்த்	உலைவ்	உலையும்	உலைய	உலையுங்கள்
உளறு	உளறுகிற்	உளறின்	உளறுவ்	உளறும்	உளற	உளறுங்கள்
உளை	உளைகிற்	உளைத்த்	உளைப்ப்	உளையும்	உளைக்க	உளையுங்கள்
உழு	உழுகிற்	உழுத்	உழுவ்	உழும்	உழ	உழுங்கள்
உழை	உழைக்கிற்	உழைத்த்	உழைப்ப்	உழைக்கும்	உழைக்க	உழையுங்கள்
உவர்	உவர்க்கிற்	உவர்த்த்	உவர்ப்ப்	உவர்க்கும்	உவர்க்க	உவருங்கள்
ஊங்கு	ஊங்குகிற்	ஊங்கின்	ஊங்குவ்	ஊங்கும்	ஊங்க	ஊங்குங்கள்
ஊசு	ஊசுகிற்	ஊசின்	ஊசுவ்	ஊசும்	ஊச	ஊசுங்கள்
ஊடு	ஊடுகிற்	ஊடின்	ஊடுவ்	ஊடும்	ஊட	ஊடுங்கள்
ஊது	ஊதுகிற்	ஊதின்	ஊதுவ்	ஊதும்	ஊத	ஊதுங்கள்
ஊன்று	ஊன்றுகிற்	ஊன்றின்	ஊன்றுவ்	ஊன்றும்	ஊன்ற	ஊன்றுங்கள்
ஊம்பு	ஊம்புகிற்	ஊம்பின்	ஊம்புவ்	ஊம்பும்	ஊம்ப	ஊம்புங்கள்
ஊர்	ஊர்கிற்	ஊர்ந்த்	ஊர்வ்	ஊரும்	ஊர	ஊருங்கள்
ஊறு	ஊறுகிற்	ஊறின்	ஊறுவ்	ஊறும்	ஊற	ஊறுங்கள்
ஊற்று	ஊற்றுகிற்	ஊற்றின்	ஊற்றுவ்	ஊற்றும்	ஊற்ற	ஊற்றுங்கள்
எக்கு	எக்குகிற்	எக்கின்	எக்குவ்	எக்கும்	எக்க	எக்குங்கள்
எச்சரி	எச்சரிக்கிற்	எச்சரித்த்	எச்சரிப்ப்	எச்சரிக்கும்	எச்சரிக்க	எச்சரியுங்கள்
எஞ்சு	எஞ்சுகிற்	எஞ்சின்	எஞ்சுவ்	எஞ்சும்	எஞ்ச	எஞ்சுங்கள்
எடு	எடுக்கிற்	எடுத்த்	எடுப்ப்	எடுக்கும்	எடுக்க	எடுங்கள்
எட்டு	எட்டுகிற்	எட்டின்	எட்டுவ்	எட்டும்	எட்ட	எட்டுங்கள்
எண்ணு	எண்ணுகிற்	எண்ணின்	எண்ணுவ்	எண்ணும்	எண்ண	எண்ணுங்கள்
எதிர்	எதிர்கிற்	எதிர்த்த்	எதிர்ப்ப்	எதிரும்	எதிர்க்க	எதிருங்கள்
எத்து	எத்துகிற்	எத்துந்த்	எத்துவ்	எத்தும்	எத்த	எத்துங்கள்
என்	என்கிற்	என்ற்	என்ப்	எனும்	என	என்னுங்கள்
எய்	எய்கிற்	எய்த்	எய்ப்ப்	எய்யும்	எய்க்க	எயுங்கள்
எய்து	எய்துகிற்	எய்தின்	எய்துவ்	எய்தும்	எய்த	எய்துங்கள்
எரி	எரிகிற்	எரித்த்	எரிப்ப்	எரியும்	எரிக்க	எரியுங்கள்
எறி	எறிகிற்	எறிந்த்	எறிவ்	எறியும்	எறிய	எறியுங்கள்
எழு	எழுகிற்	எழுந்த்	எழுவ்	எழும்	எழ	எழுங்கள்
எழுது	எழுதுகிற்	எழுதின்	எழுதுவ்	எழுதும்	எழுத	எழுதுங்கள்
எழுப்பு	எழுப்புகிற்	எழுப்பின்	எழுப்புவ்	எழுப்பும்	எழுப்ப	எழுப்புங்கள்
எழும்பு	எழும்புகிற்	எழும்பின்	எழும்புவ்	எழும்பும்	எழும்ப	எழும்புங்கள்
எழுவு	எழுவுகிற்	எழுவின்	எழுவுவ்	எழுவும்	எழுவ	எழுவுங்கள்
ஏங்கு	ஏங்குகிற்	ஏங்கின்	ஏங்குவ்	ஏங்கும்	ஏங்க	ஏங்குங்கள்
ஏசு	ஏசுகிற்	ஏசின்	ஏசுவ்	ஏசும்	ஏச	ஏசுங்கள்
ஏத்து	ஏத்துகிற்	ஏத்தின்	ஏத்துவ்	ஏத்தும்	ஏத்த	ஏத்துங்கள்
ஏந்து	ஏந்துகிற்	ஏந்தின்	ஏந்துவ்	ஏந்தும்	ஏந்த	ஏந்துங்கள்
ஏமாறு	ஏமாறுகிற்	ஏமாந்த்	ஏமாறுவ்	ஏமாறும்	ஏமாற	ஏமாறுங்கள்
ஏமாற்று	ஏமாற்றுகிற்	ஏமாற்றின்	ஏமாற்றுவ்	ஏமாற்றும்	ஏமாற்ற	ஏமாற்றுங்கள்
ஏர்	ஏர்கிற்	ஏர்ந்த்	ஏர்வ்	ஏரும்	ஏர	ஏருங்கள்
ஏறு	ஏறுகிற்	ஏறின்	ஏறுவ்	ஏறும்	ஏற	ஏறுங்கள்
ஏற்று	ஏற்றுகிற்	ஏற்றின்	ஏற்றுவ்	ஏற்றும்	ஏற்ற	ஏற்றுங்கள்
ஏவு	ஏவுகிற்	ஏவின்	ஏவுவ்	ஏவும்	ஏவ	ஏவுங்கள்
ஒடி	ஒடிகிற்	ஒடித்த்	ஒடிப்ப்	ஒடியும்	ஒடிக்க	ஒடியுங்கள்
ஒடுக்கு	ஒடுக்குகிற்	ஒடுக்கின்	ஒடுக்குவ்	ஒடுக்கும்	ஒடுக்க	ஒடுக்குங்கள்
ஒட்டு	ஒட்டுகிற்	ஒட்டின்	ஒட்டுவ்	ஒட்டும்	ஒட்ட	ஒட்டுங்கள்
ஒதுக்கு	ஒதுக்குகிற்	ஒதுக்கின்	ஒதுக்குவ்	ஒதுக்கும்	ஒதுக்க	ஒதுக்குங்கள்
ஒதுங்கு	ஒதுங்குகிற்	ஒதுங்கின்	ஒதுங்குவ்	ஒதுங்கும்	ஒதுங்க	ஒதுங்குங்கள்
ஒத்து	ஒத்துகிற்	ஒத்தின்	ஒத்துவ்	ஒத்தும்	ஒத்த	ஒத்துங்கள்
ஒன்று	ஒன்றுகிற்	ஒன்றின்	ஒன்றுவ்	ஒன்றும்	ஒன்ற	ஒன்றுங்கள்
ஒப்பி	ஒப்பிக்கிற்	ஒப்பித்த்	ஒப்பிப்ப்	ஒப்பிக்கும்	ஒப்பிக்க	ஒப்பியுங்கள்
ஒப்பு	ஒப்புகிற்	ஒப்பின்	ஒப்புவ்	ஒப்பும்	ஒப்ப	ஒப்புங்கள்
ஒப்புவி	ஒப்புவிக்கிற்	ஒப்புவித்த்	ஒப்புவிப்ப்	ஒப்புவிக்கும்	ஒப்புவிக்க	ஒப்புவியுங்கள்
ஒற்று	ஒற்றுகிற்	ஒற்றின்	ஒற்றுவ்	ஒற்றும்	ஒற்ற	ஒற்றுங்கள்
ஒலி	ஒலிக்கிற்	ஒலித்த்	ஒலிப்ப்	ஒலிக்கும்	ஒலிக்க	ஒலியுங்கள்
ஒளி	ஒளிகிற்	ஒளித்த்	ஒளிப்ப்	ஒளியும்	ஒளிக்க	ஒளியுங்கள்
ஒளிர்	ஒளிர்கிற்	ஒளிர்ந்த்	ஒளிர்வ்	ஒளிரும்	ஒளிர	ஒளிருங்கள்
ஒழி	ஒழிகிற்	ஒழித்த்	ஒழிப்ப்	ஒழியும்	ஒழிக்க	ஒழியுங்கள்
ஒழுகு	ஒழுகுகிற்	ஒழுகின்	ஒழுகுவ்	ஒழுகும்	ஒழுக	ஒழுகுங்கள்
ஒழுக்கு	ஒழுக்குகிற்	ஒழுக்கின்	ஒழுக்குவ்	ஒழுக்கும்	ஒழுக்க	ஒழுக்குங்கள்
ஒழுங்கு	ஒழுங்குகிற்	ஒழுங்கின்	ஒழுங்குவ்	ஒழுங்கும்	ஒழுங்க	ஒழுங்குங்கள்
