# lemma(infinitive)	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;FUT;1;SG	V;FUT;2;SG	V;FUT;3;SG	V;FUT;1;PL	V;FUT;2;PL	V;FUT;3;PL	V;PST;SG;MASC	V;PST;SG;FEM	V;PST;SG;NEUT	V;PST;PL	V;IMP;2;SG	V;IMP;2;PL  ("-" = productive default)
адкласці	-	-	-	-	-	-	адкладу	адкладзеш	адкладзе	адкладзём	адкладзяце	адкладуць	адклаў	адклала	адклала	адклалі	адкладзі	адкладзіце
адключацца	-	-	-	-	-	-	адключаюся	адключаешся	адключаецца	адключаемся	адключаецеся	адключаюцца	адключаўся	адключалася	адключалася	адключаліся	адключайся	адключайцеся
адключыцца	-	-	-	-	-	-	адключуся	адключышся	адключыцца	адключымся	адключыцеся	адключацца	адключыўся	адключылася	адключылася	адключыліся	адключыся	адключыцеся
адмовіцца	-	-	-	-	-	-	адмоўлюся	адмовішся	адмовіцца	адмовімся	адмовіцеся	адмовяцца	адмовіўся	адмовілася	адмовілася	адмовіліся	адмоўся	адмоўцеся
адмяніць	-	-	-	-	-	-	-	адменіш	адменіць	адменім	адменіце	адменяць	-	-	-	-	-	-
адпудзіць	адпуджу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	адпудзь	адпудзьце
ажыццявіць	-	-	-	-	-	-	ажыццяўлю	-	-	-	-	-	-	-	-	-	-	-
апазнаваць	апазнаю	апазнаеш	апазнае	апазнаём	апазнаяце	апазнаюць	-	-	-	-	-	-	-	-	-	-	апазнавай	апазнавайце
апранацца	апранаюся	апранаешся	апранаецца	апранаемся	апранаецеся	апранаюцца	-	-	-	-	-	-	апранаўся	апраналася	апраналася	апраналіся	апранайся	апранайцеся
апынуцца	-	-	-	-	-	-	апынуся	апынешся	апынецца	апынёмся	апыняцеся	апынуцца	апынуўся	апынулася	апынулася	апынуліся	-	-
апісаць	-	-	-	-	-	-	апішу	апішаш	апіша	апішам	апішаце	апішуць	-	-	-	-	апішы	апішы
атрымацца	-	-	-	-	-	-	атрымаюся	атрымаешся	атрымаецца	атрымаемся	атрымаецеся	атрымаюцца	атрымаўся	атрымалася	атрымалася	атрымаліся	атрымайся	атрымайцеся
атрымлівацца	атрымліваюся	атрымліваешся	атрымліваецца	атрымліваемся	атрымліваецеся	атрымліваюцца	-	-	-	-	-	-	атрымліваўся	атрымлівалася	атрымлівалася	атрымліваліся	атрымлівайся	атрымлівайцеся
бамбіць	бамблю	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
бачыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	бач	бачце
баяцца	баюся	баішся	баіцца	баімся	баіцеся	баяцца	-	-	-	-	-	-	баяўся	баялася	баялася	баяліся	бойся	бойцеся
бегчы	бягу	бяжыш	бяжыць	бяжым	бяжыце	бягуць	-	-	-	-	-	-	бег	бегла	бегла	беглі	бяжы	бяжыце
берагчы	берагу	беражэш	беражэ	беражом	беражаце	берагуць	-	-	-	-	-	-	бярог	берагла	берагло	бераглі	беражы	беражыце
брахаць	брашу	брэшаш	брэша	брэшам	брэшаце	брэшуць	-	-	-	-	-	-	-	-	-	-	брашы	брашыце
браць	бяру	бярэш	бярэ	бяром	бераце	бяруць	-	-	-	-	-	-	-	-	-	-	бяры	бярыце
быць	-	-	ёсць	-	-	-	буду	будзеш	будзе	будзем	будзеце	будуць	-	-	былo	былі´	будзь	будзьце
біць	б'ю	б'еш	б'е	б'ём	б'яце	б'юць	-	-	-	-	-	-	-	-	-	-	-	-
вадзіць	ваджу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	вадзь	вадзьце
вазіць	важу	возіш	возіць	возім	возіце	возяць	-	-	-	-	-	-	-	-	-	-	-	-
валачы	валаку	валачэш	валачэ	валачом	валачаце	валакуць	-	-	-	-	-	-	валок	валакла	валакло	валаклі	валачы	валачыце
везці	вязу	вязеш	вязе	вязём	вязеце	вязуць	-	-	-	-	-	-	вёз	везла	везла	везлі	вязі	вязіце
верыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	вер	верце
весці	вяду	вядзеш	вядзе	вядзём	ведзяце	вядуць	-	-	-	-	-	-	вёў	вяла	вяло	вялі	вядзі	вядзіце
вучыцца	вучуся	вучышся	вучыцца	вучымся	вучыцеся	вучацца	-	-	-	-	-	-	вучыўся	вучылася	вучылася	вучыліся	вучыся	вучыцеся
выдаваць	выдаю	выдаеш	выдае	выдаём	выдаяце	выдаюць	-	-	-	-	-	-	-	-	-	-	выдавай	выдавайце
выдаць	-	-	-	-	-	-	выдам	выдасі	выдасць	выдадзім	выдасце	выдадуць	-	-	-	-	-	-
выебаць	-	-	-	-	-	-	выебу	выебеш	выебе	выебем	выебеце	выебуць	-	-	-	-	выебі	выебіце
вызначыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	вызнач	вызначце
выйсці	-	-	-	-	-	-	выйду	выйдзеш	выйдзе	выйдзем	выйдзеце	выйдуць	выйшаў	выйшала	выйшала	выйшалі	выйдзі	выйдзіце
выкапаць	-	-	-	-	-	-	капаю	капаеш	капае	капаем	капаеце	капаюць	капаў	капала	капала	капалі	капай	капайце
вымавіць	-	-	-	-	-	-	вымаўлю	-	-	-	-	-	-	-	-	-	-	-
выпіць	-	-	-	-	-	-	вып'ю	вып'еш	вып'е	вып'ем	вып'еце	вып'юць	-	-	-	-	-	-
выслаць	-	-	-	-	-	-	вышлю	вышлеш	вышле	вышлем	вышлеце	вышлюць	-	-	-	-	вышлі	вышліце
выссаць	-	-	-	-	-	-	выссу	выссеш	выссе	выссем	выссеце	выссуць	-	-	-	-	выссі	выссіце
выходзіць	выходжу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	выходзь	выходзьце
вэндзіць	вэнджу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
вязаць	вяжу	вяжаш	вяжа	вяжам	вяжаце	вяжуць	-	-	-	-	-	-	-	-	-	-	вяжы	вяжыце
вісець	вішу	вісіш	вісіць	вісім	вісіце	вісяць	-	-	-	-	-	-	-	-	-	-	вісі	вісіце
віць	-	-	-	-	-	-	вію	віеш	віе	віём	віяце	віюць	-	-	віло	-	-	-
гаварыць	-	гаворыш	гаворыць	гаворым	гаворыце	гавораць	-	-	-	-	-	-	-	-	-	-	-	-
галіцца	галюся	голішся	голіцца	голімся	голіцеся	голяцца	-	-	-	-	-	-	галіўся	галілася	галілася	галіліся	галіся	галіцеся
гарэць	гару	гарыш	гарыць	гарым	гарыце	гараць	-	-	-	-	-	-	-	-	-	-	гары	гарыце
гаіцца	-	-	гоіцца	-	-	гояцца	-	-	-	-	-	-	гаіўся	гаілася	гаілася	гаіліся	-	-
гаіць	-	гоіш	гоіць	гоім	гоіце	гояць	-	-	-	-	-	-	-	-	-	-	-	-
глядзець	гляджу	глядзіш	глядзіць	глядзім	глядзіце	глядзяць	-	-	-	-	-	-	-	-	-	-	глядзі	глядзіце
гнаць	ганю	гоніш	гоніць	гонім	гоніце	гоняць	-	-	-	-	-	-	-	-	-	-	гані	ганіце
гнуць	-	-	-	гнём	гняце	-	-	-	-	-	-	-	-	-	-	-	-	-
гніць	гнію	гніеш	гніе	гніём	гніяце	гніюць	-	-	-	-	-	-	-	-	гніло	-	гній	гнійце
грызці	грызу	грызеш	грызе	грызём	грызяце	грызуць	-	-	-	-	-	-	грыз	грызла	грызла	грызлі	грызі	грызіце
грэбці	грабу	грабеш	грабе	грабём	грабяце	грабуць	-	-	-	-	-	-	гроб	грэбла	грэбла	грэблі	грабі	грабіце
грэць	грэю	грэеш	грэе	грэем	грэеце	грэюць	-	-	-	-	-	-	-	-	-	-	грэй	грэйце
губіць	гублю	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
даваць	даю	даеш	дае	даём	даяце	даюць	-	-	-	-	-	-	-	-	-	-	давай	давайце
даведацца	-	-	-	-	-	-	даведаюся	даведаешся	даведаецца	даведаемся	даведаецеся	даведаюцца	даведаўся	даведалася	даведалася	даведаліся	даведайся	даведайцеся
дадаваць	дадаю	дадаеш	дадае	дадаём	дадаяце	дадаюць	-	-	-	-	-	-	-	-	-	-	дадавай	дадавайце
дадаць	-	-	-	-	-	-	дадам	дадасі	дадасць	дададзім	дадасце	дададуць	-	-	дадало	-	-	-
даехаць	-	-	-	-	-	-	даеду	даедзеш	даедзе	даедзем	даедзеце	даедуць	-	-	-	-	даедзь	даедзьце
дазволіць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	дазволь	дазвольце
дайсці	-	-	-	-	-	-	дайду	дойдзеш	дойдзе	дойдзем	дойдзеце	дойдуць	дайшоў	дайшла	дайшло	дайшлі	дайдзі	дайдзіце
даказаць	-	-	-	-	-	-	дакажу	дакажаш	дакажа	дакажам	дакажаце	дакажуць	-	-	-	-	дакажы	дакажыце
дакранацца	дакранаюся	дакранаешся	дакранаецца	дакранаемся	дакранаецеся	дакранаюцца	-	-	-	-	-	-	дакранаўся	дакраналася	дакраналася	дакраналіся	дакранайся	дакранайцеся
дакрануцца	-	-	-	-	-	-	дакрануся	дакранешся	дакранецца	дакранёмся	дакраняцеся	дакрануцца	дакрануўся	дакранулася	дакранулася	дакрануліся	дакраніся	дакраніцеся
даляцець	-	-	-	-	-	-	далячу	даляціш	даляціць	даляцім	далеціце	даляцяць	-	-	-	-	даляці	даляціце
дапамагчы	-	-	-	-	-	-	дапамагу	дапаможаш	дапаможа	дапаможам	дапаможаце	дапамогуць	дапамог	дапамагла	дапамагла	дапамаглі	дапамажы	дапамажыце
дарыць	-	дорыш	дорыць	дорым	дорыце	дораць	-	-	-	-	-	-	-	-	-	-	-	-
даставаць	дастаю	дастаеш	дастае	дастаем	дастаеце	дастаюць	-	-	-	-	-	-	-	-	-	-	даставай	даставайце
дастаць	-	-	-	-	-	-	дастану	дастанеш	дастане	дастанем	дастанеце	дастануць	-	-	-	-	дастань	дастаньце
дасягнуць	-	-	-	-	-	-	-	-	-	дасягнём	-	-	-	-	-	-	-	-
датычыцца	-	-	датычыцца	-	-	датычацца	-	-	-	-	-	-	датычыўся	датычылася	датычылася	датычыліся	датычся	датычцеся
даходзіць	даходжу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	даходзь	даходзьце
даць	-	-	-	-	-	-	дам	дасі	дасць	дамо	дасце	дадуць	-	-	дало	-	-	-
даіць	-	доіш	доіць	доім	доіце	дояць	-	-	-	-	-	-	-	-	-	-	-	-
дзець	-	-	-	-	-	-	дзену	дзенеш	дзене	дзенем	дзенеце	дзенуць	-	-	-	-	дзень	дзеньце
дзеяць	дзею	дзееш	дзее	дзеем	дзееце	дзеюць	-	-	-	-	-	-	-	-	-	-	дзей	дзейце
дзьмуць	дзьму	дзьмеш	дзьме	дзьмём	дзьмяце	дзьмуць	-	-	-	-	-	-	-	-	-	-	дзьмі	дзьміце
ездзіць	езджу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
есці	ем	ясі	есць	ядзім	ясце	ядуць	-	-	-	-	-	-	еў	ела	ела	елі	еш	ешце
есьці	ем	ясі	есць	ядзім	ясце	ядуць	-	-	-	-	-	-	еў	ела	ела	елі	еж	ежце
ехаць	еду	едзеш	едзе	едзем	едзеце	едуць	-	-	-	-	-	-	-	-	-	-	едзь	едзьце
жыцца	-	-	жывецца	-	-	-	-	-	-	-	-	-	-	-	жылося	-	-	-
жыць	жыву	жывеш	жыве	жывём	жывяце	жывуць	-	-	-	-	-	-	-	-	жыло	-	жыві	жывіце
з'есці	-	-	-	-	-	-	з'ем	з'ясі	з'есць	з'ядзім	з'ясце	з'ядуць	з'еў	з'ела	з'ела	з'елі	з'еш	з'ешце
з'явіцца	-	-	-	-	-	-	з'яўлюся	з'явішся	з'явіцца	з'явімся	з'явіцеся	з'явяцца	з'явіўся	з'явілася	з'явілася	з'явіліся	з'явіся	з'явіцеся
з'яўляцца	з'яўляюся	з'яўляешся	з'яўляецца	з'яўляемся	з'яўляецеся	з'яўляюцца	-	-	-	-	-	-	з'яўляўся	з'яўлялася	з'яўлялася	з'яўляліся	з'яўляйся	з'яўляйцеся
заахвоціць	-	-	-	-	-	-	заахвочу	-	-	-	-	-	-	-	-	-	заахвоць	заахвоцьце
забараніць	-	-	-	-	-	-	-	забароніш	забароніць	забаронім	забароніце	забароняць	-	-	-	-	-	-
забыць	-	-	-	-	-	-	забуду	забудзеш	забудзе	забудзем	забудзеце	забудуць	-	-	-	-	забудзь	забудзьце
забіць	-	-	-	-	-	-	заб'ю	заб'еш	заб'е	заб'ём	заб'яце	заб'юць	-	-	-	-	-	-
зазнаваць	зазнаю	зазнаеш	зазнае	зазнаём	зазнаяце	зазнаюць	-	-	-	-	-	-	-	-	-	-	зазнавай	зазнавайце
займацца	займаюся	займаешся	займаецца	займаемся	займаецеся	займаюцца	-	-	-	-	-	-	займаўся	займалася	займалася	займаліся	займайся	займайцеся
зайсці	-	-	-	-	-	-	зайду	зойдзеш	зойдзе	зойдзем	зойдзеце	зойдуць	зайшоў	зайшла	зайшло	зайшлі	зайдзі	зайдзіце
занурыцца	-	-	-	-	-	-	зануруся	занурышся	занурыцца	занурымся	занурыцеся	занурацца	занурыўся	занурылася	занурылася	занурыліся	занурыся	занурыцеся
заплаціць	-	-	-	-	-	-	заплачу	-	-	-	-	-	-	-	-	-	-	-
запячы	-	-	-	-	-	-	запяку	запячэш	запячэ	запячом	запечаце	запякуць	запёк	запякла	запякло	запяклі	запячы	запячыце
заставацца	застаюся	застаешся	застаецца	застаёмся	застаяцеся	застаюцца	-	-	-	-	-	-	заставаўся	заставалася	заставалася	заставаліся	заставайся	заставайцеся
застацца	-	-	-	-	-	-	застануся	застанешся	застанецца	застанёмся	застаняцеся	застануцца	застаўся	засталася	засталося	засталіся	застанься	застаньцеся
захаваць	-	-	-	-	-	-	захаваю	захаваеш	захавае	захаваем	захаваеце	захаваюць	-	-	-	-	захавай	захавайце
захапляцца	захапляюся	захапляешся	захапляецца	захапляемся	захапляецеся	захапляюцца	-	-	-	-	-	-	захапляўся	захаплялася	захаплялася	захапляліся	захапляйся	захапляйцеся
захапіць	-	-	-	-	-	-	захаплю	захопіш	захопіць	захопім	захопіце	захопяць	-	-	-	-	-	-
захацець	-	-	-	-	-	-	захачу	захочаш	захоча	захочам	захочаце	захочуць	-	-	-	-	захаці	захаціце
заявіць	-	-	-	-	-	-	заяўлю	-	-	-	-	-	-	-	-	-	-	-
збегчы	-	-	-	-	-	-	збягу	збяжыш	збяжыць	збяжым	збяжыце	збягуць	збег	збегла	збегла	збеглі	збяжы	збяжыце
зберагчы	-	-	-	-	-	-	зберагу	зберажэш	зберажэ	зберажом	зберажаце	зберагуць	збярог	зберагла	зберагло	збераглі	зберажы	зберажыце
збіць	-	-	-	-	-	-	саб'ю	саб'еш	саб'е	саб'ём	саб'яце	саб'юць	-	-	-	-	-	-
званіць	-	звоніш	звоніць	звонім	звоніце	звоняць	-	-	-	-	-	-	-	-	-	-	-	-
зваць	заву	завеш	заве	завём	завяце	завуць	-	-	-	-	-	-	-	-	-	-	заві	завіце
зводзіць	зводжу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	зводзь	зводзьце
згаджацца	згаджаюся	згаджаешся	згаджаецца	згаджаемся	згаджаецеся	згаджаюцца	-	-	-	-	-	-	згаджаўся	згаджалася	згаджалася	згаджаліся	згаджайся	згаджайцеся
згадзіцца	-	-	-	-	-	-	згаджуся	згодзішся	згодзіцца	згодзімся	згодзіцеся	згодзяцца	згадзіўся	згадзілася	згадзілася	згадзіліся	згадзіся	згадзіцеся
згарэць	-	-	-	-	-	-	згару	згарыш	згарыць	згарым	згарыце	згараць	-	-	-	-	згары	згарыце
згубіцца	-	-	-	-	-	-	згублюся	згубішся	згубіцца	згубімся	згубіцеся	згубяцца	згубіўся	згубілася	згубілася	згубіліся	згубіся	згубіцеся
згінуць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	згінь	згіньце
здавацца	здаюся	здаешся	здаецца	здаёмся	здаяцеся	здаюцца	-	-	-	-	-	-	здаваўся	здавалася	здавалася	здаваліся	здавайся	здавайцеся
здарацца	здараюся	здараешся	здараецца	здараемся	здараецеся	здараюцца	-	-	-	-	-	-	здараўся	здаралася	здаралася	здараліся	здарайся	здарайцеся
здарыцца	-	-	-	-	-	-	здаруся	здарышся	здарыцца	здарымся	здарыцеся	здарацца	здарыўся	здарылася	здарылася	здарыліся	здарся	здарцеся
здзекавацца	здзекуюся	здзекуешся	здзекуецца	здзекуемся	здзекуецеся	здзекуюцца	-	-	-	-	-	-	здзекаваўся	здзекавалася	здзекавалася	здзекаваліся	здзекуйся	здзекуйцеся
зжаць	-	-	-	-	-	-	сажну	сажнеш	сажне	сажнём	сажняце	сажнуць	-	-	-	-	сажні	сажніце
зламацца	-	-	-	-	-	-	зламлюся	зломішся	зломіцца	зломімся	зломіцеся	зломяцца	зламаўся	зламалася	зламалася	зламаліся	зламіся	зламіцеся
зламаць	-	-	-	-	-	-	зламлю	зломіш	зломіць	зломім	зломіце	зломяць	-	-	-	-	зламі	зламіце
зліць	-	-	-	-	-	-	злію	зліеш	зліе	зліём	зліяце	зліюць	-	-	зліло	-	-	-
змагчы	-	-	-	-	-	-	змагу	зможаш	зможа	зможам	зможаце	змогуць	змог	змагла	змагло	змаглі	змажы	змажыце
змяняцца	змяняюся	змяняешся	змяняецца	змяняемся	змяняецеся	змяняюцца	-	-	-	-	-	-	змяняўся	змянялася	змянялася	змяняліся	змяняйся	змяняйцеся
змяняць	змяню	зменіш	зменіць	зменім	зменіце	зменяць	-	-	-	-	-	-	змяніў	змяніла	змяніла	змянілі	змяні	змяніце
змяніцца	-	-	-	-	-	-	змянюся	зменішся	зменіцца	зменімся	зменіцеся	зменяцца	змяніўся	змянілася	змянілася	змяніліся	змяніся	змяніцеся
змяніць	-	-	-	-	-	-	-	зменіш	зменіць	зменім	зменіце	зменяць	-	-	-	-	-	-
знайсці	-	-	-	-	-	-	знайду	знойдзеш	знойдзе	знойдзем	знойдзеце	знойдуць	знайшоў	знайшла	знайшло	знайшлі	знайдзі	знайдзіце
знаходзіцца	знаходжуся	знаходзішся	знаходзіцца	знаходзімся	знаходзіцеся	знаходзяцца	-	-	-	-	-	-	знаходзіўся	знаходзілася	знаходзілася	знаходзіліся	знаходзься	знаходзьцеся
знаходзіць	знаходжу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	знаходзь	знаходзьце
значыць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	знач	значце
знаёміць	знаёмлю	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	знаёмь	знаёмьце
зняць	-	-	-	-	-	-	здыму	здымеш	здыме	здымем	здымеце	здымуць	-	-	-	-	здымі	здыміце
знікнуць	-	-	-	-	-	-	-	-	-	-	-	-	знік	знікла	знікла	зніклі	-	-
зрабіцца	-	-	-	-	-	-	зраблюся	зробішся	зробіцца	зробімся	зробіцеся	зробяцца	зрабіўся	зрабілася	зрабілася	зрабіліся	зрабіся	зрабіцеся
зрабіць	-	-	-	-	-	-	зраблю	зробіш	зробіць	зробім	зробіце	зробяць	-	-	-	-	-	-
зьбегчы	-	-	-	-	-	-	зьбягу	зьбяжыш	зьбяжыць	зьбяжым	зьбяжыце	зьбягуць	зьбег	зьбегла	зьбегла	зьбеглі	зьбяжы	зьбяжыце
казаць	кажу	кажаш	кажа	кажам	кажаце	кажуць	-	-	-	-	-	-	-	-	-	-	кажы	кажыце
калоць	калю	колеш	коле	колем	колеце	колюць	-	-	-	-	-	-	-	-	-	-	калі	каліце
карыстацца	карыстаюся	карыстаешся	карыстаецца	карыстаемся	карыстаецеся	карыстаюцца	-	-	-	-	-	-	карыстаўся	карысталася	карысталася	карысталіся	карыстайся	карыстайцеся
класці	кладу	кладзеш	кладзе	кладзём	кладзяце	кладуць	-	-	-	-	-	-	клаў	клала	клала	клалі	кладзі	кладзіце
класціся	кладуся	кладзешся	кладзецца	кладзёмся	кладзяцеся	кладуцца	-	-	-	-	-	-	клаўся	клалася	клалася	клаліся	кладзіся	кладзіцеся
клікаць	клічу	клічаш	кліча	клічам	клічаце	клічуць	-	-	-	-	-	-	-	-	-	-	кліч	клічце
крануць	-	-	-	-	-	-	-	-	-	кранём	краняце	-	-	-	-	-	-	-
красці	краду	крадзеш	крадзе	крадзем	крадзеце	крадуць	-	-	-	-	-	-	краў	крала	крала	кралі	крадзь	крадзьце
крыжмаваць	крыжмyю	крыжмyеш	крыжмyе	крыжмyем	крыжмyеце	крыжмyюць	-	-	-	-	-	-	-	-	-	-	забывай	забывайце
крычаць	крычу	крычыш	крычыць	крычым	крычыце	крычаць	-	-	-	-	-	-	-	-	-	-	крычы	крычыце
крыўдзіць	крыўджу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
купіць	-	-	-	-	-	-	куплю	-	-	-	-	-	-	-	-	-	-	-
кінуць	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	кінь	кіньце
лавіць	лаўлю	ловіш	ловіць	ловім	ловіце	ловяць	-	-	-	-	-	-	-	-	-	-	-	-
ладзіць	ладжу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ладзь	ладзьце
лазіць	лажу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	лазь	лазьце
ламацца	ламлюся	ломішся	ломіцца	ломімся	ломіцеся	ломяцца	-	-	-	-	-	-	ламаўся	ламалася	ламалася	ламаліся	ламіся	ламіцеся
ламаць	ламлю	ломіш	ломіць	ломім	ломіце	ломяць	-	-	-	-	-	-	-	-	-	-	ламі	ламіце
лгаць	лгу	лжэш	лжэ	лжом	лжаце	лгуць	-	-	-	-	-	-	-	-	-	-	лжы	лжыце
легчы	-	-	-	-	-	-	лягу	ляжаш	ляжа	ляжам	ляжаце	лягуць	лёг	легла	легла	леглі	ляж	ляжце
лезці	лезу	лезеш	лезе	лезем	лезеце	лезуць	-	-	-	-	-	-	лез	лезла	лезла	лезлі	лезь	лезьце
лупіць	луплю	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
любіць	люблю	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ляжаць	ляжу	ляжыш	ляжыць	ляжым	лежыце	ляжаць	-	-	-	-	-	-	-	-	-	-	ляжы	ляжыце
лякацца	лякаюся	лякаешся	лякаецца	лякаемся	лякаецеся	лякаюцца	-	-	-	-	-	-	лякаўся	лякалася	лякалася	лякаліся	лякайся	лякайцеся
ляцець	лячу	ляціш	ляціць	ляцім	леціце	ляцяць	-	-	-	-	-	-	-	-	-	-	ляці	ляціце
ліць	лью	льеш	лье	льём	льяце	льюць	-	-	-	-	-	-	-	-	ліло	-	-	-
магчы	магу	можаш	можа	можам	можаце	могуць	-	-	-	-	-	-	мог	магла	магло	маглі	мажы	мажыце
маўчаць	маўчу	маўчыш	маўчыць	маўчым	маўчыце	маўчаць	-	-	-	-	-	-	-	-	-	-	маўчы	маўчыце
межаваць	мяжую	мяжуеш	мяжуе	мяжуем	мяжуеце	мяжуюць	-	-	-	-	-	-	-	-	-	-	мяжуй	мяжуйце
меркаваць	мяркую	мяркуеш	мяркуе	мяркуем	мяркуеце	мяркуюць	-	-	-	-	-	-	-	-	-	-	мяркуй	мяркуйце
месці	мяту	мяцеш	мяце	мяцём	мецяце	мятуць	-	-	-	-	-	-	мёў	мяла	мяло	мялі	мяці	мяціце
мець	маю	маеш	мае	маем	маеце	маюць	-	-	-	-	-	-	-	-	-	-	май	майце
мовіць	моўлю	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	моў	моўце
мусіць	мушу	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
мыцца	мыюся	мыешся	мыецца	мыемся	мыецеся	мыюцца	-	-	-	-	-	-	мыўся	мылася	мылася	мыліся	мыйся	мыйцеся
мыць	мыю	мыеш	мые	мыем	мыеце	мыюць	-	-	-	-	-	-	-	-	-	-	мый	мыйце
мяць	мну	мнеш	мне	мнём	мняце	мнуць	-	-	-	-	-	-	-	-	-	-	мні	мніце
мінуцца	-	-	-	-	-	-	-	-	мінецца	-	-	мінуцца	мінуўся	мінулася	мінулася	мінуліся	-	-
набліжацца	набліжаюся	набліжаешся	набліжаецца	набліжаемся	набліжаецеся	набліжаюцца	-	-	-	-	-	-	набліжаўся	набліжалася	набліжалася	набліжаліся	набліжайся	набліжайцеся
навучыцца	-	-	-	-	-	-	навучуся	навучышся	навучыцца	навучымся	навучыцеся	навучацца	навучыўся	навучылася	навучылася	навучыліся	навучыся	навучыцеся
надзець	-	-	-	-	-	-	надзену	надзенеш	надзене	надзенем	надзенеце	надзенуць	-	-	-	-	надзень	надзеньце
надзяваць	надзяваю	надзяваеш	надзявае	надзяваем	надзяваеце	надзяваюць	-	-	-	-	-	-	-	-	-	-	надзявай	надзявайце
