# Swedish principal parts, mined from the gold oracles.
# lemma <TAB> present <TAB> past <TAB> supine <TAB> imperative <TAB> subj-pres <TAB> subj-past ("-" = class-1 default)
K-märka	K-märker	K-märkte	K-märkt	K-märk	-	-
avklä	-	avklädde	avklätt	-	-	-
avkräva	avkräver	avkrävde	avkrävt	avkräv	-	-
avkyla	avkyler	avkylde	avkylt	avkyl	-	-
avkänna	avkänner	avkände	avkänt	avkänn	-	-
avleda	avleder	avledde	avlett	avled	-	-
avlida	avlider	avled	avlidit	avlid	-	-
avlysa	avlyser	avlyste	avlyst	avlys	-	-
avlägga	avlägger	avla	avlagt	avlägg	-	-
avläsa	avläser	avläste	avläst	avläs	-	-
avlåta	avlåter	avlät	avlåtit	avlåt	-	-
avlöpa	avlöper	avlöpte	avlöpt	avlöp	-	-
avlösa	avlöser	avlöste	avlöst	avlös	-	-
avmäta	avmäter	avmätte	avmätt	avmät	-	-
avnjuta	avnjuter	avnjöt	avnjutit	avnjut	-	-
avreda	avreder	avredde	avrett	avred	-	-
avresa	avreser	avreste	avrest	avres	-	-
avrinna	avrinner	avrann	avrunnit	avrinn	-	-
avråda	avråder	avrådde	avrått	avråd	-	-
avse	-	avsåg	avsett	-	-	-
avsjunga	avsjunger	avsjöng	avsjungit	avsjung	-	-
avskava	avskaver	avskavde	avskavt	avskav	-	-
avskilja	avskiljer	avskilde	avskilt	avskilj	-	-
avskjuta	avskjuter	avsköt	avskjutit	avskjut	-	-
avskriva	avskriver	avskrev	avskrivit	avskriv	-	-
avskräcka	avskräcker	avskräckte	avskräckt	avskräck	-	-
avskräda	avskräder	avskrädde	avskrätt	avskräd	-	-
avsky	-	avskydde	avskytt	-	-	-
avskära	avskär	avskar	avskurit	avskär	-	-
avslita	avsliter	avslet	avslitit	avslit	-	-
avslå	-	avslog	avslagit	-	-	-
avsnöra	avsnör	avsnörde	avsnört	avsnör	-	-
avstyra	avstyr	avstyrde	avstyrt	avstyr	-	-
avstyrka	avstyrker	avstyrkte	avstyrkt	avstyrk	-	-
avställa	avställer	avställde	avställt	avställ	-	-
avstämma	avstämmer	avstämde	avstämt	avstäm	-	-
avstänga	avstänger	avstängde	avstängt	avstäng	-	-
avstå	-	avstod	avstått	-	-	-
avstöra	avstör	avstörde	avstört	avstör	-	-
avstöta	avstöter	avstötte	avstött	avstöt	-	-
avsvärja	avsvär	avsvor	avsvurit	avsvärj	-	-
avsäga	avsäger	avsa	avsagt	avsäg	-	-
avsända	avsänder	avsände	avsänt	avsänd	-	-
avsätta	avsätter	avsatte	avsatt	avsätt	-	-
avsöka	avsöker	avsökte	avsökt	avsök	-	-
avta	-	avtog	avtagit	-	avtage	-
avträda	avträder	avträdde	avträtt	avträd	-	-
avtvå	-	avtvådde	avtvagit	-	-	-
avtäcka	avtäcker	avtäckte	avtäckt	avtäck	-	-
avvika	avviker	avvek	avvikit	avvik	-	-
avvinna	avvinner	avvann	avvunnit	avvinn	-	-
avväga	avväger	avvägde	avvägt	avväg	-	-
avvända	avvänder	avvände	avvänt	avvänd	-	-
avvänja	avvänjer	avvande	avvant	avvänj	-	-
avvärja	avvärjer	avvärjde	avvärjt	avvärj	-	-
aväta	aväter	avåt	avätit	avät	-	-
bakbinda	bakbinder	bakband	bakbundit	bakbind	-	-
bannlysa	bannlyser	bannlyste	bannlyst	bannlys	-	-
be	-	bad	bett	-	bede	-
bebo	-	bebodde	bebott	-	-	-
bebygga	bebygger	bebyggde	bebyggt	bebygg	-	-
bedra	-	bedrog	bedragit	-	bedrage	-
bedriva	bedriver	bedrev	bedrivit	bedriv	-	-
bedöma	bedömer	bedömde	bedömt	bedöm	-	-
befalla	befaller	befallde	befallt	befall	-	-
befinna	befinner	befann	befunnit	befinn	-	-
befinnas	befinns	-	-	-	-	-
befästa	befäster	befäste	befäst	befäst	-	-
begjuta	begjuter	begöt	begjutit	begjut	-	-
beglänsa	beglänser	beglänste	beglänst	begläns	-	-
begrava	begraver	begravde	begravit	begrav	-	-
begripa	begriper	begrep	begripit	begrip	-	-
begråta	begråter	begrät	begråtit	begråt	-	-
begynna	begynner	begynte	begynt	begynn	-	-
begära	begär	begärde	begärt	begär	-	-
begå	-	begick	begått	-	begånge	-
behänga	behänger	behängde	behängt	behäng	-	-
behålla	behåller	behöll	behållit	behåll	-	-
behöva	behöver	behövde	behövt	behöv	-	-
behövas	behövs	-	-	-	-	-
bekantgöra	bekantgör	bekantgjorde	bekantgjort	bekantgör	-	-
beklä	-	beklädde	beklätt	-	-	-
beknipa	bekniper	beknep	beknipit	beknip	-	-
bekomma	bekommer	bekom	bekommit	-	-	-
bekröna	bekröner	bekrönte	bekrönt	bekrön	-	-
bekänna	bekänner	bekände	bekänt	bekänn	-	-
bele	-	belog	belett	-	-	-
beljuga	beljuger	beljög	beljugit	beljug	-	-
belysa	belyser	belyste	belyst	belys	-	-
belägga	belägger	bela	belagt	belägg	-	-
bemänga	bemänger	bemängde	bemängt	bemäng	-	-
bemärka	bemärker	bemärkte	bemärkt	bemärk	-	-
bemöta	bemöter	bemötte	bemött	bemöt	-	-
benämna	benämner	benämnde	benämnt	benämn	-	-
bepryda	bepryder	beprydde	beprytt	bepryd	-	-
bereda	bereder	beredde	berett	bered	-	-
bero	-	berodde	berott	-	-	-
berömma	berömmer	berömde	berömt	beröm	-	-
beröra	berör	berörde	berört	berör	-	-
bese	-	besåg	besett	-	-	-
besitta	besitter	besatt	besuttit	besitt	-	-
besjunga	besjunger	besjöng	besjungit	besjung	-	-
beskjuta	beskjuter	besköt	beskjutit	beskjut	-	-
beskriva	beskriver	beskrev	beskrivit	beskriv	-	-
beskylla	beskyller	beskyllde	beskyllt	beskyll	-	-
beskära	beskär	beskar	beskurit	beskär	-	-
beslaglägga	beslaglägger	beslagla	beslaglagt	beslaglägg	-	-
beslagta	-	beslagtog	beslagtagit	-	beslagtage	-
beslå	-	beslog	beslagit	-	-	-
besmörja	besmörjer	besmorde	besmort	besmörj	-	-
besticka	besticker	bestack	bestuckit	bestick	-	-
bestiga	bestiger	besteg	bestigit	bestig	-	-
bestjäla	bestjäl	bestal	bestulit	bestjäl	-	-
bestrida	bestrider	bestred	bestridit	bestrid	-	-
bestryka	bestryker	beströk	bestrukit	bestryk	-	-
beströ	-	beströdde	bestrött	-	-	-
bestyra	bestyr	bestyrde	bestyrt	bestyr	-	-
bestyrka	bestyrker	bestyrkte	bestyrkt	bestyrk	-	-
beställa	beställer	beställde	beställt	beställ	-	-
bestämma	bestämmer	bestämde	bestämt	bestäm	-	-
bestänka	bestänker	bestänkte	bestänkt	bestänk	-	-
bestå	-	bestod	bestådd	-	-	-
besvärja	besvär	besvor	besvurit	besvärj	-	-
besätta	besätter	besatte	besatt	besätt	-	-
beså	-	besådde	besått	-	-	-
besöka	besöker	besökte	besökt	besök	-	-
besörja	besörjer	besörjde	besörjt	besörj	-	-
beta	-	-	-	-	betage	-
betro	-	betrodde	betrott	-	-	-
betrycka	betrycker	betryckte	betryckt	betryck	-	-
beträda	beträder	beträdde	beträtt	beträd	-	-
betyda	betyder	betydde	betytt	betyd	-	-
betygssätta	betygssätter	betygssatte	betygssatt	betygssätt	-	-
betygsätta	betygsätter	betygsatte	betygsatt	betygsätt	-	-
betäcka	betäcker	betäckte	betäckt	betäck	-	-
betänka	betänker	betänkte	betänkt	betänk	-	-
bevare	-	-	-	-	bevare	-
bibehålla	bibehåller	bibehöll	bibehållit	bibehåll	-	-
bidra	-	bidrog	bidragit	-	bidrage	-
bifalla	bifaller	biföll	bifallit	bifall	-	-
bilägga	bilägger	bila	bilagt	bilägg	-	-
binda	binder	band	bundit	bind	-	-
bispringa	bispringer	bisprang	bisprungit	bispring	-	-
bisträcka	bisträcker	bisträckte	bisträckt	bisträck	-	-
bistå	-	bistod	bistått	-	-	-
bisätta	bisätter	bisatte	bisatt	bisätt	-	-
bitas	bits	-	-	-	-	-
biträda	biträder	biträdde	biträtt	biträd	-	-
bjuda	bjuder	bjöd	bjudit	bjud	-	-
bleka	bleker	blekte	blekt	blek	-	-
bli	-	blev	blivit	-	blive	-
blottlägga	blottlägger	blottla	blottlagt	blottlägg	-	-
blottställa	blottställer	blottställde	blottställt	blottställ	-	-
blygas	blygs	-	-	-	-	-
blänga	blänger	blängde	blängt	bläng	-	-
blänka	blänker	blänkte	blänkt	blänk	-	-
blåköra	blåkör	blåkörde	blåkört	blåkör	-	-
blåljuga	blåljuger	blåljög	blåljugit	blåljug	-	-
blåsa	blåser	blåste	blåst	blås	-	-
blöda	blöder	blödde	blött	blöd	-	-
blöta	blöter	blötte	blött	blöt	-	-
blötlägga	blötlägger	blötla	blötlagt	blötlägg	-	-
bo	-	bodde	bott	-	-	-
bokföra	bokför	bokförde	bokfört	bokför	-	-
bordlägga	bordlägger	bordla	bordlagt	bordlägg	-	-
bortavinna	bortavinner	bortavann	bortavunnit	bortavinn	-	-
bortdriva	bortdriver	bortdrev	bortdrivit	bortdriv	-	-
bortfalla	bortfaller	bortföll	bortfallit	bortfall	-	-
bortföra	bortför	bortförde	bortfört	bortför	-	-
bortgå	-	bortgick	bortgått	-	-	-
bortrinna	bortrinner	bortrann	bortrunnit	bortrinn	-	-
bortse	-	bortsåg	bortsett	-	-	-
bortskrämma	bortskrämmer	bortskrämme	bortskrämt	bortskräm	-	-
bortskänka	bortskänker	bortskänkte	bortskänkt	bortskänk	-	-
bortsluta	bortsluter	bortslöt	bortslutit	bortslut	-	-
bortta	-	borttog	borttagit	-	borttage	-
borttränga	borttränger	bortträngde	bortträngt	bortträng	-	-
bortvräka	bortvräker	bortvräkte	bortvräkt	bortvräk	-	-
bottenfrysa	bottenfryser	bottenfryste	bottenfrusit	bottenfrys	-	-
bre	-	bredde	brett	-	-	-
bredså	-	bredsådde	bredsått	-	-	-
brinna	brinner	brann	brunnit	brinn	-	-
brista	brister	brast	brustit	brist	-	-
brolägga	brolägger	brola	brolagt	brolägg	-	-
bronsförgylla	bronsförgyller	bronsförgyllde	bronsförgyllt	bronsförgyll	-	-
brukslå	-	brukslog	brukslagit	-	-	-
bry	-	brydde	brytt	-	-	-
bryta	bryter	bröt	brutit	bryt	-	-
bräcka	bräcker	bräckte	bräckt	bräck	-	-
brädbeklä	-	brädbeklädde	brädbeklätt	-	-	-
brädbeslå	-	brädbeslog	brädbeslagit	-	-	-
brädslå	-	brädslog	brädslagit	-	-	-
bräka	bräker	bräkte	bräkt	bräk	-	-
bränna	bränner	brände	bränt	bränn	-	-
brännas	bränns	-	-	-	-	-
brännmärka	brännmärker	brännmärkte	brännmärkt	brännmärk	-	-
busringa	busringer	busringde	busringt	busring	-	-
bygga	bygger	byggde	byggt	bygg	-	-
byka	byker	bykte	bykt	byk	-	-
bysätta	bysätter	bysatte	bysatt	bysätt	-	-
byta	byter	bytte	bytt	byt	-	-
bända	bänder	bände	bänt	bänd	-	-
bära	bär	bar	burit	bär	-	-
böja	böjer	böjde	böjt	böj	-	-
bönfalla	bönfaller	bönföll	bönfallit	bönfall	-	-
bönhöra	bönhör	bönhörde	bönhört	bönhör	-	-
böra	bör	borde	bort	bör	-	-
bötfälla	bötfäller	bötfällde	bötfällt	bötfäll	-	-
chockhöja	chockhöjer	chockhöjde	chockhöjt	chockhöj	-	-
dagdrömma	dagdrömmer	dagdrömde	dagdrömt	dagdröm	-	-
dammsuga	dammsuger	dammsög	dammsugit	dammsug	-	-
datummärka	datummärker	datummärkte	datummärkt	datummärk	-	-
delge	-	delgav	delgett	-	delgive	-
delta	-	deltog	deltagit	-	deltage	-
detaljstyra	detaljstyr	detaljstyrde	detaljstyrt	detaljstyr	-	-
diarieföra	diarieför	diarieförde	diariefört	diarieför	-	-
dimpa	dimper	damp	dumpit	dimp	-	-
direktsända	direktsänder	direktsände	direktsänt	direktsänd	-	-
djupfrysa	djupfryser	djupfryste	djupfryst	djupfrys	-	-
djärvas	djärvs	djärvdes	djärvts	-	-	-
domfälla	domfäller	domfällde	domfällt	domfäll	-	-
dra	-	drog	dragit	-	drage	-
drejvända	drejvänder	drejvände	drejvänt	drejvänd	-	-
dricka	dricker	drack	druckit	drick	-	-
driva	driver	drev	drivit	driv	-	-
drypa	dryper	dröp	drupit	dryp	-	-
drälla	dräller	drällde	drällt	dräll	-	-
drämma	drämmer	drämde	drämt	dräm	-	-
dränka	dränker	dränkte	dränkt	dränk	-	-
dräpa	dräper	dräpte	dräpt	dräp	-	-
dröja	dröjer	dröjde	dröjt	dröj	-	-
drömma	drömmer	drömde	drömt	dröm	-	-
drösa	dröser	-	-	drös	-	-
duga	duger	-	dugit	dug	-	-
dväljas	dväljs	-	-	-	-	-
dyka	dyker	dykte	dykt	dyk	-	-
dämma	dämmer	dämde	dämt	däm	-	-
dänga	dänger	dängde	dängt	däng	-	-
dänka	dänker	dänkte	dänkt	dänk	-	-
dö	-	dog	dött	-	-	-
dödsskjuta	dödsskjuter	dödssköt	dödsskjutit	dödsskjut	-	-
dölja	döljer	dolde	dolt	dölj	-	-
döma	dömer	dömde	dömt	döm	-	-
döpa	döper	döpte	döpt	döp	-	-
edfästa	edfäster	edfäste	edfäst	edfäst	-	-
efteranmäla	efteranmäler	efteranmälde	efteranmält	efteranmäl	-	-
efterfölja	efterföljer	efterföljde	efterföljt	efterfölj	-	-
efterge	-	eftergav	eftergett	-	eftergive	-
eftergöra	eftergör	eftergjorde	eftergjort	eftergör	-	-
efterhålla	efterhåller	efterhöll	efterhållit	efterhåll	-	-
efterhöra	efterhör	efterhörde	efterhört	efterhör	-	-
efterkomma	efterkommer	efterkom	efterkommit	efterkom	-	-
efterleva	efterlever	efterlevde	-	efterlev	-	-
efterlysa	efterlyser	efterlyste	efterlyst	efterlys	-	-
efterlåta	efterlåter	efterlät	efterlåtit	efterlåt	-	-
efterse	-	eftersåg	eftersett	-	-	-
efterskänka	efterskänker	efterskänkte	efterskänkt	efterskänk	-	-
eftersäga	eftersäger	eftersa	eftersagt	eftersäg	-	-
eftersända	eftersänder	eftersände	eftersänt	eftersänd	-	-
eftersätta	eftersätter	eftersatte	eftersatt	eftersätt	-	-
eftersöka	eftersöker	eftersökte	eftersökt	eftersök	-	-
efterträda	efterträder	efterträdde	efterträtt	efterträd	-	-
eftertrå	-	eftertrådde	eftertrått	-	-	-
egensvänga	egensvänger	egensvängde	egensvängt	egensväng	-	-
emotse	-	emotsåg	emotsett	-	-	-
emotstå	-	emotstod	emotstått	-	-	-
emotta	-	emottog	emottagit	-	emottage	-
enkelskriva	enkelskriver	enkelskrev	enkelskrivit	enkelskriv	-	-
erbjuda	erbjuder	erbjöd	erbjudit	erbjud	-	-
erfara	erfar	erfor	erfarit	erfar	-	-
erhålla	erhåller	erhöll	erhållit	erhåll	-	-
erkänna	erkänner	erkände	erkänt	erkänn	-	-
erlägga	erlägger	erla	erlagt	erlägg	-	-
ernå	-	ernådde	ernått	-	-	-
ersätta	ersätter	ersatte	ersatt	ersätt	-	-
extraknäcka	extraknäcker	extraknäckte	extraknäckt	extraknäck	-	-
falla	faller	föll	fallit	fall	-	-
fara	far	for	farit	far	-	-
fastgöra	fastgör	fastgjorde	fastgjort	fastgör	-	-
fasthålla	fasthåller	fasthöll	fasthållit	fasthåll	-	-
fastlägga	fastlägger	fastla	fastlagt	fastlägg	-	-
fastslå	-	fastslog	fastslagit	-	-	-
fastställa	fastställer	fastställde	fastställt	fastställ	-	-
fastsätta	fastsätter	fastsatte	fastsatt	fastsätt	-	-
fastta	-	fasttog	fasttagit	-	fasttage	-
felbedöma	felbedömer	felbedömde	felbedömt	felbedöm	-	-
finbränna	finbränner	finbrände	finbränt	finbränn	-	-
fininställa	fininställer	fininställde	fininställt	fininställ	-	-
finmala	finmaler	finmalde	finmalt	finmal	-	-
finna	finner	fann	funnit	finn	-	-
finnas	finns	fanns	funnits	-	-	-
fisa	fiser	fes	fisit	fis	-	-
fly	-	flydde	flytt	-	-	-
flyga	flyger	flög	flugit	flyg	-	-
flyta	flyter	flöt	flutit	flyt	-	-
fläka	fläker	fläkte	fläkt	fläk	-	-
flänga	flänger	flängde	flängt	fläng	-	-
flå	-	flådde	flått	-	-	-
fnysa	fnyser	fnyste	fnyst	fnys	-	-
fogstryka	fogstryker	fogströk	fogstrukit	fogstryk	-	-
folkbokföra	folkbokför	folkbokförde	folkbokfört	folkbokför	-	-
fontänkräkas	fontänkräks	-	-	-	-	-
formge	-	formgav	formgett	-	formgive	-
formgjuta	formgjuter	formgöt	formgjutit	formgjut	-	-
fortbestå	-	fortbestod	fortbestått	-	-	-
fortfara	fortfar	fortfor	fortfarit	fortfar	-	-
fortgå	-	fortgick	fortgått	-	-	-
fortköra	fortkör	fortkörde	fortkört	fortkör	-	-
fortleva	fortlever	fortlevde	-	fortlev	-	-
fortlöpa	fortlöper	fortlöpte	fortlöpt	fortlöp	-	-
fortskrida	fortskrider	fortskred	fortskridit	fortskrid	-	-
fortsätta	fortsätter	fortsatte	fortsatt	fortsätt	-	-
frambesvärja	frambesvär	frambesvor	frambesvurit	frambesvärj	-	-
frambryta	frambryter	frambröt	frambrutit	frambryt	-	-
frambära	frambär	frambar	framburit	frambär	-	-
framdriva	framdriver	framdrev	framdrivit	framdriv	-	-
framfara	framfar	framfor	framfarit	framfar	-	-
framföda	framföder	framfödde	framfött	framföd	-	-
framföra	framför	framförde	framfört	framför	-	-
framgå	-	framgick	framgått	-	framgånge	-
framhäva	framhäver	framhävde	framhävt	framhäv	-	-
framhålla	framhåller	framhöll	framhållit	framhåll	-	-
framkomma	framkommer	framkom	framkommit	framkom	-	-
framleva	framlever	framlevde	-	framlev	-	-
framlida	framlider	framled	framlidit	framlid	-	-
framlägga	framlägger	framla	framlagt	framlägg	-	-
framskina	framskiner	framsken	framskinit	framskin	-	-
framskjuta	framskjuter	framsköt	framskjutit	framskjut	-	-
framskrida	framskrider	framskred	framskridit	framskrid	-	-
framställa	framställer	framställde	framställt	framställ	-	-
framstå	-	framstod	framstått	-	-	-
framsäga	framsäger	framsade	framsagt	framsäg	-	-
framträda	framträder	framträdde	framträtt	framträd	-	-
framtränga	framtränger	framträngde	framträngt	framträng	-	-
framväxa	framväxer	framväxte	framvuxit	-	-	-
fridlysa	fridlyser	fridlyste	fridlyst	fridlys	-	-
frige	-	frigav	frigett	-	frigive	-
frigöra	frigör	frigjorde	frigjort	frigör	-	-
frikänna	frikänner	frikände	frikänt	frikänn	-	-
friköpa	friköper	friköpte	friköpt	friköp	-	-
frilägga	frilägger	frila	frilagt	frilägg	-	-
frimärka	frimärker	frimärkte	frimärkt	frimärk	-	-
friskanmäla	friskanmäler	friskanmälde	friskanmält	friskanmäl	-	-
friskskriva	friskskriver	friskskrev	friskskrivit	friskskriv	-	-
frisläppa	frisläpper	frisläppte	frisläppt	frisläpp	-	-
friställa	friställer	friställde	friställt	friställ	-	-
frisäga	frisäger	frisade	frisagt	frisäg	-	-
frisätta	frisätter	frisatte	frisatt	frisätt	-	-
frita	-	fritog	fritagit	-	fritage	-
fryna	fryner	frynte	frynt	fryn	-	-
frysa	fryser	fryste	frusit	frys	-	-
frälsa	frälser	frälste	frälst	fräls	-	-
fräsa	fräser	fräste	fräst	fräs	-	-
fräta	fräter	frätte	frätt	frät	-	-
fråndöma	fråndömer	fråndömde	fråndömt	fråndöm	-	-
frångå	-	frångick	frångått	-	-	-
frånkänna	frånkänner	frånkände	frånkänt	frånkänn	-	-
frånse	-	frånsåg	frånsett	-	-	-
frånskilja	frånskiljer	frånskilde	frånskilt	frånskilj	-	-
frånta	-	fråntog	fråntagit	-	fråntage	-
frånträda	frånträder	frånträdde	frånträtt	frånträd	-	-
fullfölja	fullföljer	fullföljde	fullföljt	fullfölj	-	-
fullgöra	fullgör	fullgjorde	fullgjort	fullgör	-	-
fylla	fyller	fyllde	fyllt	fyll	-	-
fälla	fäller	fällde	fällt	fäll	-	-
färdigbygga	färdigbygger	färdigbyggde	färdigbyggt	färdigbygg	-	-
färdigjäsa	färdigjäser	färdigjäste	färdigjäst	färdigjäs	-	-
färdigställa	färdigställer	färdigställde	färdigställt	färdigställ	-	-
färglägga	färglägger	färgla	färglagt	färglägg	-	-
fästa	fäster	fäste	fäst	fäst	-	-
få	-	fick	fått	-	-	-
föda	föder	födde	fött	föd	-	-
följa	följer	följde	följt	följ	-	-
föra	för	förde	fört	för	-	-
föranleda	föranleder	föranledde	föranlett	föranled	-	-
föranlåta	föranlåter	föranlät	föranlåtit	föranlåt	-	-
föranmäla	föranmäler	föranmälde	föranmält	föranmäl	-	-
förbehålla	förbehåller	förbehöll	förbehållit	förbehåll	-	-
förbereda	förbereder	förberedde	förberett	förbered	-	-
förbeställa	förbeställer	förbeställde	förbeställt	förbeställ	-	-
förbigå	-	förbigick	förbigått	-	förbigånge	-
förbinda	förbinder	förband	förbundit	förbind	-	-
förbise	-	förbisåg	förbisett	-	-	-
förbjuda	förbjuder	förbjöd	förbjudit	förbjud	-	-
förbli	-	förblev	förblivit	-	förblive	-
förblöda	förblöder	förblödde	förblött	förblöd	-	-
förbrinna	förbrinner	förbrann	förbrunnit	förbrinn	-	-
förbränna	förbränner	förbrände	förbränt	förbränn	-	-
förbygga	förbygger	förbyggde	förbyggt	förbygg	-	-
förbyta	förbyter	förbytte	förbytt	förbyt	-	-
fördra	-	fördrog	fördragit	-	fördrage	-
fördriva	fördriver	fördrev	fördrivit	fördriv	-	-
fördröja	fördröjer	fördröjde	fördröjt	fördröj	-	-
fördämma	fördämmer	fördämde	fördämt	fördäm	-	-
fördölja	fördöljer	fördolde	fördolt	fördölj	-	-
fördöma	fördömer	fördömde	fördömt	fördöm	-	-
förebrå	-	förebrådde	förebrått	-	-	-
förebygga	förebygger	förebyggde	förebyggt	förebygg	-	-
förebära	förebär	förebar	föreburit	förebär	-	-
föredra	-	föredrog	föredragit	-	föredrage	-
förefalla	förefaller	föreföll	förefallit	förefall	-	-
förefinnas	förefinns	-	-	-	-	-
förege	-	föregav	föregett	-	föregive	-
föregripa	föregriper	föregrep	föregripit	föregrip	-	-
föregå	-	föregick	föregått	-	föregånge	-
föreha	-	-	förehaft	-	-	-
förehålla	förehåller	förehöll	förehållit	förehåll	-	-
förekomma	förekommer	förekom	förekommit	förekom	-	-
föreligga	föreligger	förelåg	förelegat	föreligg	-	-
förelägga	förelägger	förela	förelagt	förelägg	-	-
föreläsa	föreläser	föreläste	föreläst	föreläs	-	-
föreskriva	föreskriver	föreskrev	föreskrivit	föreskriv	-	-
föreslå	-	föreslog	föreslagit	-	-	-
förespå	-	förespådde	förespått	-	-	-
föreställa	föreställer	föreställde	föreställt	föreställ	-	-
förestå	-	förestod	förestått	-	-	-
företa	-	företog	företagit	-	företage	-
förete	-	företedde	företett	-	-	-
företräda	företräder	företrädde	företrätt	företräd	-	-
förevara	-	förevar	förevarit	-	-	-
förfalla	förfaller	förföll	förfallit	förfall	-	-
förfara	förfar	förfor	förfarit	förfar	-	-
förfaras	förfars	förfors	förfarits	-	-	-
förflyta	förflyter	förflöt	förflutit	förflyt	-	-
förfrysa	förfryser	förfryste	förfrusit	förfrys	-	-
förfölja	förföljer	förföljde	förföljt	förfölj	-	-
förföra	förför	förförde	förfört	förför	-	-
förglömma	förglömmer	förglömde	förglömt	förglöm	-	-
förgylla	förgyller	förgyllde	förgyllt	förgyll	-	-
förgäta	förgäter	förgat	förgätit	förgät	-	-
förgå	-	förgick	förgått	-	förgånge	-
förgöra	förgör	förgjorde	förgjort	förgör	-	-
förhyda	förhyder	förhydde	förhytt	förhyd	-	-
förhyra	förhyr	förhyrde	förhyrt	förhyr	-	-
förhålla	förhåller	förhöll	förhållit	förhåll	-	-
förhållas	förhålls	-	-	-	-	-
förhöja	förhöjer	förhöjde	förhöjt	förhöj	-	-
förhöra	förhör	förhörde	förhört	förhör	-	-
förkomma	förkommer	förkom	förkommit	förkom	-	-
förkrympa	förkrymper	förkrympte	förkrympt	förkrymp	-	-
förkrympas	förkrymps	-	-	-	-	-
förkväva	förkväver	förkvävde	förkvävt	förkväv	-	-
förleda	förleder	förledde	förlett	förled	-	-
förlida	förlider	förled	förlidit	förlid	-	-
förlika	förliker	förlikte	förlikt	förlik	-	-
förlikas	förliks	-	-	-	-	-
förlisa	förliser	förliste	förlist	förlis	-	-
förljudas	förljuds	-	-	-	-	-
förlägga	förlägger	förla	förlagt	förlägg	-	-
förlänga	förlänger	förlängde	förlängt	förläng	-	-
förlåta	förlåter	förlät	förlåtit	förlåt	-	-
