# lemma	V;PRS;1;SG	V;PRS;2;SG	V;PRS;3;SG	V;PRS;1;PL	V;PRS;2;PL	V;PRS;3;PL	V;PST;1;SG	V;PST;2;SG	V;PST;3;SG	V;PST;1;PL	V;PST;2;PL	V;PST;3;PL	V;AOR;1;SG	V;AOR;2;SG	V;AOR;3;SG	V;AOR;1;PL	V;AOR;2;PL	V;AOR;3;PL	V;IMP;2;SG	V;IMP;2;PL	V;NFIN
küýsemek	-	-	-	-	-	-	-	-	-	-	-	-	küýserin	küýsersiň	küýser	küýseris	küýsersiňiz	küýserler	-	küýseliň	-
münmek	-	-	-	-	-	-	mündüm	mündüň	mündü	mündük	mündüňiz	mündüler	münerin	münersiň	müner	müneris	münersiňiz	münerler	-	-	-
okamak	-	-	-	-	-	-	-	-	-	-	-	-	okaryn	okarsyň	okar	okarys	okarsyňyz	okarlar	-	okalyň	-
oýnamak	-	-	-	-	-	-	-	-	-	-	-	-	oýnaryn	oýnarsyň	oýnar	oýnarys	oýnarsyňyz	oýnarlar	-	oýnalyň	-
sowmak	-	-	-	-	-	-	sowdum	sowduň	sowdu	sowduk	sowduňyz	sowdular	-	sowarsyň	-	-	-	-	-	-	-
suwarmak	-	-	-	-	-	-	-	-	-	-	-	-	-	suwararsyň	-	-	-	-	-	-	-
söýmek	-	-	-	-	-	-	-	-	-	-	-	-	söýerin	söýersiň	söýer	söýeris	söýersiňiz	söýerler	-	-	-
tabşyrylmak	-	-	-	-	-	-	-	-	-	-	-	-	-	tabşyrylarsyň	-	-	-	-	-	-	-
tamamlamak	-	-	-	-	-	-	-	-	-	-	-	-	tamamlaryn	tamamlarsyň	tamamlar	tamamlarys	tamamlarsyňyz	tamamlarlar	-	tamamlalyň	-
tamamlanmak	-	-	-	-	-	-	-	-	-	-	-	-	-	tamamlanarsyň	-	-	-	-	-	-	-
tanalmak	-	-	-	-	-	-	-	-	-	-	-	-	-	tanalarsyň	-	-	-	-	-	-	-
tankytlamak	-	-	-	-	-	-	-	-	-	-	-	-	tankytlaryn	tankytlarsyň	tankytlar	tankytlarys	tankytlarsyňyz	tankytlarlar	-	tankytlalyň	-
tapmak	-	-	-	-	-	-	-	-	-	-	-	-	-	taparsyň	-	-	-	-	-	-	-
taryplamak	-	-	-	-	-	-	-	-	-	-	-	-	taryplaryn	taryplarsyň	taryplar	taryplarys	taryplarsyňyz	taryplarlar	-	taryplalyň	-
taýýarlamak	-	-	-	-	-	-	-	-	-	-	-	-	taýýarlaryn	taýýarlarsyň	taýýarlar	taýýarlarys	taýýarlarsyňyz	taýýarlarlar	-	taýýarlalyň	-
tikmek	-	-	-	-	-	-	-	-	-	-	-	-	tikerin	tikersiň	tiker	tikeris	tikersiňiz	tikerler	-	-	-
tämizlenmek	-	-	-	-	-	-	-	-	-	-	-	-	tämizlenerin	tämizlenersiň	tämizlener	tämizleneris	tämizlenersiňiz	tämizlenerler	-	-	-
uklamak	-	-	-	-	-	-	-	-	-	-	-	-	uklaryn	uklarsyň	uklar	uklarys	uklarsyňyz	uklarlar	-	uklalyň	-
urmak	-	-	-	-	-	-	urdum	urduň	urdu	urduk	urduňyz	urdular	-	urarsyň	-	-	-	-	-	-	-
ynanmak	-	-	-	-	-	-	-	-	-	-	-	-	-	ynanarsyň	-	-	-	-	-	-	-
äbermek	-	-	-	-	-	-	-	-	-	-	-	-	äbererin	äberersiň	äberer	äbereris	äberersiňiz	äbererler	-	-	-
öldürmek	-	-	-	-	-	-	öldürdüm	öldürdüň	öldürdü	öldürdük	öldürdüňiz	öldürdüler	öldürerin	öldürersiň	öldürer	öldüreris	öldürersiňiz	öldürerler	-	-	-
öndürmek	-	-	-	-	-	-	-	-	-	-	-	-	öndürerin	öndürersiň	öndürer	öndüreris	öndürersiňiz	öndürerler	-	-	-
öwrenmek	-	-	-	-	-	-	-	-	-	-	-	-	öwrenerin	öwrenersiň	öwrener	öwreneris	öwrenersiňiz	öwrenerler	-	-	-
öwretmek	-	-	-	-	-	-	-	-	-	-	-	-	öwrederin	öwredersiň	öwreder	öwrederis	öwredersiňiz	öwrederler	-	-	-
öwürmek	-	-	-	-	-	-	öwürdüm	öwürdüň	öwürdü	öwürdük	öwürdüňiz	öwürdüler	öwürerin	öwürersiň	öwürer	öwüreris	öwürersiňiz	öwürerler	-	-	-
öýtmek	-	-	-	-	-	-	öýdüpdim	öýdüpdiň	öýdüpdi	öýdüpdik	öýdüpdiňiz	öýdüpdiler	öýderin	öýdersiň	öýder	öýderis	öýdersiňiz	öýderler	-	-	-
üflemek	-	-	-	-	-	-	-	-	-	-	-	-	üflerin	üflersiň	üfler	üfleris	üflersiňiz	üflerler	-	üfleliň	-
üleşmek	-	-	-	-	-	-	-	-	-	-	-	-	üleşerin	üleşersiň	üleşer	üleşeris	üleşersiňiz	üleşerler	-	-	-
ýaglamak	-	-	-	-	-	-	-	-	-	-	-	-	ýaglaryn	ýaglarsyň	ýaglar	ýaglarys	ýaglarsyňyz	ýaglarlar	-	ýaglalyň	-
ýalamak	-	-	-	-	-	-	-	-	-	-	-	-	ýalaryn	ýalarsyň	ýalar	ýalarys	ýalarsyňyz	ýalarlar	-	ýalalyň	-
ýalkamak	-	-	-	-	-	-	-	-	-	-	-	-	ýalkaryn	ýalkarsyň	ýalkar	ýalkarys	ýalkarsyňyz	ýalkarlar	-	ýalkalyň	-
ýazmak	-	-	-	-	-	-	-	-	-	-	-	-	-	ýazarsyň	-	-	-	-	-	-	-
ýaşamak	-	-	-	-	-	-	-	-	-	-	-	-	ýaşaryn	ýaşarsyň	ýaşar	ýaşarys	ýaşarsyňyz	ýaşarlar	-	ýaşalyň	-
ýuwmak	-	-	-	-	-	-	ýuwdum	ýuwduň	ýuwdu	ýuwduk	ýuwduňyz	ýuwdular	-	ýuwarsyň	-	-	-	-	-	-	-
