# Exception lexicon: strong (s), mixed (m), and preterite-present (p) verbs.
# Columns: infinitive, class, pres (2/3sg stem for s/m; full-singular stem for p),
#          pret (preterite stem), konj2 (Konjunktiv II stem), part2 (full participle),
#          imp (2sg imperative override), aux (h=haben, s=sein).
# "-" means: not applicable / derive by rule.
#
# infinitive	class	pres	pret	konj2	part2	imp	aux
nennen	m	-	nannt	nennt	genannt	-	h
rennen	m	-	rannt	rennt	gerannt	-	s
senden	m	-	sandt	sendet	gesandt	-	h
wenden	m	-	wandt	wendet	gewandt	-	h
dürfen	p	darf	durft	dürft	gedurft	-	h
können	p	kann	konnt	könnt	gekonnt	-	h
mögen	p	mag	mocht	möcht	gemocht	-	h
müssen	p	muss	musst	müsst	gemusst	-	h
sollen	p	soll	sollt	sollt	gesollt	-	h
wissen	p	weiß	wusst	wüsst	gewusst	wisse	h
wollen	p	will	wollt	wollt	gewollt	-	h
abonnieren	w	-	-	-	-	-	h
hindern	w	-	-	-	-	-	h
dauern	w	-	-	-	-	-	h
offenbaren	w	-	-	-	-	-	h
rangieren	w	-	-	-	-	-	h
randalieren	w	-	-	-	-	-	h
abstrahieren	w	-	-	-	-	-	h
# --- mined from UniMorph deu gold data (see PR #4), curated ---
befehlen	s	befiehl	befahl	befähl	befohlen	befiehl	h
beissen	s	-	biss	biss	gebissen	beiss	h
beißen	s	-	biss	biss	gebissen	beiß	h
bergen	s	birg	barg	bärg	geborgen	birg	h
biegen	s	-	bog	bög	gebogen	bieg	h
binden	s	-	band	bänd	gebunden	binde	h
blasen	s	bläs	blies	blies	geblasen	blas	h
dreschen	s	drisch	drosch	drösch	gedroschen	drisch	h
dringen	s	-	drang	dräng	gedrungen	-	s
dünken	m	-	deucht	dünkt	gedeucht	dünk	h
empfehlen	s	empfiehl	empfahl	empfähl	empfohlen	empfiehl	h
entwachsen	s	entwächs	entwuchs	entwüchs	entwachsen	entwachs	s
erklimmen	s	-	erklomm	erklömm	erklommen	erklimm	h
erleschen	s	erlisch	erlosch	erlösch	erloschen	erlisch	h
erwachsen	s	erwächs	erwuchs	erwüchs	erwachsen	erwachs	s
fechten	s	ficht	focht	föcht	gefochten	ficht	h
fleißen	s	-	fliss	fliss	geflissen	fleiß	h
fliehen	s	-	floh	flöh	geflohen	flieh	s
fressen	s	friss	fraß	fräß	gefressen	friss	h
frieren	s	-	fror	frör	gefroren	frier	h
gebären	s	gebier	gebar	gebär	geboren	gebier	h
gedeihen	s	-	gedieh	gedieh	gediehen	gedeih	s
gelingen	s	-	gelang	geläng	gelungen	geling	s
gelten	s	gilt	galt	gält	gegolten	gilt	h
genesen	s	-	genas	genäs	genesen	genes	s
genießen	s	-	genoss	genöss	genossen	genieß	h
geschehen	s	geschieh	geschah	geschäh	geschehen	geschieh	s
gießen	s	-	goss	göss	gegossen	gieß	h
gleichen	s	-	glich	glich	geglichen	gleich	h
gleiten	s	-	glitt	glitt	geglitten	gleite	s
graben	s	gräb	grub	grüb	gegraben	grab	h
gären	s	-	gor	gör	gegoren	gär	h
heben	s	-	hob	höb	gehoben	heb	h
heissen	s	-	hiess	hiess	geheissen	heiss	h
kiesen	s	-	kor	kör	gekoren	kies	h
klingen	s	-	klang	kläng	geklungen	kling	h
kneifen	s	-	kniff	kniff	gekniffen	kneif	h
knien	m	knie	kniet	kniet	gekniet	knie	h
krauchen	s	-	kroch	kröch	gekrochen	krauch	s
kriechen	s	-	kroch	kröch	gekrochen	-	s
laden	s	läd	lud	lüd	geladen	lad	h
leiden	s	-	litt	litt	gelitten	leide	h
leihen	s	-	lieh	lieh	geliehen	leih	h
lügen	s	-	log	lög	gelogen	lüg	h
meiden	s	-	mied	mied	gemieden	meide	h
misslingen	s	-	misslang	missläng	misslungen	missling	s
mißlingen	s	-	mißlang	mißläng	mißlungen	mißling	s
pfeifen	s	-	pfiff	pfiff	gepfiffen	pfeif	h
preisen	s	-	pries	pries	gepriesen	preis	h
quellen	s	quill	quoll	quöll	gequollen	quill	s
reiben	s	-	rieb	rieb	gerieben	reib	h
reihen	s	-	rieh	rieh	geriehen	reih	h
reiten	s	-	ritt	ritt	geritten	reite	h
reißen	s	-	riss	riss	gerissen	reiß	h
riechen	s	-	roch	röch	gerochen	riech	h
ringen	s	-	rang	räng	gerungen	ring	h
rinnen	s	-	rann	ränn	geronnen	rinn	s
saufen	s	säuf	soff	söff	gesoffen	sauf	h
scheiden	s	-	schied	schied	geschieden	scheide	h
scheinen	s	-	schien	schien	geschienen	schein	h
schelten	s	schilt	schalt	schält	gescholten	schilt	h
schieben	s	-	schob	schöb	geschoben	schieb	h
schießen	s	-	schoss	schöss	geschossen	schieß	h
schinden	s	-	schund	schünd	geschunden	schinde	h
schleichen	s	-	schlich	schlich	geschlichen	schleich	s
schleifen	s	-	schliff	schliff	geschliffen	schleif	h
schleißen	s	-	schliss	schliss	geschlissen	schleiß	h
schlingen	s	-	schlang	schläng	geschlungen	schling	h
schmeißen	s	-	schmiss	schmiss	geschmissen	schmeiß	h
schmelzen	s	schmilz	schmolz	schmölz	geschmolzen	schmilz	h
schreien	m	-	schri	schri	geschrien	schrei	h
schreiten	s	-	schritt	schritt	geschritten	schreite	s
schweigen	s	-	schwieg	schwieg	geschwiegen	schweig	h
schwellen	s	schwill	schwoll	schwöll	geschwollen	schwill	s
schwinden	s	-	schwand	schwänd	geschwunden	schwinde	s
schwingen	s	-	schwang	schwäng	geschwungen	schwing	h
schwören	s	-	schwor	schwör	geschworen	schwör	h
sinken	s	-	sank	sänk	gesunken	sink	s
sinnen	s	-	sann	sänn	gesonnen	sinn	h
speien	m	-	spi	spi	gespien	spei	h
spinnen	s	-	spann	spänn	gesponnen	spinn	h
sprießen	s	-	spross	spröss	gesprossen	sprieß	h
stechen	s	stich	stach	stäch	gestochen	stich	h
stehlen	s	stiehl	stahl	stähl	gestohlen	stiehl	h
stieben	s	-	stob	stöb	gestoben	stieb	h
stinken	s	-	stank	stänk	gestunken	stink	h
stossen	s	stöss	stiess	stiess	gestossen	stoss	h
streichen	s	-	strich	strich	gestrichen	streich	h
streiten	s	-	stritt	stritt	gestritten	streite	h
treten	s	tritt	trat	trät	getreten	tritt	h
trügen	s	-	trog	trög	getrogen	trüg	h
verbleichen	s	-	verblich	verblich	verblichen	verbleich	s
verderben	s	verdirb	verdarb	verdürb	verdorben	verdirb	h
verdrießen	s	-	verdross	verdröss	verdrossen	verdrieß	h
verflechten	s	-	verflocht	verflöcht	verflochten	verflechte	h
verwiegen	s	-	verwog	verwög	verwogen	verwieg	h
weichen	s	-	wich	wich	gewichen	weich	s
weisen	s	-	wies	wies	gewiesen	weis	h
werben	s	wirb	warb	würb	geworben	wirb	h
winden	s	-	wand	wänd	gewunden	winde	h
wägen	s	-	wog	wög	gewogen	wäg	h
zeihen	s	-	zieh	zieh	geziehen	zeih	h
zwingen	s	-	zwang	zwäng	gezwungen	zwing	h
treiben	s	-	trieb	trieb	getrieben	-	h
scheißen	s	-	schiss	schiss	geschissen	-	h
veranlassen	w	-	-	-	-	-	h
bereiten	w	-	-	-	-	-	h
wetteifern	w	-	-	-	-	-	h
umarmen	i	um	-	-	-	-	h
umringen	i	um	-	-	-	-	h
umschließen	i	um	-	-	-	-	h
umgeben	i	um	-	-	-	-	h
umfassen	i	um	-	-	-	-	h
wiederholen	i	wieder	-	-	-	-	h
untertauchen	x	unter	-	-	-	-	s
untergehen	x	unter	-	-	-	-	s
untersinken	x	unter	-	-	-	-	s
unterkommen	x	unter	-	-	-	-	s
