# Italian irregular lexicon. A trailing + on the lemma means suffix
# match (porre+ catches comporre); otherwise exact.
# Columns, "-" = derive:
#   lemma pres1..6 subj6(comma) pr6(comma) fut_stem pp impf6 ger imp2
durre+	duco	duci	duce	duciamo	ducete	ducono	duca,duca,duca,duciamo,duciate,ducano	dussi,ducesti,dusse,ducemmo,duceste,dussero	durr	dotto	ducevo,ducevi,duceva,ducevamo,ducevate,ducevano	ducendo	duci
scegliere+	scelgo	scegli	sceglie	scegliamo	scegliete	scelgono	scelga,scelga,scelga,scegliamo,scegliate,scelgano	scelsi,scegliesti,scelse,scegliemmo,sceglieste,scelsero	sceglier	scelto	-	-	scegli
cogliere+	colgo	cogli	coglie	cogliamo	cogliete	colgono	colga,colga,colga,cogliamo,cogliate,colgano	colsi,cogliesti,colse,cogliemmo,coglieste,colsero	coglier	colto	-	-	cogli
togliere+	tolgo	togli	toglie	togliamo	togliete	tolgono	tolga,tolga,tolga,togliamo,togliate,tolgano	tolsi,togliesti,tolse,togliemmo,toglieste,tolsero	toglier	tolto	-	-	togli
salire+	salgo	sali	sale	saliamo	salite	salgono	salga,salga,salga,saliamo,saliate,salgano	salii,salisti,salì,salimmo,saliste,salirono	salir	salito	-	-	sali
piacere+	piaccio	piaci	piace	piacciamo	piacete	piacciono	piaccia,piaccia,piaccia,piacciamo,piacciate,piacciano	piacqui,piacesti,piacque,piacemmo,piaceste,piacquero	piacer	piaciuto	-	-	piaci
tacere+	taccio	taci	tace	tacciamo	tacete	tacciono	taccia,taccia,taccia,tacciamo,tacciate,tacciano	tacqui,tacesti,tacque,tacemmo,taceste,tacquero	tacer	taciuto	-	-	taci
giacere+	giaccio	giaci	giace	giacciamo	giacete	giacciono	giaccia,giaccia,giaccia,giacciamo,giacciate,giacciano	giacqui,giacesti,giacque,giacemmo,giaceste,giacquero	giacer	giaciuto	-	-	giaci
sedere+	siedo	siedi	siede	sediamo	sedete	siedono	sieda,sieda,sieda,sediamo,sediate,siedano	sedetti,sedesti,sedette,sedemmo,sedeste,sedettero	seder	seduto	-	-	siedi
udire	odo	odi	ode	udiamo	udite	odono	oda,oda,oda,udiamo,udiate,odano	udii,udisti,udì,udimmo,udiste,udirono	udir	udito	-	-	odi
artefare	artefaccio	artefai	artefa	artefacciamo	artefate	artefanno	artefaccia,artefaccia,artefaccia,artefacciamo,artefacciate,artefacciano	artefeci,artefacesti,artefece,artefacemmo,artefaceste,artefecero	artefar	artefatto	artefacevo,artefacevi,artefaceva,artefacevamo,artefacevate,artefacevano	artefacendo	artefai
assuefare	assuefaccio	assuefai	assuefa	assuefacciamo	assuefate	assuefanno	assuefaccia,assuefaccia,assuefaccia,assuefacciamo,assuefacciate,assuefacciano	assuefeci,assuefacesti,assuefece,assuefacemmo,assuefaceste,assuefecero	assuefar	assuefatto	assuefacevo,assuefacevi,assuefaceva,assuefacevamo,assuefacevate,assuefacevano	assuefacendo	assuefai
benefare	benefaccio	benefai	benefa	benefacciamo	benefate	benefanno	benefaccia,benefaccia,benefaccia,benefacciamo,benefacciate,benefacciano	benefeci,benefacesti,benefece,benefacemmo,benefaceste,benefecero	benefar	benefatto	benefacevo,benefacevi,benefaceva,benefacevamo,benefacevate,benefacevano	benefacendo	benefai
contraffare	contraffaccio	contraffai	contraffa	contraffacciamo	contraffate	contraffanno	contraffaccia,contraffaccia,contraffaccia,contraffacciamo,contraffacciate,contraffacciano	contraffeci,contraffacesti,contraffece,contraffacemmo,contraffaceste,contraffecero	contraffar	contraffatto	contraffacevo,contraffacevi,contraffaceva,contraffacevamo,contraffacevate,contraffacevano	contraffacendo	contraffai
disfare	disfaccio	disfai	disfa	disfacciamo	disfate	disfanno	disfaccia,disfaccia,disfaccia,disfacciamo,disfacciate,disfacciano	disfeci,disfacesti,disfece,disfacemmo,disfaceste,disfecero	disfar	disfatto	disfacevo,disfacevi,disfaceva,disfacevamo,disfacevate,disfacevano	disfacendo	disfai
liquefare	liquefaccio	liquefai	liquefa	liquefacciamo	liquefate	liquefanno	liquefaccia,liquefaccia,liquefaccia,liquefacciamo,liquefacciate,liquefacciano	liquefeci,liquefacesti,liquefece,liquefacemmo,liquefaceste,liquefecero	liquefar	liquefatto	liquefacevo,liquefacevi,liquefaceva,liquefacevamo,liquefacevate,liquefacevano	liquefacendo	liquefai
malefare	malefaccio	malefai	malefa	malefacciamo	malefate	malefanno	malefaccia,malefaccia,malefaccia,malefacciamo,malefacciate,malefacciano	malefeci,malefacesti,malefece,malefacemmo,malefaceste,malefecero	malefar	malefatto	malefacevo,malefacevi,malefaceva,malefacevamo,malefacevate,malefacevano	malefacendo	malefai
mansuefare	mansuefaccio	mansuefai	mansuefa	mansuefacciamo	mansuefate	mansuefanno	mansuefaccia,mansuefaccia,mansuefaccia,mansuefacciamo,mansuefacciate,mansuefacciano	mansuefeci,mansuefacesti,mansuefece,mansuefacemmo,mansuefaceste,mansuefecero	mansuefar	mansuefatto	mansuefacevo,mansuefacevi,mansuefaceva,mansuefacevamo,mansuefacevate,mansuefacevano	mansuefacendo	mansuefai
putrefare	putrefaccio	putrefai	putrefa	putrefacciamo	putrefate	putrefanno	putrefaccia,putrefaccia,putrefaccia,putrefacciamo,putrefacciate,putrefacciano	putrefeci,putrefacesti,putrefece,putrefacemmo,putrefaceste,putrefecero	putrefar	putrefatto	putrefacevo,putrefacevi,putrefaceva,putrefacevamo,putrefacevate,putrefacevano	putrefacendo	putrefai
rarefare	rarefaccio	rarefai	rarefa	rarefacciamo	rarefate	rarefanno	rarefaccia,rarefaccia,rarefaccia,rarefacciamo,rarefacciate,rarefacciano	rarefeci,rarefacesti,rarefece,rarefacemmo,rarefaceste,rarefecero	rarefar	rarefatto	rarefacevo,rarefacevi,rarefaceva,rarefacevamo,rarefacevate,rarefacevano	rarefacendo	rarefai
rifare	rifaccio	rifai	rifa	rifacciamo	rifate	rifanno	rifaccia,rifaccia,rifaccia,rifacciamo,rifacciate,rifacciano	rifeci,rifacesti,rifece,rifacemmo,rifaceste,rifecero	rifar	rifatto	rifacevo,rifacevi,rifaceva,rifacevamo,rifacevate,rifacevano	rifacendo	rifai
ridisfare	ridisfaccio	ridisfai	ridisfa	ridisfacciamo	ridisfate	ridisfanno	ridisfaccia,ridisfaccia,ridisfaccia,ridisfacciamo,ridisfacciate,ridisfacciano	ridisfeci,ridisfacesti,ridisfece,ridisfacemmo,ridisfaceste,ridisfecero	ridisfar	ridisfatto	ridisfacevo,ridisfacevi,ridisfaceva,ridisfacevamo,ridisfacevate,ridisfacevano	ridisfacendo	ridisfai
sfare	sfaccio	sfai	sfa	sfacciamo	sfate	sfanno	sfaccia,sfaccia,sfaccia,sfacciamo,sfacciate,sfacciano	sfeci,sfacesti,sfece,sfacemmo,sfaceste,sfecero	sfar	sfatto	sfacevo,sfacevi,sfaceva,sfacevamo,sfacevate,sfacevano	sfacendo	sfai
soddisfare	soddisfaccio	soddisfai	soddisfa	soddisfacciamo	soddisfate	soddisfanno	soddisfaccia,soddisfaccia,soddisfaccia,soddisfacciamo,soddisfacciate,soddisfacciano	soddisfeci,soddisfacesti,soddisfece,soddisfacemmo,soddisfaceste,soddisfecero	soddisfar	soddisfatto	soddisfacevo,soddisfacevi,soddisfaceva,soddisfacevamo,soddisfacevate,soddisfacevano	soddisfacendo	soddisfai
sopraffare	sopraffaccio	sopraffai	sopraffa	sopraffacciamo	sopraffate	sopraffanno	sopraffaccia,sopraffaccia,sopraffaccia,sopraffacciamo,sopraffacciate,sopraffacciano	sopraffeci,sopraffacesti,sopraffece,sopraffacemmo,sopraffaceste,sopraffecero	sopraffar	sopraffatto	sopraffacevo,sopraffacevi,sopraffaceva,sopraffacevamo,sopraffacevate,sopraffacevano	sopraffacendo	sopraffai
strafare	strafaccio	strafai	strafa	strafacciamo	strafate	strafanno	strafaccia,strafaccia,strafaccia,strafacciamo,strafacciate,strafacciano	strafeci,strafacesti,strafece,strafacemmo,strafaceste,strafecero	strafar	strafatto	strafacevo,strafacevi,strafaceva,strafacevamo,strafacevate,strafacevano	strafacendo	strafai
stupefare	stupefaccio	stupefai	stupefa	stupefacciamo	stupefate	stupefanno	stupefaccia,stupefaccia,stupefaccia,stupefacciamo,stupefacciate,stupefacciano	stupefeci,stupefacesti,stupefece,stupefacemmo,stupefaceste,stupefecero	stupefar	stupefatto	stupefacevo,stupefacevi,stupefaceva,stupefacevamo,stupefacevate,stupefacevano	stupefacendo	stupefai
torrefare	torrefaccio	torrefai	torrefa	torrefacciamo	torrefate	torrefanno	torrefaccia,torrefaccia,torrefaccia,torrefacciamo,torrefacciate,torrefacciano	torrefeci,torrefacesti,torrefece,torrefacemmo,torrefaceste,torrefecero	torrefar	torrefatto	torrefacevo,torrefacevi,torrefaceva,torrefacevamo,torrefacevate,torrefacevano	torrefacendo	torrefai
tumefare	tumefaccio	tumefai	tumefa	tumefacciamo	tumefate	tumefanno	tumefaccia,tumefaccia,tumefaccia,tumefacciamo,tumefacciate,tumefacciano	tumefeci,tumefacesti,tumefece,tumefacemmo,tumefaceste,tumefecero	tumefar	tumefatto	tumefacevo,tumefacevi,tumefaceva,tumefacevamo,tumefacevate,tumefacevano	tumefacendo	tumefai
ridire	ridico	ridici	ridice	ridiciamo	ridite	ridicono	ridica,ridica,ridica,ridiciamo,ridiciate,ridicano	ridissi,ridicesti,ridisse,ridicemmo,ridiceste,ridissero	ridir	ridetto	ridicevo,ridicevi,ridiceva,ridicevamo,ridicevate,ridicevano	ridicendo	ridici
benedire	benedico	benedici	benedice	benediciamo	benedite	benedicono	benedica,benedica,benedica,benediciamo,benediciate,benedicano	benedissi,benedicesti,benedisse,benedicemmo,benediceste,benedissero	benedir	benedetto	benedicevo,benedicevi,benediceva,benedicevamo,benedicevate,benedicevano	benedicendo	benedici
maledire	maledico	maledici	maledice	malediciamo	maledite	maledicono	maledica,maledica,maledica,malediciamo,malediciate,maledicano	maledissi,maledicesti,maledisse,maledicemmo,malediceste,maledissero	maledir	maledetto	maledicevo,maledicevi,malediceva,maledicevamo,maledicevate,maledicevano	maledicendo	maledici
contraddire	contraddico	contraddici	contraddice	contraddiciamo	contraddite	contraddicono	contraddica,contraddica,contraddica,contraddiciamo,contraddiciate,contraddicano	contraddissi,contraddicesti,contraddisse,contraddicemmo,contraddiceste,contraddissero	contraddir	contraddetto	contraddicevo,contraddicevi,contraddiceva,contraddicevamo,contraddicevate,contraddicevano	contraddicendo	contraddici
disdire	disdico	disdici	disdice	disdiciamo	disdite	disdicono	disdica,disdica,disdica,disdiciamo,disdiciate,disdicano	disdissi,disdicesti,disdisse,disdicemmo,disdiceste,disdissero	disdir	disdetto	disdicevo,disdicevi,disdiceva,disdicevamo,disdicevate,disdicevano	disdicendo	disdici
predire	predico	predici	predice	prediciamo	predite	predicono	predica,predica,predica,prediciamo,prediciate,predicano	predissi,predicesti,predisse,predicemmo,prediceste,predissero	predir	predetto	predicevo,predicevi,prediceva,predicevamo,predicevate,predicevano	predicendo	predici
indire	indico	indici	indice	indiciamo	indite	indicono	indica,indica,indica,indiciamo,indiciate,indicano	indissi,indicesti,indisse,indicemmo,indiceste,indissero	indir	indetto	indicevo,indicevi,indiceva,indicevamo,indicevate,indicevano	indicendo	indici
interdire	interdico	interdici	interdice	interdiciamo	interdite	interdicono	interdica,interdica,interdica,interdiciamo,interdiciate,interdicano	interdissi,interdicesti,interdisse,interdicemmo,interdiceste,interdissero	interdir	interdetto	interdicevo,interdicevi,interdiceva,interdicevamo,interdicevate,interdicevano	interdicendo	interdici
riessere	risono	risei	riè	risiamo	risiete	risono	risia,risia,risia,risiamo,risiate,risiano	rifui,rifosti,rifu,rifummo,rifoste,rifurono	risar	ristato	riero,rieri,riera,rieravamo,rieravate,rierano	riessendo	risii
ridare	ridò	ridai	ridà	ridiamo	ridate	ridanno	ridia,ridia,ridia,ridiamo,ridiate,ridiano	ridiedi,ridesti,ridiede,ridemmo,rideste,ridiedero	ridar	ridato	-	-	ridai
sottostare	sottosto	sottostai	sottosta	sottostiamo	sottostate	sottostanno	sottostia,sottostia,sottostia,sottostiamo,sottostiate,sottostiano	sottostetti,sottostesti,sottostette,sottostemmo,sottosteste,sottostettero	sottostar	sottostato	-	-	sottostai
ristare	risto	ristai	rista	ristiamo	ristate	ristanno	ristia,ristia,ristia,ristiamo,ristiate,ristiano	ristetti,ristesti,ristette,ristemmo,risteste,ristettero	ristar	ristato	-	-	ristai
rivolere	rivoglio	rivuoi	rivuole	rivogliamo	rivolete	rivogliono	rivoglia,rivoglia,rivoglia,rivogliamo,rivogliate,rivogliano	rivolli,rivolesti,rivolle,rivolemmo,rivoleste,rivollero	rivorr	rivoluto	-	-	rivogli
disvolere	disvoglio	disvuoi	disvuole	disvogliamo	disvolete	disvogliono	disvoglia,disvoglia,disvoglia,disvogliamo,disvogliate,disvogliano	disvolli,disvolesti,disvolle,disvolemmo,disvoleste,disvollero	disvorr	disvoluto	-	-	disvogli
malvolere	malvoglio	malvuoi	malvuole	malvogliamo	malvolete	malvogliono	malvoglia,malvoglia,malvoglia,malvogliamo,malvogliate,malvogliano	malvolli,malvolesti,malvolle,malvolemmo,malvoleste,malvollero	malvorr	malvoluto	-	-	malvogli
benvolere	benvoglio	benvuoi	benvuole	benvogliamo	benvolete	benvogliono	benvoglia,benvoglia,benvoglia,benvogliamo,benvogliate,benvogliano	benvolli,benvolesti,benvolle,benvolemmo,benvoleste,benvollero	benvorr	benvoluto	-	-	benvogli
stramaledire	stramaledico	stramaledici	stramaledice	stramalediciamo	stramaledite	stramaledicono	stramaledica,stramaledica,stramaledica,stramalediciamo,stramalediciate,stramaledicano	stramaledissi,stramaledicesti,stramaledisse,stramaledicemmo,stramalediceste,stramaledissero	stramaledir	stramaledetto	stramaledicevo,stramaledicevi,stramalediceva,stramaledicevamo,stramaledicevate,stramaledicevano	stramaledicendo	stramaledici
addire	addico	addici	addice	addiciamo	addite	addicono	addica,addica,addica,addiciamo,addiciate,addicano	addissi,addicesti,addisse,addicemmo,addiceste,addissero	addir	addetto	addicevo,addicevi,addiceva,addicevamo,addicevate,addicevano	addicendo	addici
stradire	stradico	stradici	stradice	stradiciamo	stradite	stradicono	stradica,stradica,stradica,stradiciamo,stradiciate,stradicano	stradissi,stradicesti,stradisse,stradicemmo,stradiceste,stradissero	stradir	stradetto	stradicevo,stradicevi,stradiceva,stradicevamo,stradicevate,stradicevano	stradicendo	stradici
risapere	riso	risai	risa	risappiamo	risapete	risanno	risappia,risappia,risappia,risappiamo,risappiate,risappiano	riseppi,risapesti,riseppe,risapemmo,risapeste,riseppero	risapr	risaputo	-	-	risappi
riavere	riho	rihai	riha	riabbiamo	riavete	rihanno	riabbia,riabbia,riabbia,riabbiamo,riabbiate,riabbiano	riebbi,riavesti,riebbe,riavemmo,riaveste,riebbero	riavr	riavuto	-	-	riabbi
permanere	permango	permani	permane	permaniamo	permanete	permangono	permanga,permanga,permanga,permaniamo,permaniate,permangano	permasi,permanesti,permase,permanemmo,permaneste,permasero	permarr	permaso	-	-	permani
vedere+	vedo	vedi	vede	vediamo	vedete	vedono	veda,veda,veda,vediamo,vediate,vedano	vidi,vedesti,vide,vedemmo,vedeste,videro	vedr	visto	-	-	vedi
provvedere	provvedo	provvedi	provvede	provvediamo	provvedete	provvedono	provveda,provveda,provveda,provvediamo,provvediate,provvedano	provvidi,provvedesti,provvide,provvedemmo,provvedeste,provvidero	provveder	provveduto	-	-	provvedi
cadere+	cado	cadi	cade	cadiamo	cadete	cadono	cada,cada,cada,cadiamo,cadiate,cadano	caddi,cadesti,cadde,cademmo,cadeste,caddero	cadr	caduto	-	-	cadi
vivere+	vivo	vivi	vive	viviamo	vivete	vivono	viva,viva,viva,viviamo,viviate,vivano	vissi,vivesti,visse,vivemmo,viveste,vissero	vivr	vissuto	-	-	vivi
valere+	valgo	vali	vale	valiamo	valete	valgono	valga,valga,valga,valiamo,valiate,valgano	valsi,valesti,valse,valemmo,valeste,valsero	varr	valso	-	-	vali
cucire+	cucio	cuci	cuce	cuciamo	cucite	cuciono	cucia,cucia,cucia,cuciamo,cuciate,cuciano	cucii,cucisti,cucì,cucimmo,cuciste,cucirono	cucir	cucito	-	-	cuci
empire	empio	empi	empie	empiamo	empite	empiono	empia,empia,empia,empiamo,empiate,empiano	empii,empisti,empì,empimmo,empiste,empirono	empir	empito	-	empiendo	empi
riempire	riempio	riempi	riempie	riempiamo	riempite	riempiono	riempia,riempia,riempia,riempiamo,riempiate,riempiano	riempii,riempisti,riempì,riempimmo,riempiste,riempirono	riempir	riempito	-	riempiendo	riempi
riudire	riodo	riodi	riode	riudiamo	riudite	riodono	rioda,rioda,rioda,riudiamo,riudiate,riodano	riudii,riudisti,riudì,riudimmo,riudiste,riudirono	riudir	riudito	-	-	riodi
trasalire	trasalisco	trasalisci	trasalisce	trasaliamo	trasalite	trasaliscono	trasalisca,trasalisca,trasalisca,trasaliamo,trasaliate,trasaliscano	trasalii,trasalisti,trasalì,trasalimmo,trasaliste,trasalirono	trasalir	trasalito	-	-	trasalisci
cuocere+	cuocio	cuoci	cuoce	cociamo	cocete	cuociono	cuocia,cuocia,cuocia,cociamo,cociate,cuociano	cossi,cocesti,cosse,cocemmo,coceste,cossero	cuocer	cotto	-	-	cuoci
spegnere+	spengo	spegni	spegne	spegniamo	spegnete	spengono	spenga,spenga,spenga,spegniamo,spegniate,spengano	spensi,spegnesti,spense,spegnemmo,spegneste,spensero	spegner	spento	-	-	spegni
sciogliere+	sciolgo	sciogli	scioglie	sciogliamo	sciogliete	sciolgono	sciolga,sciolga,sciolga,sciogliamo,sciogliate,sciolgano	sciolsi,sciogliesti,sciolse,sciogliemmo,scioglieste,sciolsero	scioglier	sciolto	-	-	sciogli
nuocere+	nuoccio	nuoci	nuoce	nociamo	nocete	nuocciono	nuoccia,nuoccia,nuoccia,nociamo,nociate,nuocciano	nocqui,nocesti,nocque,nocemmo,noceste,nocquero	nuocer	nociuto	-	-	nuoci
parere	paio	pari	pare	paiamo	parete	paiono	paia,paia,paia,paiamo,paiate,paiano	parvi,paresti,parve,paremmo,pareste,parvero	parr	parso	-	-	-
solere	soglio	suoli	suole	sogliamo	solete	sogliono	soglia,soglia,soglia,sogliamo,sogliate,sogliano	solei,solesti,solé,solemmo,soleste,solerono	soler	solito	-	-	-
