# lemma	pfv	ipfv	prf	prs	ipfvn	imp
ቀረ	ቀረ	ይቀራል	ቀርቷል	-	ይቀር	ቅር
ቀረበ	ቀረበ	ይቀርባል	ቀርቧል	-	ይቀርብ	ቅረብ
ቀረና	ቀረና	ይቀረናል	ቀርንቷል	-	ይቀረና	-
ቀረጸ	ቀረጸ	ይቀርጻል	ቀርጿል	-	ይቀርጽ	ቅረጽ
ቀሰቀሰ	ቀሰቀሰ	ይቀሰቅሳል	ቀስቅሷል	-	ይቀሰቅስ	-
ቀነሰ	ቀነሰ	ይቀንሳል	ቀንሷል	-	ይቀንስ	ቀንስ
ቀና	ቀና	ይቀናል	ቀንቷል	-	ይቀና	ቅና
ቀየረ	ቀየረ	ይቀይራል	ቀይሯል	-	ይቀይር	ቀይር
ቀደመ	ቀደመ	ይቀድማል	ቀድሟል	-	ይቀድም	-
ቀደሰ	ቀደሰ	ይቀድሳል	ቀድሷል	-	ይቀድስ	ቀድስ
ቀጠለ	ቀጠለ	ይቀጥላል	ቀጥሏል	-	ይቀጥል	ቀጥል
ቀጠረ	ቀጠረ	ይቀጥራል	ቀጥሯል	-	ይቀጥር	ቅጠር
ቀጣ	ቀጣ	ይቀጣል	ቀጥቷል	-	ይቀጣ	ቅጣ
ቃኘ	ቃኘ	ይቃኛል	ቃኝቷል	-	ይቃኝ	ቃኝ
ቆመ	ቆመ	ይቆማል	ቆሟል	-	ይቆም	ቁም
ቆረጠ	ቆረጠ	ይቆርጣል	ቆርጧል	-	ይቆርጥ	ቁረጥ
ቆየ	ቆየ	ይቆያል	ቆይቷል	-	ይቆይ	ቆይ
ቆጠረ	ቆጠረ	ይቆጥራል	ቆጥሯል	-	ይቆጥር	ቁጠር
ቋጨ	ቋጨ	ይቋጫል	ቋጭቷል	-	ይቋጭ	ቋጭ
በለጠ	በለጠ	ይበልጣል	በልጧል	-	ይበልጥ	ብለጥ
በላ	በላ	ይበላል	በልቷል	-	ይበላ	ብላ
በረረ	በረረ	ይበራል	በሯል	-	ይበር	-
በረታ	በረታ	ይበረታል	በርትቷል	-	ይበረታ	-
በራ	በራ	ይበራል	በርቷል	-	ይበራ	-
በቀለ	በቀለ	ይበቅላል	በቅሏል	-	ይበቅል	ብቀል
በቃ	በቃ	ይበቃል	በቅቷል	-	ይበቃ	ብቃ
በተነ	በተነ	ይበትናል	በትኗል	-	ይበትን	በትን
በዛ	በዛ	ይበዛል	በዝቷል	-	ይበዛ	ብዛ
በየነ	በየነ	ይበይናል	በይኗል	-	ይበይን	በይን
በደለ	በደለ	ይበድላል	በድሏል	-	ይበድል	በድል
ባረከ	ባረከ	ይባርካል	ባርኳል	-	ይባርክ	ባርክ
ባሰ	ባሰ	ይብሳል	ብሷል	-	ይብስ	ባስ
ባከነ	ባከነ	ይባክናል	ባክኗል	-	ይባክን	ባክን
ተለቀቀ	ተለቀቀ	ይለቀቃል	ተለቋል	-	ይለቀቅ	-
ተለወጠ	ተለወጠ	ይለወጣል	ተለውጧል	-	ይለወጥ	-
ተለየ	ተለየ	ይለያል	ተለይቷል	-	ይለይ	-
ተለያየ	ተለያየ	ይለያያል	ተለያይቷል	-	ይለያይ	-
ተላለፈ	ተላለፈ	ይተላለፋል	ተላልፏል	-	ይተላለፍ	-
ተላከ	ተላከ	ይላካል	ተልኳል	-	ይላክ	ተላክ
ተመለሰ	ተመለሰ	ይመለሳል	ተመልሷል	-	ይመለስ	ተመለስ
ተመለከተ	ተመለከተ	ይመለከታል	ተመልክቷል	-	ይመለከት	ተመልከት
ተመላለሰ	ተመላለሰ	ይመላለሳል	ተመላልሷል	-	ይመላለስ	ተመላለስ
ተመረመረ	ተመረመረ	ይመረመራል	ተመርምሯል	-	ይመረመር	-
ተመረቀ	ተመረቀ	ይመረቃል	ተመርቋል	-	ይመረቅ	ተመረቅ
ተመረተ	ተመረተ	ይመረታል	ተመርቷል	-	ይመረት	-
ተመረጠ	ተመረጠ	ይመረጣል	ተመርጧል	-	ይመረጥ	ተመረጥ
ተመራ	ተመራ	ይመራል	ተመርቷል	-	ይመራ	ተመራ
ተመሰረተ	ተመሠረተ	ይመሠረታል	ተመሥርቷል	-	ይመሠረት	-
ተመታ	ተመታ	ይመታል	ተመትቷል	-	ይመታ	ተመታ
ተመቸ	ተመቸ	ይመቻል	ተመችቷል	-	ይመች	-
ተመቻቸ	ተመቻቸ	ይመቻቻል	ተመቻችቷል	-	ይመቻች	-
ተመኘ	ተመኘ	ይመኛል	ተመኝቷል	-	ይመኝ	ተመኝ
ተመዘገበ	ተመዘገበ	ይመዘገባል	ተመዝግቧል	-	ይመዘገብ	ተመዝገብ
ተመደበ	ተመደበ	ይመደባል	ተመድቧል	-	ይመደብ	ተመደብ
ተማረ	ተማረ	ይማራል	ተምሯል	-	ይማር	ተማር
ተማረከ	ተማረከ	ይማረካል	ተማርኳል	-	ይማረክ	ተማረክ
ተሞላ	ተሞላ	ይሞላል	ተሞልቷል	-	ይሞላ	ተሞላ
ተሞከረ	ተሞከረ	ይሞከራል	ተሞክሯል	-	ይሞከር	-
ተረሳ	ተረሳ	ይረሳል	ተረስቷል	-	ይረሳ	-
ተረከበ	ተረከበ	ይረከባል	ተረክቧል	-	ይረከብ	ተረከብ
ተረዳ	ተረዳ	ይረዳል	ተረድቷል	-	ይረዳ	ተረዳ
ተረገጠ	ተረገጠ	ይረገጣል	ተረግጧል	-	ይረገጥ	-
ተረጨ	ተረጨ	ይረጫል	ተረጭቷል	-	ይረጭ	ተረጭ
ተረፈ	ተረፈ	ይተርፋል	ተርፏል	-	ይተርፍ	ትረፍ
ተራበ	ተራበ	ይራባል	ተርቧል	-	ይራብ	ተራብ
ተራዘመ	ተራዘመ	ይራዘማል	ተራዝሟል	-	ይራዘም	-
ተሰለፈ	ተሰለፈ	ይሰለፋል	ተሰልፏል	-	ይሰለፍ	ተሰለፍ
ተሰማ	ተሰማ	ይሰማል	ተሰምቷል	-	ይሰማ	ተሰማ
ተሰረዘ	ተሰረዘ	ይሰረዛል	ተሰርዟል	-	ይሰረዝ	-
ተሰራ	ተሠራ	ይሠራል	ተሠርቷል	-	ይሠራ	ተሠራ
ተሰራጨ	ተሰራጨ	ይሰራጫል	ተሰራጭቷል	-	ይሰራጭ	-
ተሰቀለ	ተሰቀለ	ይሰቀላል	ተሰቅሏል	-	ይሰቀል	ተሰቀል
ተሰቃየ	ተሰቃየ	ይሰቃያል	ተሰቃይቷል	-	ይሰቃይ	ተሰቃይ
ተሰበረ	ተሰበረ	ይሰበራል	ተሰብሯል	-	ይሰበር	-
ተሰበሰበ	ተሰበሰበ	ይሰበሰባል	ተሰብስቧል	-	ይሰበሰብ	ተሰብሰብ
ተሰባሰበ	ተሰባሰበ	ይሰባሰባል	ተሰባስቧል	-	ይሰባሰብ	-
ተሰነባበተ	ተሰነባበተ	ይሰነባበታል	ተሰነባብቷል	-	ይሰነባበት	ተሰነባበት
ተሰነዘረ	ተሰነዘረ	ይሰነዘራል	ተሰንዝሯል	-	ይሰነዘር	-
ተሰናከለ	ተሰናከለ	ይሰናከላል	ተሰናክሏል	-	ይሰናከል	ተሰናከል
ተሰዋ	ተሰዋ	ይሰዋል	ተሰውቷል	-	ይሰዋ	ተሰዋ
ተሰየመ	ተሰየመ	ይሰየማል	ተሰይሟል	-	ይሰየም	ተሰየም
ተሰደደ	ተሰደደ	ይሰደዳል	ተሰዷል	-	ይሰደድ	ተሰደድ
ተሰጠ	ተሰጠ	ይሰጣል	ተሰጥቷል	-	ይሰጥ	ተሰጥ
ተሳሳተ	ተሳሳተ	ይሳሳታል	ተሳስቷል	-	ይሳሳት	ተሳሳት
ተሳተፈ	ተሳተፈ	ይሳተፋል	ተሳትፏል	-	ይሳተፍ	ተሳተፍ
ተሳነ	ተሳነ	ይሳናል	ተስኗል	-	ይሳን	ተሳን
ተሳካ	ተሳካ	ይሳካል	ተሳክቷል	-	ይሳካ	-
ተስተካከለ	ተስተካከለ	ይስተካከላል	ተስተካክሏል	-	ይስተካከል	-
ተስፋፋ	ተስፋፋ	ይስፋፋል	ተስፋፍቷል	-	ይስፋፋ	-
ተሸለመ	ተሸለመ	ይሸለማል	ተሸልሟል	-	ይሸለም	ተሸለም
ተሸነፈ	ተሸነፈ	ይሸነፋል	ተሸንፏል	-	ይሸነፍ	ተሸነፍ
ተሸኘ	ተሸኘ	ይሸኛል	ተሸኝቷል	-	ይሸኝ	-
ተሸከመ	ተሸከመ	ይሸከማል	ተሸክሟል	-	ይሸከም	ተሸከም
ተሸጠ	ተሸጠ	ይሸጣል	ተሽጧል	-	ይሸጥ	-
ተሸፈነ	ተሸፈነ	ይሸፈናል	ተሸፍኗል	-	ይሸፈን	-
ተሻለ	ተሻለ	ይሻላል	ተሽሏል	-	ይሻል	ተሻል
ተሻረ	ተሻረ	ይሻራል	ተሽሯል	-	ይሻር	ተሻር
ተሻገረ	ተሻገረ	ይሻገራል	ተሻግሯል	-	ይሻገር	ተሻገር
ተሾመ	ተሾመ	ይሾማል	ተሾሟል	-	ይሾም	ተሾም
ተቀላቀለ	ተቀላቀለ	ይቀላቀላል	ተቀላቅሏል	-	ይቀላቀል	ተቀላቀል
ተቀመጠ	ተቀመጠ	ይቀመጣል	ተቀምጧል	-	ይቀመጥ	ተቀመጥ
ተቀረ	ተቀረ	ይቀራል	ተቀርቷል	-	ይቀር	-
ተቀሰቀሰ	ተቀሰቀሰ	ይቀሰቀሳል	ተቀስቅሷል	-	ይቀሰቀስ	-
ተቀበለ	ተቀበለ	ይቀበላል	ተቀብሏል	-	ይቀበል	ተቀበል
ተቀበረ	ተቀበረ	ይቀበራል	ተቀብሯል	-	ይቀበር	ተቀበር
ተቀነሰ	ተቀነሰ	ይቀነሳል	ተቀንሷል	-	ይቀነስ	-
ተቀየረ	ተቀየረ	ይቀየራል	ተቀይሯል	-	ይቀየር	-
ተቀደሰ	ተቀደሰ	ይቀደሳል	ተቀድሷል	-	ይቀደስ	ተቀደስ
ተቀጠረ	ተቀጠረ	ይቀጠራል	ተቀጥሯል	-	ይቀጠር	-
ተቀጣ	ተቀጣ	ይቀጣል	ተቀጥቷል	-	ይቀጣ	ተቀጣ
ተቃወመ	ተቃወመ	ይቃወማል	ተቃውሟል	-	ይቃወም	ተቃወም
ተቃጠለ	ተቃጠለ	ይቃጠላል	ተቃጥሏል	-	ይቃጠል	ተቃጠል
ተቆመ	ተቆመ	ይቆማል	ተቆሟል	-	ይቆም	ተቆም
ተቆረጠ	ተቆረጠ	ይቆረጣል	ተቆርጧል	-	ይቆረጥ	-
ተቆጠረ	ተቆጠረ	ይቆጠራል	ተቆጥሯል	-	ይቆጠር	-
ተቆጠበ	ተቆጠበ	ይቆጠባል	ተቆጥቧል	-	ይቆጠብ	ተቆጠብ
ተቆጣ	ተቆጣ	ይቆጣል	ተቆጥቷል	-	ይቆጣ	-
ተቆጣጠረ	ተቆጣጠረ	ይቆጣጠራል	ተቆጣጥሯል	-	ይቆጣጠር	ተቆጣጠር
ተቋረጠ	ተቋረጠ	ይቋረጣል	ተቋርጧል	-	ይቋረጥ	-
ተቋቋመ	ተቋቋመ	ይቋቋማል	ተቋቁሟል	-	ይቋቋም	-
ተቋጨ	ተቋጨ	ይቋጫል	ተቋጭቷል	-	ይቋጭ	ተቋጭ
ተበላ	ተበላ	ይበላል	ተበልቷል	-	ይበላ	ተበላ
ተበላሸ	ተበላሸ	ይበላሻል	ተበላሽቷል	-	ይበላሽ	-
ተበሳጨ	ተበሳጨ	ይበሳጫል	ተበሳጭቷል	-	ይበሳጭ	ተበሳጭ
ተበተነ	ተበተነ	ይበተናል	ተበትኗል	-	ይበተን	ተበተን
ተበከለ	ተበከለ	ይበከላል	ተበክሏል	-	ይበከል	ተበከል
ተበደለ	ተበደለ	ይበደላል	ተበድሏል	-	ይበደል	ተበደል
ተባለ	ተባለ	ይባላል	ተብሏል	-	ይባል	ተባል
ተባረረ	ተባረረ	ይባረራል	ተባሯል	-	ይባረር	ተባረር
ተባረከ	ተባረከ	ይባረካል	ተባርኳል	-	ይባረክ	ተባረክ
ተባባሰ	ተባባሰ	ይባባሳል	ተባብሷል	-	ይባባስ	-
ተተቸ	ተተቸ	ይተቻል	ተተችቷል	-	ይተች	-
ተተከለ	ተተከለ	ይተከላል	ተተክሏል	-	ይተከል	-
ተተካ	ተተካ	ይተካል	ተተክቷል	-	ይተካ	-
ተተወ	ተተወ	ይተዋል	ተትቷል	-	ይተው	ተተው
ተቸ	ተቸ	ይተቻል	ተችቷል	-	ይተች	ተች
ተቸገረ	ተቸገረ	ይቸገራል	ተቸግሯል	-	ይቸገር	ተቸገር
ተቻለ	ተቻለ	ይቻላል	ተችሏል	-	ይቻል	-
ተነሳ	ተነሣ	ይነሣል	ተነሥቷል	-	ይነሣ	ተነሣ
ተነቀለ	ተነቀለ	ይነቀላል	ተነቅሏል	-	ይነቀል	-
ተነተነ	ተነተነ	ይተነትናል	ተንትኗል	-	ይተነትን	ተንትን
ተነካ	ተነካ	ይነካል	ተነክቷል	-	ይነካ	ተነካ
ተነዛ	ተነዛ	ይነዛል	ተነዝቷል	-	ይነዛ	ተነዛ
ተነገረ	ተነገረ	ይነገራል	ተነግሯል	-	ይነገር	-
ተነጠቀ	ተነጠቀ	ይነጠቃል	ተነጥቋል	-	ይነጠቅ	ተነጠቅ
ተነፈሰ	ተነፈሰ	ይተነፍሳል	ተንፍሷል	-	ይተነፍስ	ተንፍስ
ተነፋ	ተነፋ	ይነፋል	ተነፍቷል	-	ይነፋ	ተነፋ
ተናገረ	ተናገረ	ይናገራል	ተናግሯል	-	ይናገር	ተናገር
ተንቀሳቀሰ	ተንቀሳቀሰ	ይንቀሳቀሳል	ተንቀሳቅሷል	-	ይንቀሳቀስ	ተንቀሳቀስ
ተንገላታ	ተንገላታ	ይንገላታል	ተንገላትቷል	-	ይንገላታ	ተንገላታ
ተንጸባረቀ	ተንጸባረቀ	ይንጸባረቃል	ተንጸባርቋል	-	ይንጸባረቅ	-
ተኛ	ተኛ	ይተኛል	ተኝቷል	-	ይተኛ	ተኛ
ተከለ	ተከለ	ይተክላል	ተክሏል	-	ይተክል	ትከል
ተከለከለ	ተከለከለ	ይከለከላል	ተከልክሏል	-	ይከለከል	ተከልከል
ተከላከለ	ተከላከለ	ይከላከላል	ተከላክሏል	-	ይከላከል	ተከላከል
ተከማቸ	ተከማቸ	ይከማቻል	ተከማችቷል	-	ይከማች	-
ተከራከረ	ተከራከረ	ይከራከራል	ተከራክሯል	-	ይከራከር	ተከራከር
ተከራየ	ተከራየ	ይከራያል	ተከራይቷል	-	ይከራይ	ተከራይ
ተከሰሰ	ተከሰሰ	ይከሰሳል	ተከሷል	-	ይከሰስ	ተከሰስ
ተከሰተ	ተከሰተ	ይከሰታል	ተከስቷል	-	ይከሰት	-
ተከበረ	ተከበረ	ይከበራል	ተከብሯል	-	ይከበር	ተከበር
ተከተለ	ተከተለ	ይከተላል	ተከትሏል	-	ይከተል	ተከተል
ተከናወነ	ተከናወነ	ይከናወናል	ተከናውኗል	-	ይከናወን	ተከናወን
ተከፈለ	ተከፈለ	ይከፈላል	ተከፍሏል	-	ይከፈል	-
ተከፈተ	ተከፈተ	ይከፈታል	ተከፍቷል	-	ይከፈት	-
ተካ	ተካ	ይተካል	ተክቷል	-	ይተካ	-
ተካተተ	ተካተተ	ይካተታል	ተካቷል	-	ይካተት	-
ተካፈለ	ተካፈለ	ይካፈላል	ተካፍሏል	-	ይካፈል	ተካፈል
ተኮሰ	ተኮሰ	ይተኩሳል	ተኩሷል	-	ይተኩስ	ተኩስ
ተወ	ተወ	ይተዋል	ትቷል	-	ይተው	ተው
ተወለደ	ተወለደ	ይወለዳል	ተወልዷል	-	ይወለድ	ተወለድ
ተወረሰ	ተወረሰ	ይወረሳል	ተወርሷል	-	ይወረስ	-
ተወራ	ተወራ	ይወራል	ተወርቷል	-	ይወራ	-
ተወሰነ	ተወሰነ	ይወሰናል	ተወስኗል	-	ይወሰን	-
ተወሰደ	ተወሰደ	ይወሰዳል	ተወስዷል	-	ይወሰድ	ተወሰድ
ተወሳ	ተወሳ	ይወሳል	ተወስቷል	-	ይወሳ	-
ተወቀሰ	ተወቀሰ	ይወቀሳል	ተወቅሷል	-	ይወቀስ	ተወቀስ
ተወነጀለ	ተወነጀለ	ይወነጀላል	ተወንጅሏል	-	ይወነጀል	ተወንጀል
ተወገደ	ተወገደ	ይወገዳል	ተወግዷል	-	ይወገድ	-
ተወጋ	ተወጋ	ይወጋል	ተወግቷል	-	ይወጋ	ተወጋ
ተወጣ	ተወጣ	ይወጣል	ተወጥቷል	-	ይወጣ	ተወጣ
ተዋረደ	ተዋረደ	ይዋረዳል	ተዋርዷል	-	ይዋረድ	ተዋረድ
ተዋቀረ	ተዋቀረ	ይዋቀራል	ተዋቅሯል	-	ይዋቀር	-
ተዋጋ	ተዋጋ	ይዋጋል	ተዋግቷል	-	ይዋጋ	ተዋጋ
ተዘረዘረ	ተዘረዘረ	ይዘረዘራል	ተዘርዝሯል	-	ይዘረዘር	-
ተዘረጋ	ተዘረጋ	ይዘረጋል	ተዘርግቷል	-	ይዘረጋ	ተዘርጋ
ተዘራ	ተዘራ	ይዘራል	ተዘርቷል	-	ይዘራ	-
ተዘዋወረ	ተዘዋወረ	ይዘዋወራል	ተዘዋውሯል	-	ይዘዋወር	-
ተዘገበ	ተዘገበ	ይዘገባል	ተዘግቧል	-	ይዘገብ	-
ተዘጋ	ተዘጋ	ይዘጋል	ተዘግቷል	-	ይዘጋ	-
ተዘጋጀ	ተዘጋጀ	ይዘጋጃል	ተዘጋጅቷል	-	ይዘጋጅ	ተዘጋጅ
ተዛመተ	ተዛመተ	ይዛመታል	ተዛምቷል	-	ይዛመት	-
ተዛባ	ተዛባ	ይዛባል	ተዛብቷል	-	ይዛባ	-
ተዛወረ	ተዛወረ	ይዛወራል	ተዛውሯል	-	ይዛወር	-
ተያዘ	ተያዘ	ይያዛል	ተይዟል	-	ይያዝ	ተያዝ
ተያያዘ	ተያያዘ	ይያያዛል	ተያይዟል	-	ይያያዝ	-
ተደመደመ	ተደመደመ	ይደመደማል	ተደምድሟል	-	ይደመደም	-
ተደረሰ	ተደረሰ	ይደረሳል	ተደርሷል	-	ይደረስ	-
ተደረገ	ተደረገ	ይደረጋል	ተደርጓል	-	ይደረግ	ተደረግ
ተደራደረ	ተደራደረ	ይደራደራል	ተደራድሯል	-	ይደራደር	ተደራደር
ተደራጀ	ተደራጀ	ይደራጃል	ተደራጅቷል	-	ይደራጅ	-
ተደሰተ	ተደሰተ	ይደሰታል	ተደስቷል	-	ይደሰት	ተደሰት
ተደቀነ	ተደቀነ	ይደቀናል	ተደቅኗል	-	ይደቀን	ተደቀን
ተደበቀ	ተደበቀ	ይደበቃል	ተደብቋል	-	ይደበቅ	-
ተደበደበ	ተደበደበ	ይደበደባል	ተደብድቧል	-	ይደበደብ	ተደብደብ
ተደነቀ	ተደነቀ	ይደነቃል	ተደንቋል	-	ይደነቅ	-
ተደገመ	ተደገመ	ይደገማል	ተደግሟል	-	ይደገም	-
ተደገፈ	ተደገፈ	ይደገፋል	ተደግፏል	-	ይደገፍ	-
ተደፈረ	ተደፈረ	ይደፈራል	ተደፍሯል	-	ይደፈር	ተደፈር
ተዳረገ	ተዳረገ	ይዳረጋል	ተዳርጓል	-	ይዳረግ	ተዳረግ
ተዳደረ	ተዳደረ	ይተዳደራል	ተዳድሯል	-	ይተዳደር	-
ተጀመረ	ተጀመረ	ይጀመራል	ተጀምሯል	-	ይጀመር	-
ተገለለ	ተገለለ	ይገለላል	ተገሏል	-	ይገለል	-
ተገለጸ	ተገለፀ	ይገለፃል	ተገልጿል	-	ይገለፅ	-
ተገመተ	ተገመተ	ይገመታል	ተገምቷል	-	ይገመት	-
ተገመገመ	ተገመገመ	ይገመገማል	ተገምግሟል	-	ይገመገም	-
ተገረፈ	ተገረፈ	ይገረፋል	ተገርፏል	-	ይገረፍ	ተገረፍ
ተገባ	ተገባ	ይገባል	ተገብቷል	-	ይገባ	-
ተገታ	ተገታ	ይገታል	ተገትቷል	-	ይገታ	-
ተገነባ	ተገነባ	ይገነባል	ተገንብቷል	-	ይገነባ	ተገንባ
ተገነዘበ	ተገነዘበ	ይገነዘባል	ተገንዝቧል	-	ይገነዘብ	ተገንዘብ
ተገኘ	ተገኘ	ይገኛል	ተገኝቷል	-	ይገኝ	ተገኝ
ተገዛ	ተገዛ	ይገዛል	ተገዝቷል	-	ይገዛ	ተገዛ
ተገደለ	ተገደለ	ይገደላል	ተገድሏል	-	ይገደል	-
ተገደደ	ተገደደ	ይገደዳል	ተገዷል	-	ይገደድ	ተገደድ
ተገፋ	ተገፋ	ይገፋል	ተገፍቷል	-	ይገፋ	ተገፋ
ተጋበዘ	ተጋበዘ	ይጋበዛል	ተጋብዟል	-	ይጋበዝ	ተጋበዝ
ተጋጠመ	ተጋጠመ	ይጋጠማል	ተጋጥሟል	-	ይጋጠም	-
ተጋጨ	ተጋጨ	ይጋጫል	ተጋጭቷል	-	ይጋጭ	-
ተጎዳ	ተጎዳ	ይጎዳል	ተጎድቷል	-	ይጎዳ	ተጎዳ
ተጓዘ	ተጓዘ	ይጓዛል	ተጉዟል	-	ይጓዝ	ተጓዝ
ተጓጓዘ	ተጓጓዘ	ይጓጓዛል	ተጓጉዟል	-	ይጓጓዝ	ተጓጓዝ
ተጠመቀ	ተጠመቀ	ይጠመቃል	ተጠምቋል	-	ይጠመቅ	-
ተጠረጠረ	ተጠረጠረ	ይጠረጠራል	ተጠርጥሯል	-	ይጠረጠር	ተጠርጠር
ተጠራ	ተጠራ	ይጠራል	ተጠርቷል	-	ይጠራ	ተጠራ
ተጠራጠረ	ተጠራጠረ	ይጠራጠራል	ተጠራጥሯል	-	ይጠራጠር	ተጠራጠር
ተጠቀመ	ተጠቀመ	ይጠቀማል	ተጠቅሟል	-	ይጠቀም	ተጠቀም
