# lemma	feature	form  (mined residue — regenerate with scripts/amh/mine_overrides.py)
ተለዋወጠ	V;1;PFV;PL	ተለዋወጥን
ተለዋወጠ	V;1;PL;PRF	ተለዋውጠናል
ተለዋወጠ	V;2;IMP;PL	ተለዋወጡ
ተለዋወጠ	V;2;IPFV;NFIN;PL	ትለዋወጡ
ተለዋወጠ	V;2;IPFV;PL	ትለዋወጣላችሁ
ተለዋወጠ	V;2;PFV;PL	ተለዋወጣችሁ
ተለዋወጠ	V;2;PL;PRF	ተለዋውጣችኋል
ተለዋወጠ	V;3;IMP;PL	ይለዋወጡ
ተለዋወጠ	V;3;IPFV;NFIN;PL	ይለዋወጡ
ተለዋወጠ	V;3;IPFV;PL	ይለዋወጣሉ
ተለዋወጠ	V;3;PFV;PL	ተለዋወጡ
ተለዋወጠ	V;3;PL;PRF	ተለዋውጠዋል
ተላከ	V;1;PFV;SG	ተላኩ
ተላከ	V;2;MASC;PFV;SG	ተላክ
ተመረመረ	V;3;IMP;MASC;SG	ይመርመር
ተመሰረተ	V;3;IMP;MASC;SG	ይመሥረት
ተመካከረ	V;1;IMP;PL	እንመካከር
ተመካከረ	V;1;IPFV;NFIN;PL	እንመካከር
ተመካከረ	V;1;IPFV;PL	እንመካከራለን
ተመካከረ	V;1;PFV;PL	ተመካከርን
ተመካከረ	V;1;PL;PRF	ተመካክረናል
ተመካከረ	V;2;IMP;PL	ተመካከሩ
ተመካከረ	V;2;IPFV;NFIN;PL	ትመካከሩ
ተመካከረ	V;2;IPFV;PL	ትመካከራላችሁ
ተመካከረ	V;2;PFV;PL	ተመካከራችሁ
ተመካከረ	V;2;PL;PRF	ተመካክራችኋል
ተመካከረ	V;3;IMP;PL	ይመካከሩ
ተመካከረ	V;3;IPFV;NFIN;PL	ይመካከሩ
ተመካከረ	V;3;IPFV;PL	ይመካከራሉ
ተመካከረ	V;3;PFV;PL	ተመካከሩ
ተመካከረ	V;3;PL;PRF	ተመካክረዋል
ተማመነ	V;1;IMP;PL	እንተማመን
ተማመነ	V;1;IPFV;NFIN;PL	እንተማመን
ተማመነ	V;1;IPFV;PL	እንተማመናለን
ተማመነ	V;1;PFV;PL	ተማመንን
ተማመነ	V;1;PL;PRF	ተማምነናል
ተማመነ	V;2;IMP;PL	ተማመኑ
ተማመነ	V;2;IPFV;NFIN;PL	ትተማመኑ
ተማመነ	V;2;IPFV;PL	ትተማመናላችሁ
ተማመነ	V;2;PFV;PL	ተማመናችሁ
ተማመነ	V;2;PL;PRF	ተማምናችኋል
ተማመነ	V;3;IMP;PL	ይተማመኑ
ተማመነ	V;3;IPFV;NFIN;PL	ይተማመኑ
ተማመነ	V;3;IPFV;PL	ይተማመናሉ
ተማመነ	V;3;PFV;PL	ተማመኑ
ተማመነ	V;3;PL;PRF	ተማምነዋል
ተማረከ	V;1;PFV;SG	ተማረኩ
ተማረከ	V;2;MASC;PFV;SG	ተማረክ
ተረጋገጠ	V;1;IMP;PL	እንረጋገጥ
ተረጋገጠ	V;1;IPFV;NFIN;PL	እንረጋገጥ
ተረጋገጠ	V;1;IPFV;PL	እንረጋገጣለን
ተረጋገጠ	V;1;PFV;PL	ተረጋገጥን
ተረጋገጠ	V;1;PL;PRF	ተረጋግጠናል
ተረጋገጠ	V;2;IMP;PL	ተረጋገጡ
ተረጋገጠ	V;2;IPFV;NFIN;PL	ትረጋገጡ
ተረጋገጠ	V;2;IPFV;PL	ትረጋገጣላችሁ
ተረጋገጠ	V;2;PFV;PL	ተረጋገጣችሁ
ተረጋገጠ	V;2;PL;PRF	ተረጋግጣችኋል
ተረጋገጠ	V;3;IMP;PL	ይረጋገጡ
ተረጋገጠ	V;3;IPFV;NFIN;PL	ይረጋገጡ
ተረጋገጠ	V;3;IPFV;PL	ይረጋገጣሉ
ተረጋገጠ	V;3;PFV;PL	ተረጋገጡ
ተረጋገጠ	V;3;PL;PRF	ተረጋግጠዋል
ተሰነዘረ	V;3;IMP;MASC;SG	ይሰንዘር
ተሰደደ	V;1;PRF;SG	ተሰድጃለሁ
ተሰጠ	V;1;PFV;PL	ተሰጠን
ተሰጠ	V;1;PFV;SG	ተሰጠሁ
ተሰጠ	V;2;FEM;PFV;SG	ተሰጠሽ
ተሰጠ	V;2;MASC;PFV;SG	ተሰጠህ
ተስማማ	V;1;IMP;PL	እንስማማ
ተስማማ	V;1;IPFV;NFIN;PL	እንስማማ
ተስማማ	V;1;IPFV;PL	እንስማማለን
ተስማማ	V;1;PFV;PL	ተስማማን
ተስማማ	V;1;PL;PRF	ተስማምተናል
ተስማማ	V;2;IMP;PL	ተስማሙ
ተስማማ	V;2;IPFV;NFIN;PL	ትስማሙ
ተስማማ	V;2;IPFV;PL	ትስማማላችሁ
ተስማማ	V;2;PFV;PL	ተስማማችሁ
ተስማማ	V;2;PL;PRF	ተስማምታችኋል
ተስማማ	V;3;IMP;PL	ይስማሙ
ተስማማ	V;3;IPFV;NFIN;PL	ይስማሙ
ተስማማ	V;3;IPFV;PL	ይስማማሉ
ተስማማ	V;3;PFV;PL	ተስማሙ
ተስማማ	V;3;PL;PRF	ተስማምተዋል
ተቀሰቀሰ	V;3;IMP;MASC;SG	ይቀስቀስ
ተበታተነ	V;1;IMP;PL	እንበታተን
ተበታተነ	V;1;IPFV;NFIN;PL	እንበታተን
ተበታተነ	V;1;IPFV;PL	እንበታተናለን
ተበታተነ	V;1;PFV;PL	ተበታተንን
ተበታተነ	V;1;PL;PRF	ተበታትነናል
ተበታተነ	V;2;IMP;PL	ተበታተኑ
ተበታተነ	V;2;IPFV;NFIN;PL	ትበታተኑ
ተበታተነ	V;2;IPFV;PL	ትበታተናላችሁ
ተበታተነ	V;2;PFV;PL	ተበታተናችሁ
ተበታተነ	V;2;PL;PRF	ተበታትናችኋል
ተበታተነ	V;3;IMP;PL	ይበታተኑ
ተበታተነ	V;3;IPFV;NFIN;PL	ይበታተኑ
ተበታተነ	V;3;IPFV;PL	ይበታተናሉ
ተበታተነ	V;3;PFV;PL	ተበታተኑ
ተበታተነ	V;3;PL;PRF	ተበታትነዋል
ተባረረ	V;1;PRF;SG	ተባርሬያለሁ
ተባረከ	V;1;PFV;SG	ተባረኩ
ተባረከ	V;2;MASC;PFV;SG	ተባረክ
ተባበረ	V;1;IMP;PL	እንተባበር
ተባበረ	V;1;IPFV;NFIN;PL	እንተባበር
ተባበረ	V;1;IPFV;PL	እንተባበራለን
ተባበረ	V;1;PFV;PL	ተባበርን
ተባበረ	V;1;PL;PRF	ተባብረናል
ተባበረ	V;2;IMP;PL	ተባበሩ
ተባበረ	V;2;IPFV;NFIN;PL	ትተባበሩ
ተባበረ	V;2;IPFV;PL	ትተባበራላችሁ
ተባበረ	V;2;PFV;PL	ተባበራችሁ
ተባበረ	V;2;PL;PRF	ተባብራችኋል
ተባበረ	V;3;IMP;PL	ይተባበሩ
ተባበረ	V;3;IPFV;NFIN;PL	ይተባበሩ
ተባበረ	V;3;IPFV;PL	ይተባበራሉ
ተባበረ	V;3;PFV;PL	ተባበሩ
ተባበረ	V;3;PL;PRF	ተባብረዋል
ተተወ	V;2;FEM;IMP;SG	ተተዪ
ተነተነ	V;1;IMP;PL	እንተንትን
ተነተነ	V;1;IMP;SG	ልተንትን
ተነተነ	V;3;FEM;IMP;SG	ትተንትን
ተነተነ	V;3;IMP;MASC;SG	ይተንትን
ተነተነ	V;3;IMP;PL	ይተንትኑ
ተነጋገረ	V;1;IMP;PL	እንነጋገር
ተነጋገረ	V;1;IPFV;NFIN;PL	እንነጋገር
ተነጋገረ	V;1;IPFV;PL	እንነጋገራለን
ተነጋገረ	V;1;PFV;PL	ተነጋገርን
ተነጋገረ	V;1;PL;PRF	ተነጋግረናል
ተነጋገረ	V;2;IMP;PL	ተነጋገሩ
ተነጋገረ	V;2;IPFV;NFIN;PL	ትነጋገሩ
ተነጋገረ	V;2;IPFV;PL	ትነጋገራላችሁ
ተነጋገረ	V;2;PFV;PL	ተነጋገራችሁ
ተነጋገረ	V;2;PL;PRF	ተነጋግራችኋል
ተነጋገረ	V;3;IMP;PL	ይነጋገሩ
ተነጋገረ	V;3;IPFV;NFIN;PL	ይነጋገሩ
ተነጋገረ	V;3;IPFV;PL	ይነጋገራሉ
ተነጋገረ	V;3;PFV;PL	ተነጋገሩ
ተነጋገረ	V;3;PL;PRF	ተነጋግረዋል
ተነፈሰ	V;1;IMP;PL	እንተንፍስ
ተነፈሰ	V;1;IMP;SG	ልተንፍስ
ተነፈሰ	V;3;FEM;IMP;SG	ትተንፍስ
ተነፈሰ	V;3;IMP;MASC;SG	ይተንፍስ
ተነፈሰ	V;3;IMP;PL	ይተንፍሱ
ተከሰሰ	V;1;PRF;SG	ተከስሻለሁ
ተከታተለ	V;1;IMP;PL	እንከታተል
ተከታተለ	V;1;IPFV;NFIN;PL	እንከታተል
ተከታተለ	V;1;IPFV;PL	እንከታተላለን
ተከታተለ	V;1;PFV;PL	ተከታተልን
ተከታተለ	V;1;PL;PRF	ተከታትለናል
ተከታተለ	V;2;IMP;PL	ተከታተሉ
ተከታተለ	V;2;IPFV;NFIN;PL	ትከታተሉ
ተከታተለ	V;2;IPFV;PL	ትከታተላላችሁ
ተከታተለ	V;2;PFV;PL	ተከታተላችሁ
ተከታተለ	V;2;PL;PRF	ተከታትላችኋል
ተከታተለ	V;3;IMP;PL	ይከታተሉ
ተከታተለ	V;3;IPFV;NFIN;PL	ይከታተሉ
ተከታተለ	V;3;IPFV;PL	ይከታተላሉ
ተከታተለ	V;3;PFV;PL	ተከታተሉ
ተከታተለ	V;3;PL;PRF	ተከታትለዋል
ተከፋፈለ	V;1;IMP;PL	እንከፋፈል
ተከፋፈለ	V;1;IPFV;NFIN;PL	እንከፋፈል
ተከፋፈለ	V;1;IPFV;PL	እንከፋፈላለን
ተከፋፈለ	V;1;PFV;PL	ተከፋፈልን
ተከፋፈለ	V;1;PL;PRF	ተከፋፍለናል
ተከፋፈለ	V;2;IMP;PL	ተከፋፈሉ
ተከፋፈለ	V;2;IPFV;NFIN;PL	ትከፋፈሉ
ተከፋፈለ	V;2;IPFV;PL	ትከፋፈላላችሁ
ተከፋፈለ	V;2;PFV;PL	ተከፋፈላችሁ
ተከፋፈለ	V;2;PL;PRF	ተከፋፍላችኋል
ተከፋፈለ	V;3;IMP;PL	ይከፋፈሉ
ተከፋፈለ	V;3;IPFV;NFIN;PL	ይከፋፈሉ
ተከፋፈለ	V;3;IPFV;PL	ይከፋፈላሉ
ተከፋፈለ	V;3;PFV;PL	ተከፋፈሉ
ተከፋፈለ	V;3;PL;PRF	ተከፋፍለዋል
ተኮሰ	V;1;IMP;PL	እንተኩስ
ተኮሰ	V;1;IMP;SG	ልተኩስ
ተኮሰ	V;3;FEM;IMP;SG	ትተኩስ
ተኮሰ	V;3;IMP;MASC;SG	ይተኩስ
ተኮሰ	V;3;IMP;PL	ይተኩሱ
ተወ	V;2;FEM;IMP;SG	ተዪ
ተወያየ	V;1;IMP;PL	እንወያይ
ተወያየ	V;1;IPFV;NFIN;PL	እንወያይ
ተወያየ	V;1;IPFV;PL	እንወያያለን
ተወያየ	V;1;PFV;PL	ተወያየን
ተወያየ	V;1;PL;PRF	ተወያይተናል
ተወያየ	V;2;IMP;PL	ተወያዩ
ተወያየ	V;2;IPFV;NFIN;PL	ትወያዩ
ተወያየ	V;2;IPFV;PL	ትወያያላችሁ
ተወያየ	V;2;PFV;PL	ተወያያችሁ
ተወያየ	V;2;PL;PRF	ተወያይታችኋል
ተወያየ	V;3;IMP;PL	ይወያዩ
ተወያየ	V;3;IPFV;NFIN;PL	ይወያዩ
ተወያየ	V;3;IPFV;PL	ይወያያሉ
ተወያየ	V;3;PFV;PL	ተወያዩ
ተወያየ	V;3;PL;PRF	ተወያይተዋል
ተወዳደረ	V;1;IMP;PL	እንወዳደር
ተወዳደረ	V;1;IPFV;NFIN;PL	እንወዳደር
ተወዳደረ	V;1;IPFV;PL	እንወዳደራለን
ተወዳደረ	V;1;PFV;PL	ተወዳደርን
ተወዳደረ	V;1;PL;PRF	ተወዳድረናል
ተወዳደረ	V;2;IMP;PL	ተወዳደሩ
ተወዳደረ	V;2;IPFV;NFIN;PL	ትወዳደሩ
ተወዳደረ	V;2;IPFV;PL	ትወዳደራላችሁ
ተወዳደረ	V;2;PFV;PL	ተወዳደራችሁ
ተወዳደረ	V;2;PL;PRF	ተወዳድራችኋል
ተወዳደረ	V;3;IMP;PL	ይወዳደሩ
ተወዳደረ	V;3;IPFV;NFIN;PL	ይወዳደሩ
ተወዳደረ	V;3;IPFV;PL	ይወዳደራሉ
ተወዳደረ	V;3;PFV;PL	ተወዳደሩ
ተወዳደረ	V;3;PL;PRF	ተወዳድረዋል
ተዋወቀ	V;1;IMP;PL	እንተዋወቅ
ተዋወቀ	V;1;IPFV;NFIN;PL	እንተዋወቅ
ተዋወቀ	V;1;IPFV;PL	እንተዋወቃለን
ተዋወቀ	V;1;PFV;PL	ተዋወቅን
ተዋወቀ	V;1;PL;PRF	ተዋውቀናል
ተዋወቀ	V;2;IMP;PL	ተዋወቁ
ተዋወቀ	V;2;IPFV;NFIN;PL	ትተዋወቁ
ተዋወቀ	V;2;IPFV;PL	ትተዋወቃላችሁ
ተዋወቀ	V;2;PFV;PL	ተዋወቃችሁ
ተዋወቀ	V;2;PL;PRF	ተዋውቃችኋል
ተዋወቀ	V;3;IMP;PL	ይተዋወቁ
ተዋወቀ	V;3;IPFV;NFIN;PL	ይተዋወቁ
ተዋወቀ	V;3;IPFV;PL	ይተዋወቃሉ
ተዋወቀ	V;3;PFV;PL	ተዋወቁ
ተዋወቀ	V;3;PL;PRF	ተዋውቀዋል
ተዘረዘረ	V;3;IMP;MASC;SG	ይዘርዘር
ተያየ	V;1;IMP;PL	እንተያይ
ተያየ	V;1;IPFV;NFIN;PL	እንተያይ
ተያየ	V;1;IPFV;PL	እንተያያለን
ተያየ	V;1;PFV;PL	ተያየን
ተያየ	V;1;PL;PRF	ተያይተናል
ተያየ	V;2;IMP;PL	ተያዩ
ተያየ	V;2;IPFV;NFIN;PL	ትተያዩ
ተያየ	V;2;IPFV;PL	ትተያያላችሁ
ተያየ	V;2;PFV;PL	ተያያችሁ
ተያየ	V;2;PL;PRF	ተያይታችኋል
ተያየ	V;3;IMP;PL	ይተያዩ
ተያየ	V;3;IPFV;NFIN;PL	ይተያዩ
ተያየ	V;3;IPFV;PL	ይተያያሉ
ተያየ	V;3;PFV;PL	ተያዩ
ተያየ	V;3;PL;PRF	ተያይተዋል
ተደመደመ	V;3;IMP;MASC;SG	ይደምደም
ተገመገመ	V;3;IMP;MASC;SG	ይገምገም
ተገደደ	V;1;PRF;SG	ተገድጃለሁ
ተጠባበቀ	V;1;IMP;PL	እንጠባበቅ
ተጠባበቀ	V;1;IPFV;NFIN;PL	እንጠባበቅ
ተጠባበቀ	V;1;IPFV;PL	እንጠባበቃለን
ተጠባበቀ	V;1;PFV;PL	ተጠባበቅን
ተጠባበቀ	V;1;PL;PRF	ተጠባብቀናል
ተጠባበቀ	V;2;IMP;PL	ተጠባበቁ
ተጠባበቀ	V;2;IPFV;NFIN;PL	ትጠባበቁ
ተጠባበቀ	V;2;IPFV;PL	ትጠባበቃላችሁ
ተጠባበቀ	V;2;PFV;PL	ተጠባበቃችሁ
ተጠባበቀ	V;2;PL;PRF	ተጠባብቃችኋል
ተጠባበቀ	V;3;IMP;PL	ይጠባበቁ
ተጠባበቀ	V;3;IPFV;NFIN;PL	ይጠባበቁ
ተጠባበቀ	V;3;IPFV;PL	ይጠባበቃሉ
ተጠባበቀ	V;3;PFV;PL	ተጠባበቁ
ተጠባበቀ	V;3;PL;PRF	ተጠባብቀዋል
ተጠነቀቀ	V;3;IMP;MASC;SG	ይጠንቀቅ
ተፈራረመ	V;1;IMP;PL	እንፈራረም
ተፈራረመ	V;1;IPFV;NFIN;PL	እንፈራረም
ተፈራረመ	V;1;IPFV;PL	እንፈራረማለን
ተፈራረመ	V;1;PFV;PL	ተፈራረምን
ተፈራረመ	V;1;PL;PRF	ተፈራርመናል
ተፈራረመ	V;2;IMP;PL	ተፈራረሙ
ተፈራረመ	V;2;IPFV;NFIN;PL	ትፈራረሙ
ተፈራረመ	V;2;IPFV;PL	ትፈራረማላችሁ
ተፈራረመ	V;2;PFV;PL	ተፈራረማችሁ
ተፈራረመ	V;2;PL;PRF	ተፈራርማችኋል
ተፈራረመ	V;3;IMP;PL	ይፈራረሙ
ተፈራረመ	V;3;IPFV;NFIN;PL	ይፈራረሙ
ተፈራረመ	V;3;IPFV;PL	ይፈራረማሉ
ተፈራረመ	V;3;PFV;PL	ተፈራረሙ
ተፈራረመ	V;3;PL;PRF	ተፈራርመዋል
ታመመ	V;1;PRF;SG	ታምሜያለሁ
ታሰበ	V;3;IMP;MASC;SG	ይታሰብ
ታወከ	V;1;PFV;SG	ታወኩ
ታወከ	V;2;MASC;PFV;SG	ታወክ
ታዘዘ	V;1;PRF;SG	ታዝዣለሁ
ታደሰ	V;3;IMP;MASC;SG	ይታደስ
ነው	V;1;PL;PRS	ነን
ነው	V;1;PRS;SG	ነኝ
ነው	V;2;FEM;PRS;SG	ነሽ
ነው	V;2;MASC;PRS;SG	ነህ
ነው	V;2;PL;PRS	ናችኍ
ነው	V;3;FEM;LGSPEC1;PRS;SG	ናት
ነው	V;3;FEM;PRS;SG	ነች
ነው	V;3;MASC;PRS;SG	ነው
ነው	V;3;PL;PRS	ናቸው
ነደደ	V;3;IMP;MASC;SG	ይንደድ
አመመ	V;1;PRF;SG	አምሜያለሁ
አረጋ	V;3;IMP;MASC;SG	ያርጋ
አሻለ	V;2;FEM;IMP;SG	አሽዪ
አሻሻለ	V;2;FEM;IMP;SG	አሻሽዪ
አበረከተ	V;3;IMP;MASC;SG	ያበርክት
አነሰ	V;3;IMP;MASC;SG	ይነስ
አነሳ	V;1;IMP;SG	ላንሳ
አነሳ	V;1;IPFV;NFIN;PL	እናነሣ
አነሳ	V;1;IPFV;NFIN;SG	አነሣ
አነሳ	V;1;IPFV;PL	እናነሣለን
አነሳ	V;1;IPFV;SG	አነሣለሁ
አነሳ	V;3;FEM;IMP;SG	ታንሳ
አነሳ	V;3;IMP;MASC;SG	ያንሳ
አነሳ	V;3;IMP;PL	ያንሱ
አወከ	V;1;PFV;SG	አወኩ
አወከ	V;2;MASC;PFV;SG	አወክ
አዋለ	V;2;FEM;IMP;SG	አውዪ
አዘዘ	V;1;PRF;SG	አዝዣለሁ
አደከመ	V;3;IMP;MASC;SG	ያድክም
አገረሸ	V;3;IMP;MASC;SG	ያገርሽ
አጎላ	V;3;IMP;MASC;SG	ያጉላ
አጣጣለ	V;2;FEM;IMP;SG	አጣጥዪ
አጸደቀ	V;1;IMP;SG	ላጽድቅ
አጸደቀ	V;1;IPFV;NFIN;PL	እናፀድቅ
አጸደቀ	V;1;IPFV;NFIN;SG	አፀድቅ
አጸደቀ	V;1;IPFV;PL	እናፀድቃለን
አጸደቀ	V;1;IPFV;SG	አፀድቃለሁ
አጸደቀ	V;3;FEM;IMP;SG	ታጽድቅ
አጸደቀ	V;3;IMP;MASC;SG	ያጽድቅ
አጸደቀ	V;3;IMP;PL	ያጽድቁ
ከሰሰ	V;1;PRF;SG	ከስሻለሁ
ከተተ	V;1;PRF;SG	ከትቻለሁ
ወረረ	V;1;PRF;SG	ወርሬያለሁ
ወደደ	V;1;PRF;SG	ወድጃለሁ
ዳረገ	V;3;IMP;MASC;SG	ይዳርግ
ገለበጠ	V;3;IMP;MASC;SG	ይገልብጥ
ገለጸ	V;1;PL;PRF	ገልፀናል
ገለጸ	V;2;FEM;PRF;SG	ገልፀሻል
ገለጸ	V;2;MASC;PRF;SG	ገልፀሀል
ገለጸ	V;2;PL;PRF	ገልፃችኋል
ገለጸ	V;3;FEM;PRF;SG	ገልፃለች
ገለጸ	V;3;PL;PRF	ገልፀዋል
ጠላ	V;2;FEM;IMP;SG	ጥዪ
ጨለመ	V;3;IMP;MASC;SG	ይጨልም
ጮኸ	V;1;IPFV;PL	እንጮሀለን
ጮኸ	V;1;IPFV;SG	እጮሀለሁ
ጮኸ	V;1;PFV;PL	ጮህን
ጮኸ	V;1;PFV;SG	ጮህኩ
ጮኸ	V;1;PRF;SG	ጮሄያለሁ
ጮኸ	V;2;FEM;PFV;SG	ጮህሽ
ጮኸ	V;2;IPFV;MASC;SG	ትጮሀለህ
ጮኸ	V;2;IPFV;PL	ትጮሀላችሁ
ጮኸ	V;2;MASC;PFV;SG	ጮህክ
ጮኸ	V;2;PFV;PL	ጮሀችሁ
ጮኸ	V;2;PL;PRF	ጮሀችኋል
ጮኸ	V;3;FEM;IPFV;SG	ትጮሀለች
ጮኸ	V;3;FEM;PRF;SG	ጮሀለች
ጮኸ	V;3;IPFV;PL	ይጮሀሉ
ጮኸ	V;3;PFV;PL	ጮሁ
ጸለየ	V;1;PFV;PL	ጸለይን
ጸለየ	V;1;PFV;SG	ጸለይኩ
ጸለየ	V;1;PL;PRF	ጸሊየናል
ጸለየ	V;1;PRF;SG	ጸልያለሁ
ጸለየ	V;2;FEM;IMP;SG	ጸሊዪ
ጸለየ	V;2;FEM;IPFV;SG	ትጸልዪያለሽ
ጸለየ	V;2;FEM;PFV;SG	ጸለይሽ
ጸለየ	V;2;FEM;PRF;SG	ጸሊየሻል
ጸለየ	V;2;IMP;PL	ጸሊዩ
ጸለየ	V;2;MASC;PFV;SG	ጸለይክ
ጸለየ	V;2;MASC;PRF;SG	ጸሊየሀል
ጸለየ	V;2;PL;PRF	ጸሊያችኋል
ጸለየ	V;3;FEM;PRF;SG	ጸሊያለች
ጸለየ	V;3;IMP;PL	ይጸሊዩ
ጸለየ	V;3;PL;PRF	ጸሊየዋል
ፈሰሰ	V;3;IMP;MASC;SG	ይፍሰስ
ፈተሸ	V;1;PFV;PL	ፈተሽን
ፈተሸ	V;1;PFV;SG	ፈተሽኩ
ፈተሸ	V;1;PRF;SG	ፈትሻለሁ
ፈተሸ	V;2;FEM;IPFV;SG	ትፈትሺያለሽ
ፈተሸ	V;2;FEM;PFV;SG	ፈተሽ
ፈተሸ	V;2;MASC;PFV;SG	ፈተሽክ
