# lemma(1sg.pres)	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;1;PL	V;IND;PRS;2;PL	V;IND;PRS;3;PL	V;IND;PST;1;SG	V;IND;PST;2;SG	V;IND;PST;3;SG	V;IND;PST;1;PL	V;IND;PST;2;PL	V;IND;PST;3;PL	V;IND;PROG;PST;1;SG	V;IND;PROG;PST;2;SG	V;IND;PROG;PST;3;SG	V;IND;PROG;PST;1;PL	V;IND;PROG;PST;2;PL	V;IND;PROG;PST;3;PL	V;IMP;2;SG	V;IMP;2;PL	V.CVB	V.PTCP;ACT;PST;MASC;SG;INDF	V.PTCP;ACT;PST;FEM;SG;INDF	V.PTCP;ACT;PST;NEUT;SG;INDF	V.PTCP;ACT;PST;PL;INDF	V.PTCP;ACT;PST;NFH;MASC;SG;INDF	V.PTCP;ACT;PST;NFH;FEM;SG;INDF	V.PTCP;ACT;PST;NFH;NEUT;SG;INDF	V.PTCP;ACT;PST;NFH;PL;INDF	V.PTCP;ACT;PRS;MASC;SG;INDF	V.PTCP;ACT;PRS;FEM;SG;INDF	V.PTCP;ACT;PRS;NEUT;SG;INDF	V.PTCP;ACT;PRS;PL;INDF	V.PTCP;PASS;PST;MASC;SG;INDF	V.PTCP;PASS;PST;FEM;SG;INDF	V.PTCP;PASS;PST;NEUT;SG;INDF	V.PTCP;PASS;PST;PL;INDF	V.MSDR;NEUT;SG;INDF	V.MSDR;PL;INDF  ("-" = productive default)
адсорбирам	-	-	-	-	-	-	адсорбирах	адсорбира	адсорбира	адсорбирахме	адсорбирахте	адсорбираха	адсорбирах	адсорбираше	адсорбираше	адсорбирахме	адсорбирахте	адсорбираха	адсорбираи	адсорбираите	адсорбираики	адсорбирал	адсорбирала	адсорбирало	адсорбирали	адсорбирал	адсорбирала	адсорбирало	адсорбирали	адсорбиращ	адсорбираща	адсорбиращо	адсорбиращи	адсорбиран	адсорбирана	адсорбирано	адсорбирани	адсорбиране	адсорбиранета
акам	-	-	-	-	-	-	аках	ака	ака	акахме	акахте	акаха	аках	акаше	акаше	акахме	акахте	акаха	акаи	акаите	акаики	акал	акала	акало	акали	акал	акала	акало	акали	акащ	акаща	акащо	акащи	-	-	-	-	акане	аканета
акламирам	-	-	-	-	-	-	акламирах	акламира	акламира	акламирахме	акламирахте	акламираха	акламирах	акламираше	акламираше	акламирахме	акламирахте	акламираха	акламираи	акламираите	акламираики	акламирал	акламирала	акламирало	акламирали	акламирал	акламирала	акламирало	акламирали	акламиращ	акламираща	акламиращо	акламиращи	акламиран	акламирана	акламирано	акламирани	акламиране	акламиранета
аклиматизирам	-	-	-	-	-	-	аклиматизирах	аклиматизира	аклиматизира	аклиматизирахме	аклиматизирахте	аклиматизираха	аклиматизирах	аклиматизираше	аклиматизираше	аклиматизирахме	аклиматизирахте	аклиматизираха	аклиматизираи	аклиматизираите	аклиматизираики	аклиматизирал	аклиматизирала	аклиматизирало	аклиматизирали	аклиматизирал	аклиматизирала	аклиматизирало	аклиматизирали	аклиматизиращ	аклиматизираща	аклиматизиращо	аклиматизиращи	аклиматизиран	аклиматизирана	аклиматизирано	аклиматизирани	аклиматизиране	аклиматизиранета
акомодирам	-	-	-	-	-	-	акомодирах	акомодира	акомодира	акомодирахме	акомодирахте	акомодираха	акомодирах	акомодираше	акомодираше	акомодирахме	акомодирахте	акомодираха	акомодираи	акомодираите	акомодираики	акомодирал	акомодирала	акомодирало	акомодирали	акомодирал	акомодирала	акомодирало	акомодирали	акомодиращ	акомодираща	акомодиращо	акомодиращи	акомодиран	акомодирана	акомодирано	акомодирани	акомодиране	акомодиранета
акомпанирам	-	-	-	-	-	-	акомпанирах	акомпанира	акомпанира	акомпанирахме	акомпанирахте	акомпанираха	акомпанирах	акомпанираше	акомпанираше	акомпанирахме	акомпанирахте	акомпанираха	акомпанираи	акомпанираите	акомпанираики	акомпанирал	акомпанирала	акомпанирало	акомпанирали	акомпанирал	акомпанирала	акомпанирало	акомпанирали	акомпаниращ	акомпанираща	акомпаниращо	акомпаниращи	-	-	-	-	акомпаниране	акомпаниранета
акордирам	-	-	-	-	-	-	акордирах	акордира	акордира	акордирахме	акордирахте	акордираха	акордирах	акордираше	акордираше	акордирахме	акордирахте	акордираха	акордираи	акордираите	акордираики	акордирал	акордирала	акордирало	акордирали	акордирал	акордирала	акордирало	акордирали	акордиращ	акордираща	акордиращо	акордиращи	акордиран	акордирана	акордирано	акордирани	акордиране	акордиранета
акостирам	акорстирам	акорстираш	акорстира	акорстираме	акорстирате	акорстират	акорстирах	акорстира	акорстира	акорстирахме	акорстирахте	акорстираха	акорстирах	акорстираше	акорстираше	акорстирахме	акорстирахте	акорстираха	акорстираи	акорстираите	акорстираики	акорстирал	акорстирала	акорстирало	акорстирали	акорстирал	акорстирала	акорстирало	акорстирали	акорстиращ	акорстираща	акорстиращо	акорстиращи	-	-	-	-	акорстиране	акорстиранета
акредитирам	-	-	-	-	-	-	акредитирах	акредитира	акредитира	акредитирахме	акредитирахте	акредитираха	акредитирах	акредитираше	акредитираше	акредитирахме	акредитирахте	акредитираха	акредитираи	акредитираите	акредитираики	акредитирал	акредитирала	акредитирало	акредитирали	акредитирал	акредитирала	акредитирало	акредитирали	акредитиращ	акредитираща	акредитиращо	акредитиращи	-	-	-	-	акредитиране	акредитиранета
акробатствам	-	-	-	-	-	-	акробатствах	акробатства	акробатства	акробатствахме	акробатствахте	акробатстваха	акробатствах	акробатстваше	акробатстваше	акробатствахме	акробатствахте	акробатстваха	акробатстваи	акробатстваите	акробатстваики	акробатствал	акробатствала	акробатствало	акробатствали	акробатствал	акробатствала	акробатствало	акробатствали	акробатстващ	акробатстваща	акробатстващо	акробатстващи	-	-	-	-	акробатстване	акробатстванета
акробатствувам	-	-	-	-	-	-	акробатствувах	акробатствува	акробатствува	акробатствувахме	акробатствувахте	акробатствуваха	акробатствувах	акробатствуваше	акробатствуваше	акробатствувахме	акробатствувахте	акробатствуваха	акробатствуваи	акробатствуваите	акробатствуваики	акробатствувал	акробатствувала	акробатствувало	акробатствували	акробатствувал	акробатствувала	акробатствувало	акробатствували	акробатствуващ	акробатствуваща	акробатствуващо	акробатствуващи	-	-	-	-	акробатствуване	акробатствуванета
активизирам	-	-	-	-	-	-	активизирах	активизира	активизира	активизирахме	активизирахте	активизираха	активизирах	активизираше	активизираше	активизирахме	активизирахте	активизираха	активизираи	активизираите	активизираики	активизирал	активизирала	активизирало	активизирали	активизирал	активизирала	активизирало	активизирали	активизиращ	активизираща	активизиращо	активизиращи	активизиран	активизирана	активизирано	активизирани	активизиране	активизиранета
активирам	-	-	-	-	-	-	активирах	активира	активира	активирахме	активирахте	активираха	активирах	активираше	активираше	активирахме	активирахте	активираха	активираи	активираите	активираики	активирал	активирала	активирало	активирали	активирал	активирала	активирало	активирали	активиращ	активираща	активиращо	активиращи	активиран	активирана	активирано	активирани	активиране	активиранета
актуализирам	-	-	-	-	-	-	актуализирах	актуализира	актуализира	актуализирахме	актуализирахте	актуализираха	актуализирах	актуализираше	актуализираше	актуализирахме	актуализирахте	актуализираха	актуализираи	актуализираите	актуализираики	актуализирал	актуализирала	актуализирало	актуализирали	актуализирал	актуализирала	актуализирало	актуализирали	актуализиращ	актуализираща	актуализиращо	актуализиращи	актуализиран	актуализирана	актуализирано	актуализирани	актуализиране	актуализиранета
актьорствам	-	-	-	-	-	-	актьорствах	актьорства	актьорства	актьорствахме	актьорствахте	актьорстваха	актьорствах	актьорстваше	актьорстваше	актьорствахме	актьорствахте	актьорстваха	актьорстваи	актьорстваите	актьорстваики	актьорствал	актьорствала	актьорствало	актьорствали	актьорствал	актьорствала	актьорствало	актьорствали	актьорстващ	актьорстваща	актьорстващо	актьорстващи	-	-	-	-	актьорстване	актьорстванета
актьорствувам	-	-	-	-	-	-	актьорствувах	актьорствува	актьорствува	актьорствувахме	актьорствувахте	актьорствуваха	актьорствувах	актьорствуваше	актьорствуваше	актьорствувахме	актьорствувахте	актьорствуваха	актьорствуваи	актьорствуваите	актьорствуваики	актьорствувал	актьорствувала	актьорствувало	актьорствували	актьорствувал	актьорствувала	актьорствувало	актьорствували	актьорствуващ	актьорствуваща	актьорствуващо	актьорствуващи	-	-	-	-	актьорствуване	актьорствуванета
акумулирам	-	-	-	-	-	-	акумулирах	акумулира	акумулира	акумулирахме	акумулирахте	акумулираха	акумулирах	акумулираше	акумулираше	акумулирахме	акумулирахте	акумулираха	акумулираи	акумулираите	акумулираики	акумулирал	акумулирала	акумулирало	акумулирали	акумулирал	акумулирала	акумулирало	акумулирали	акумулиращ	акумулираща	акумулиращо	акумулиращи	акумулиран	акумулирана	акумулирано	акумулирани	акумулиране	акумулиранета
акушерствам	-	-	-	-	-	-	акушерствах	акушерства	акушерства	акушерствахме	акушерствахте	акушерстваха	акушерствах	акушерстваше	акушерстваше	акушерствахме	акушерствахте	акушерстваха	акушерстваи	акушерстваите	акушерстваики	акушерствал	акушерствала	акушерствало	акушерствали	акушерствал	акушерствала	акушерствало	акушерствали	акушерстващ	акушерстваща	акушерстващо	акушерстващи	-	-	-	-	акушерстване	акушерстванета
акушерствувам	-	-	-	-	-	-	акушерствувах	акушерствува	акушерствува	акушерствувахме	акушерствувахте	акушерствуваха	акушерствувах	акушерствуваше	акушерствуваше	акушерствувахме	акушерствувахте	акушерствуваха	акушерствуваи	акушерствуваите	акушерствуваики	акушерствувал	акушерствувала	акушерствувало	акушерствували	акушерствувал	акушерствувала	акушерствувало	акушерствували	акушерствуващ	акушерствуваща	акушерствуващо	акушерствуващи	-	-	-	-	акушерствуване	акушерствуванета
акуширам	-	-	-	-	-	-	акуширах	акушира	акушира	акуширахме	акуширахте	акушираха	акуширах	акушираше	акушираше	акуширахме	акуширахте	акушираха	акушираи	акушираите	акушираики	акуширал	акуширала	акуширало	акуширали	акуширал	акуширала	акуширало	акуширали	акуширащ	акушираща	акуширащо	акуширащи	акуширан	акуширана	акуширано	акуширани	акуширане	акуширанета
акцентирам	-	-	-	-	-	-	акцентирах	акцентира	акцентира	акцентирахме	акцентирахте	акцентираха	акцентирах	акцентираше	акцентираше	акцентирахме	акцентирахте	акцентираха	акцентираи	акцентираите	акцентираики	акцентирал	акцентирала	акцентирало	акцентирали	акцентирал	акцентирала	акцентирало	акцентирали	акцентиращ	акцентираща	акцентиращо	акцентиращи	акцентиран	акцентирана	акцентирано	акцентирани	акцентиране	акцентиранета
акцентувам	-	-	-	-	-	-	акцентувах	акцентува	акцентува	акцентувахме	акцентувахте	акцентуваха	акцентувах	акцентуваше	акцентуваше	акцентувахме	акцентувахте	акцентуваха	акцентуваи	акцентуваите	акцентуваики	акцентувал	акцентувала	акцентувало	акцентували	акцентувал	акцентувала	акцентувало	акцентували	акцентуващ	акцентуваща	акцентуващо	акцентуващи	акцентуван	акцентувана	акцентувано	акцентувани	акцентуване	акцентуванета
алармирам	-	-	-	-	-	-	алармирах	алармира	алармира	алармирахме	алармирахте	алармираха	алармирах	алармираше	алармираше	алармирахме	алармирахте	алармираха	алармираи	алармираите	алармираики	алармирал	алармирала	алармирало	алармирали	алармирал	алармирала	алармирало	алармирали	алармиращ	алармираща	алармиращо	алармиращи	алармиран	алармирана	алармирано	алармирани	алармиране	алармиранета
алащисвам	-	-	-	-	-	-	алащисвах	алащисва	алащисва	алащисвахме	алащисвахте	алащисваха	алащисвах	алащисваше	алащисваше	алащисвахме	алащисвахте	алащисваха	алащисваи	алащисваите	алащисваики	алащисвал	алащисвала	алащисвало	алащисвали	алащисвал	алащисвала	алащисвало	алащисвали	алащисващ	алащисваща	алащисващо	алащисващи	-	-	-	-	алащисване	алащисванета
алея	алея	алееш	алее	алеем	алеете	алеят	алеях	алея	алея	алеяхме	алеяхте	алеяха	алеех	алееше	алееше	алеехме	алеехте	алееха	алеи	алеите	алееики	алеял	алеяла	алеяло	алеяли	алеел	алеела	алеело	алеели	алеещ	алееща	алеещо	алеещи	алеян	алеяна	алеяно	алеяни	алеене	алеенета
амалгамирам	-	-	-	-	-	-	амалгамирах	амалгамира	амалгамира	амалгамирахме	амалгамирахте	амалгамираха	амалгамирах	амалгамираше	амалгамираше	амалгамирахме	амалгамирахте	амалгамираха	амалгамираи	амалгамираите	амалгамираики	амалгамирал	амалгамирала	амалгамирало	амалгамирали	амалгамирал	амалгамирала	амалгамирало	амалгамирали	амалгамиращ	амалгамираща	амалгамиращо	амалгамиращи	амалгамиран	амалгамирана	амалгамирано	амалгамирани	амалгамиране	амалгамиранета
амортизирам	-	-	-	-	-	-	амортизирах	амортизира	амортизира	амортизирахме	амортизирахте	амортизираха	амортизирах	амортизираше	амортизираше	амортизирахме	амортизирахте	амортизираха	амортизираи	амортизираите	амортизираики	амортизирал	амортизирала	амортизирало	амортизирали	амортизирал	амортизирала	амортизирало	амортизирали	амортизиращ	амортизираща	амортизиращо	амортизиращи	амортизиран	амортизирана	амортизирано	амортизирани	амортизиране	амортизиранета
анализирам	-	-	-	-	-	-	анализирах	анализира	анализира	анализирахме	анализирахте	анализираха	анализирах	анализираше	анализираше	анализирахме	анализирахте	анализираха	анализираи	анализираите	анализираики	анализирал	анализирала	анализирало	анализирали	анализирал	анализирала	анализирало	анализирали	анализиращ	анализираща	анализиращо	анализиращи	анализиран	анализирана	анализирано	анализирани	анализиране	анализиранета
анатемосам	-	-	-	-	-	-	анатемосах	анатемоса	анатемоса	анатемосахме	анатемосахте	анатемосаха	анатемосах	анатемосаше	анатемосаше	анатемосахме	анатемосахте	анатемосаха	анатемосай	анатемосайте	-	анатемосал	анатемосала	анатемосало	анатемосали	анатемосал	анатемосала	анатемосало	анатемосали	-	-	-	-	анатемосан	анатемосана	анатемосано	анатемосани	-	-
анатемосвам	-	-	-	-	-	-	анатемосвах	анатемосва	анатемосва	анатемосвахме	анатемосвахте	анатемосваха	анатемосвах	анатемосваше	анатемосваше	анатемосвахме	анатемосвахте	анатемосваха	анатемосвай	анатемосвайте	анатемосвайки	анатемосвал	анатемосвала	анатемосвало	анатемосвали	анатемосвал	анатемосвала	анатемосвало	анатемосвали	анатемосващ	анатемосваща	анатемосващо	анатемосващи	анатемосван	анатемосвана	анатемосвано	анатемосвани	анатемосване	анатемосвания-нета
ангажирам	-	-	-	-	-	-	ангажирах	ангажира	ангажира	ангажирахме	ангажирахте	ангажираха	ангажирах	ангажираше	ангажираше	ангажирахме	ангажирахте	ангажираха	ангажираи	ангажираите	ангажираики	ангажирал	ангажирала	ангажирало	ангажирали	ангажирал	ангажирала	ангажирало	ангажирали	ангажиращ	ангажираща	ангажиращо	ангажиращи	ангажиран	ангажирана	ангажирано	ангажирани	ангажиране	ангажиранета
анулирам	-	-	-	-	-	-	анулирах	анулира	анулира	анулирахме	анулирахте	анулираха	анулирах	анулираше	анулираше	анулирахме	анулирахте	анулираха	анулирай	анулирайте	анулирайки	анулирал	анулирала	анулирало	анулирали	анулирал	анулирала	анулирало	анулирали	анулиращ	анулираща	анулиращо	анулиращи	анулиран	анулирана	анулирано	анулирани	анулиране	анулирания-нета
аплодирам	-	-	-	-	-	-	аплодирах	аплодира	аплодира	аплодирахме	аплодирахте	аплодираха	аплодирах	аплодираше	аплодираше	аплодирахме	аплодирахте	аплодираха	аплодирай	аплодирайте	аплодирайки	аплодирал	аплодирала	аплодирало	аплодирали	аплодирал	аплодирала	аплодирало	аплодирали	аплодиращ	аплодираща	аплодиращо	аплодиращи	аплодиран	аплодирана	аплодирано	аплодирани	аплодиране	аплодирания-нета
