# lemma(infinitive)	V;NFIN	V;IND;PRS;1;SG	V;IND;PRS;2;SG	V;IND;PRS;3;SG	V;IND;PRS;3	V;IND;PST;1;SG	V;IND;PST;2;SG	V;IND;PST;3;SG	V;IND;PST;3	V;IMP;2;SG	V;IMP;2;PL	V.CVB	V.PTCP.PRS	V.PTCP.PST  ("-" = productive default)
gloyma	-	-	gloymir	gloymir	-	gloymdi	gloymdi	gloymdi	gloymdu	-	-	gloymt	-	gloymdur
glymja	-	-	glymur	glymur	-	glumdi	glumdi	glumdi	glumdu	-	glymið	glumt	-	glumdur
glymur	glymja	glymi	glymur	glymur	glymja	glumdi	glumdi	glumdi	glumdu	glym	glymið	glumt	glymjandi	glumdur
glíða	-	-	glíður	glíður	-	gleið	gleiðst	gleið	gliðu	-	-	gliðið	-	gliðin
glógva	-	-	-	-	-	-	-	-	-	glógva	-	-	-	-
gløa	-	-	gløir	gløir	-	gløddi	gløddi	gløddi	gløddu	-	-	gløtt	-	gløddur
gløða	-	-	gløðir	gløðir	-	gløddi	gløddi	gløddi	gløddu	-	-	gløtt	-	gløddur
gneggja	-	gneggji	-	-	-	-	-	-	-	gneggja	-	-	-	-
gníggja	-	gníggji	-	-	-	-	-	-	-	gníggja	-	-	-	-
gongur	ganga	gangi	gongur	gongur	ganga	gekk	gekst	gekk	gingu	gakk	gangið	gingið	gangandi	gingin
goyggja	-	-	goyrt	goyr	-	goyði	goyði	goyði	goyðu	goyggj	goyggið	goyð	-	-
goyma	-	-	goymir	goymir	-	goymdi	goymdi	goymdi	goymdu	-	-	goymt	-	goymdur
gramla	-	-	-	-	-	-	-	-	-	gramla	-	-	-	-
grava	-	-	grevur	grevur	-	gróv	gróvst	gróv	gróvu	-	-	grivið	-	grivin
greiða	-	-	greiðir	greiðir	-	greiddi	greiddi	greiddi	greiddu	-	-	greitt	-	greiddur
grenja	-	grenji	-	-	-	-	-	-	-	grenja	-	-	-	-
gráta	-	-	grætur	grætur	-	græt	grætst	græt	grótu	-	-	grátið	-	grátin
grætur	gráta	gráti	grætur	grætur	gráta	græt	grætst	græt	grótu	grát	grátið	grátið	grátandi	grátin
grína	-	-	grínur	grínur	-	grein	greinst	grein	grinu	-	-	grinið	-	grinin
grógva	-	-	grørt	grør	-	gróði	gróði	gróði	gróðu	-	-	gróð	-	grógvin
gylla	-	-	gyllir	gyllir	-	gylti	gylti	gylti	gyltu	-	-	gylt	-	gyltur
gyllir	gylla	gylli	gyllir	gyllir	gylla	gylti	gylti	gylti	gyltu	gyll	gyllið	gylt	gyllandi	gyltur
gálva	-	-	-	-	-	-	-	-	-	gálva	-	-	-	-
góvu	geva	gevi	gevur	gevur	geva	gav	gavst	gav	góvu	gev	gevið	givið	gevandi	givin
halda	-	-	heldur	heldur	-	helt	heltst	helt	hildu	-	-	hildið	-	hildin
hanga	-	-	hongur	hongur	-	hekk	hekst	hekk	hingu	-	-	hingið	-	hingin
harðna	-	-	-	-	-	-	-	-	-	harðna	-	-	-	-
hata	-	-	-	-	-	-	-	-	-	hata	-	-	-	-
hava	-	-	hevur	hevur	-	hevði	hevði	hevði	høvdu	-	-	havt	-	havdur
heimta	-	-	-	-	-	-	-	-	-	heimta	-	-	-	-
heingja	-	-	heingir	heingir	-	hongdi	hongdi	hongdi	hongdu	heingj	-	hongt	-	hongdur
heinta	-	-	-	-	-	-	-	-	-	heinta	-	-	-	-
heiðra	-	-	-	-	-	-	-	-	-	heiðra	-	-	-	-
herja	-	herji	-	-	-	-	-	-	-	herja	-	-	-	-
hevja	-	hevji	-	-	-	-	-	-	-	hevja	-	-	-	-
hevur	hava	havi	hevur	hevur	hava	hevði	hevði	hevði	høvdu	hav	havið	havt	havandi	havdur
heysta	-	-	-	-	-	-	-	-	-	heysta	-	-	-	-
hildið	halda	haldi	heldur	heldur	halda	helt	heltst	helt	hildu	hald	haldið	hildið	haldandi	hildin
hitta	-	-	hittir	hittir	-	hitti	hitti	hitti	hittu	-	-	hitt	-	hittur
hjálpa	-	-	hjálpir	hjálpir	-	hjálpti	hjálpti	hjálpti	hjálptu	-	-	hjálpt	-	hjálptur
hoyggja	-	hoyggji	-	-	-	-	-	-	-	hoyggja	-	-	-	-
hoyra	-	-	hoyrir	hoyrir	-	hoyrdi	hoyrdi	hoyrdi	hoyrdu	-	-	hoyrt	-	hoyrdur
hoyrdi	hoyra	hoyri	hoyrir	hoyrir	hoyra	hoyrdi	hoyrdi	hoyrdi	hoyrdu	hoyr	hoyrið	hoyrt	hoyrandi	hoyrdur
hugna	-	-	-	-	-	-	-	-	-	hugna	-	-	-	-
hugsa	-	-	-	-	-	-	-	-	-	hugsa	-	-	-	-
hvína	-	-	hvínur	hvínur	-	hvein	hveinst	hvein	hvinu	-	-	hvinið	-	hvinin
hvørva	-	-	hvørvur	hvørvur	-	hvarv	hvarvst	hvarv	hvurvu	-	-	horvið	-	horvin
hyggja	-	-	hyggur	hyggur	-	hugdi	hugdi	hugdi	hugdu	-	hyggið	hugt	-	hugdur
hylja	-	-	hylur	hylur	-	huldi	huldi	huldi	huldu	-	hylið	hult	-	huldur
hækka	-	-	-	-	-	-	-	-	-	hækka	-	-	-	-
hóma	-	-	-	-	-	-	-	-	-	hóma	-	-	-	-
hóska	-	-	-	-	-	-	-	-	-	hóska	-	-	-	-
hótta	-	-	hóttir	hóttir	-	hótti	hótti	hótti	hóttu	-	-	hótt	-	hóttur
høvdu	hava	havi	hevur	hevur	hava	hevði	hevði	hevði	høvdu	hav	havið	havt	havandi	havdur
húka	-	-	hýkur	hýkur	-	heyk	heykst	heyk	huku	-	-	hokið	-	hokin
húsa	-	-	-	-	-	-	-	-	-	húsa	-	-	-	-
illa	-	-	-	-	-	-	-	-	-	illa	-	-	-	-
jaga	-	-	-	-	-	-	-	-	-	jaga	-	-	-	-
jarma	-	-	-	-	-	-	-	-	-	jarma	-	-	-	-
jarða	-	-	-	-	-	-	-	-	-	jarða	-	-	-	-
játta	-	-	-	-	-	-	-	-	-	játta	-	-	-	-
kalla	-	-	-	-	-	-	-	-	-	kalla	-	-	-	-
kasta	-	-	-	-	-	-	-	-	-	kasta	-	-	-	-
kava	-	-	-	-	-	-	-	-	-	kava	-	-	-	-
kemba	-	-	kembir	kembir	-	kembdi	kembdi	kembdi	kembdu	-	-	kembt	-	kembdur
kemur	koma	komi	kemur	kemur	koma	kom	komst	kom	komu	kom	komið	komið	komandi	komin
kenna	-	-	kennir	kennir	-	kendi	kendi	kendi	kendu	kenna	-	kent	-	kendur
keypa	-	-	keypir	keypir	-	keypti	keypti	keypti	keyptu	-	-	keypt	-	keyptur
kjakast	kjakast	kjakist	kjakast	kjakast	kjakast	kjakaðist	kjakaðist	kjakaðist	kjakaðust	-	-	kjakast	-	-
kjósa	-	-	kýsur	kýsur	-	keys	keyst	keys	kusu	-	-	kosið	-	kosin
klaga	-	-	-	-	-	-	-	-	-	klaga	-	-	-	-
klemma	-	-	-	-	-	-	-	-	-	klemma	-	-	-	-
klippa	-	-	klippir	klippir	-	klipti	klipti	klipti	kliptu	-	-	klipt	-	kliptur
klára	-	-	-	-	-	-	-	-	-	klára	-	-	-	-
klæða	-	-	klæðir	klæðir	-	klæddi	klæddi	klæddi	klæddu	-	-	klætt	-	klæddur
klíva	-	-	klívur	klívur	-	kleiv	kleivst	kleiv	klivu	-	-	klivið	-	klivin
klúgva	-	-	klývur	klývur	-	kleyv	kleyvst	kleyv	kluvu	klúg	klúgið	klovið	-	klovin
knasa	-	-	-	-	-	-	-	-	-	knasa	-	-	-	-
komi	koma	komi	kemur	kemur	koma	kom	komst	kom	komu	kom	komið	komið	komandi	komin
komið	koma	komi	kemur	kemur	koma	kom	komst	kom	komu	kom	komið	komið	komandi	komin
komst	koma	komi	kemur	kemur	koma	kom	komst	kom	komu	kom	komið	komið	komandi	komin
kosta	-	-	-	-	-	-	-	-	-	kosta	-	-	-	-
koyra	-	-	koyrir	koyrir	-	koyrdi	koyrdi	koyrdi	koyrdu	-	-	koyrt	-	koyrdur
krevja	-	krevji	krevur	krevur	-	kravdi	kravdi	kravdi	kravdu	-	-	kravt	-	kravdur
krúpa	-	-	krýpur	krýpur	-	kreyp	kreypst	kreyp	krupu	-	-	kropið	-	kropin
kukka	-	-	-	-	-	-	-	-	-	kukka	-	-	-	-
kunna	-	kann	kanst	kann	kunnu	kundi	kundi	kundi	kundu	-	-	-	-	-
kvað	kvøða	kvøði	kvøður	kvøður	kvøða	kvað	kvaðst	kvað	kvóðu	kvøð	kvøðið	kvøðið	kvøðandi	kvøðin
kvika	-	-	-	-	-	-	-	-	-	kvika	-	-	-	-
kvøða	-	-	kvøður	kvøður	-	kvað	kvaðst	kvað	kvóðu	-	-	kvøðið	-	kvøðin
kyssa	-	-	kyssir	kyssir	-	kysti	kysti	kysti	kystu	-	-	kyst	-	kystur
kína	-	-	kínir	kínir	-	kíndi	kíndi	kíndi	kíndu	-	-	kínt	-	kíndur
kóka	-	-	-	-	-	-	-	-	-	kóka	-	-	-	-
kólna	-	-	-	-	-	-	-	-	-	kólna	-	-	-	-
laga	-	-	-	-	-	-	-	-	-	laga	-	-	-	-
lagt	leggja	leggi	leggur	leggur	leggja	legði	legði	legði	løgdu	leggj	leggjið	lagt	leggjandi	lagdur
las	lesa	lesi	lesur	lesur	lesa	las	last	las	lósu	les	lesið	lisið	lesandi	lisin
lata	-	-	letur	letur	-	læt	lætst	læt	lótu	-	-	latið	-	latin
leggja	-	-	leggur	leggur	-	legði	legði	legði	løgdu	leggj	-	lagt	-	lagdur
legði	leggja	leggi	leggur	leggur	leggja	legði	legði	legði	løgdu	leggj	leggjið	lagt	leggjandi	lagdur
leiga	-	-	-	-	-	-	-	-	-	leiga	-	-	-	-
leika	-	-	-	-	-	leikti	leikti	leikti	leiktu	leika	-	-	-	leiktur
leka	-	-	lekur	lekur	-	lak	lakst	lak	lóku	-	-	likið	-	likin
lemja	-	lemji	lemur	lemur	-	lamdi	lamdi	lamdi	lamdu	-	-	lamt	-	lamdur
lenda	-	-	lendir	lendir	-	lendi	lendi	lendi	lendu	-	-	lent	-	lendur
lesa	-	-	lesur	lesur	-	las	last	las	lósu	-	-	lisið	-	lisin
leypa	-	-	loypur	loypur	-	leyp	leypst	leyp	lupu	-	-	lopið	-	lopin
liggja	-	-	liggur	liggur	-	lá	lást	lá	lógu	-	liggið	ligið	-	ligin
liva	-	-	livir	livir	-	livdi	livdi	livdi	livdu	liva	-	-	-	-
ljóða	-	-	-	-	-	-	-	-	-	ljóða	-	-	-	-
loga	-	-	-	-	-	-	-	-	-	loga	-	-	-	-
lova	-	-	-	-	-	-	-	-	-	lova	-	-	-	-
loyna	-	-	loynir	loynir	-	loyndi	loyndi	loyndi	loyndu	-	-	loynt	-	loyndur
loypa	-	-	loypir	loypir	-	loypti	loypti	loypti	loyptu	-	-	loypt	-	loyptur
loysa	-	-	loysir	loysir	-	loysti	loysti	loysti	loystu	-	-	loyst	-	loystur
loyva	-	-	loyvir	loyvir	-	loyvdi	loyvdi	loyvdi	loyvdu	-	-	loyvt	-	loyvdur
lurta	-	-	-	-	-	-	-	-	-	lurta	-	-	-	-
luttaka	-	-	luttekur	luttekur	-	luttók	luttókst	luttók	luttóku	-	-	luttikið	-	luttikin
lysta	-	-	lystir	lystir	-	lysti	lysti	lysti	lystu	-	-	lyst	-	lystur
lá	liggja	liggi	liggur	liggur	liggja	lá	lást	lá	lógu	ligg	liggið	ligið	liggjandi	ligin
láta	-	-	letur	letur	-	læt	lætst	læt	lótu	-	-	látið	-	látin
læa	-	-	lær	lær	-	læði	læði	læði	læðu	-	-	læið	-	læin
læna	-	-	lænir	lænir	-	lænti	lænti	lænti	læntu	-	-	lænt	-	læntur
læsa	-	-	læsir	læsir	-	læsti	læsti	læsti	læstu	-	-	læst	-	læstur
lætna	-	-	-	-	-	-	-	-	-	lætna	-	-	-	-
líggja	-	líggji	-	-	-	-	-	-	-	líggja	-	-	-	-
líkjast	líkjast	líkist	líkist	líkist	líkjast	líktist	líktist	líktist	líktust	-	-	líkst	-	-
líkna	-	-	-	-	-	-	-	-	-	líkna	-	-	-	-
líva	-	-	lívir	lívir	-	lívdi	lívdi	lívdi	lívdu	-	-	lívt	-	lívdur
lívga	-	-	-	-	-	-	-	-	-	lívga	-	-	-	-
líða	-	-	líður	líður	-	leið	leiðst	leið	liðu	-	-	liðið	-	liðin
løgdu	leggja	leggi	leggur	leggur	leggja	legði	legði	legði	løgdu	leggj	leggjið	lagt	leggjandi	lagdur
løna	-	-	lønir	lønir	-	lønti	lønti	lønti	løntu	-	-	lønt	-	løntur
løða	-	-	løðir	løðir	-	løddi	løddi	løddi	løddu	-	-	løtt	-	løddur
lúka	-	-	lýkur	lýkur	-	leyk	leykst	leyk	luku	-	-	lokið	-	lokin
lýsa	-	-	lýsir	lýsir	-	lýsti	lýsti	lýsti	lýstu	-	-	lýst	-	lýstur
lýða	-	-	lýðir	lýðir	-	lýddi	lýddi	lýddi	lýddu	-	-	lýtt	-	lýddur
mala	-	-	melur	melur	-	mól	mólst	mól	mólu	-	-	malið	-	malin
man	munna	man	manst	man	munnu	mundi	mundi	mundi	mundu	-	-	munnað	-	-
mega	-	má	mást	má	mugu	mátti	mátti	mátti	máttu	-	-	-	-	-
melda	-	-	-	-	-	-	-	-	-	melda	-	-	-	-
merja	-	merji	merjir	merjir	-	mardi	mardi	mardi	mardu	merj	-	mart	-	mardur
merkja	-	-	merkir	merkir	-	merkti	merkti	merkti	merktu	-	merkið	merkt	-	merktur
merkt	merkja	merki	merkir	merkir	merkja	merkti	merkti	merkti	merktu	merk	merkið	merkt	merkjandi	merktur
meta	-	-	metir	metir	-	metti	metti	metti	mettu	-	-	mett	-	mettur
