# Tagalog verb lexicon: the lexical affix class of each root,
# plus stored overrides for irregular stems. Mined by
# scripts/tgl/mine_verbs.py from the UniMorph paradigm and the
# UniMorph n kaikki agreement. See docs/tgl/oracles.md.
# root	actor	patient	h	pfv_ag	ipfv_ag	cont_ag	pfv_pf	ipfv_pf	cont_pf
búkas	um	in	1	-	-	-	-	-	-
búsog	ma	in	1	-	-	-	-	-	-
daan	um	an	1	-	-	-	-	-	-
dagdag	mag	an	1	-	-	-	-	-	-
dala	mag	in	1	-	-	-	-	-	-
dalaw	um	in	1	-	-	-	-	-	-
dali'	um	in	1	-	-	-	-	-	-
dalo	um	an	1	-	-	-	-	-	-
dalá	mag	in	1	-	-	-	-	-	-
dama	um	in	1	-	-	-	-	-	-
damdám	mag	in	1	-	-	-	-	-	-
dampot	um	in	1	-	-	-	-	-	-
dasal	mag	in	1	-	-	-	-	-	-
dating	um	in	1	-	-	-	-	-	-
dating rating	um	in	1	-	-	-	-	-	-
daya'	mang	in	1	-	-	-	-	-	-
dighay	um	in	1	-	-	-	-	-	-
dilig	mag	an	1	-	-	-	-	-	-
dusa	mag	in	1	-	-	-	-	-	-
dínig	um	in	1	-	-	-	-	-	-
galing	mang	in	1	-	-	-	-	-	-
galit	mang	in	1	-	-	-	-	-	-
gamit	um	in	1	-	-	-	-	-	-
gamot	um	in	1	-	-	-	-	-	-
ganda	um	in	1	-	-	-	-	-	-
garahe	mag	i	1	-	-	-	-	-	-
gawá'	um	in	1	-	-	-	-	-	-
gayat	mag	in	1	-	-	-	-	-	-
gibá'	mag	in	1	-	-	-	-	-	-
guhit	mag	in	1	-	-	-	-	-	-
gulong	um	in	1	-	-	-	-	-	-
gupit	mag	in	1	-	-	-	-	-	-
gusto	um	in	1	-	-	-	-	-	-
gáling	um	i	1	-	-	-	-	-	-
gáwa'	um	in	1	-	-	-	-	-	-
habla	mag	in	1	-	-	-	-	-	-
hagod	mag	in	1	-	-	-	-	-	-
hanap	um	in	1	-	-	-	-	-	-
handá'	um	in	1	-	-	-	-	-	-
hatid	mag	in	1	-	-	-	-	-	-
hatí'	mag	in	1	-	-	-	-	-	-
hatíd	mag	in	1	-	-	-	-	-	-
hawak	um	an	1	-	-	-	-	-	-
higa'	um	in	1	-	-	-	-	-	-
higpit	mag	an	1	-	-	-	-	-	-
hikab	mag	an	1	-	-	-	-	-	-
hila	mag	in	1	-	-	-	-	-	-
hindí'	um	an	1	-	-	-	-	-	-
hinga	um	in	1	-	-	-	-	-	-
hingí'	um	in	1	-	-	-	-	-	-
hintay	mag	in	1	-	-	-	-	-	-
hinto'	um	in	1	-	-	-	-	-	-
hiram	um	in	1	-	-	-	-	-	-
hirap	mag	in	1	-	-	-	-	-	-
hiwa'	mag	in	1	-	-	-	-	-	-
hubad	mag	in	1	-	-	-	-	-	-
hugas	mag	an	1	-	-	-	-	-	-
huli	um	in	1	-	-	-	-	-	-
hulog	mag	in	1	-	-	-	-	-	-
huni	um	an	1	-	-	-	-	-	-
hálik	um	an	1	-	-	-	-	-	-
hárap	um	in	1	-	-	-	-	-	-
hílo	ma	in	1	-	-	-	-	-	-
ibig	um	in	1	-	-	-	-	-	-
ilaw	um	an	1	-	-	-	-	-	-
imbento	mag	in	1	-	-	-	-	-	-
imbita	mag	in	1	-	-	-	-	-	-
ingat	mag	an	1	-	-	-	-	-	-
ingay	mag	an	1	-	-	-	-	-	-
inis	um	in	1	nainis	naiinis	maiinis	-	-	-
init	mag	in	1	-	-	-	-	-	-
inom	um	in	1	-	-	-	-	-	-
intindi	um	in	1	-	-	-	-	-	-
ipon	mag	in	1	-	-	-	-	-	-
isdá'	um	in	1	-	-	-	-	-	-
isip	mag	in	1	-	-	-	-	-	-
iyak	um	an	1	-	-	-	-	-	-
kabit	mag	in	1	-	-	-	-	-	ikakabit
kagat	um	in	1	-	-	-	-	-	-
kailangan	um	in	1	-	-	-	-	-	-
kain	um	in	1	-	-	-	-	-	-
kamay	mag	in	1	-	-	-	-	-	-
kamit	ma	in	1	-	-	-	-	-	-
kanta	um	in	1	-	-	-	-	-	-
kasal	um	in	1	nagpakasal	nagpapakasal	magpapakasal	-	-	-
katay	mag	in	1	-	-	-	-	-	-
kilala	um	in	1	-	-	-	-	-	-
kinig	ma	in	1	-	-	-	-	-	-
kipkip	mag	in	1	-	-	-	-	-	-
kita	um	in	1	nagpakita	-	-	ipinakita	ipinapakita	ipapakita
kopya	um	in	1	-	-	-	-	-	-
kuha	um	in	0	-	-	-	-	-	-
kuha'	um	in	1	-	-	-	-	-	-
kuhá'	um	in	1	-	-	-	-	-	-
kumusta	um	in	1	-	-	-	-	-	-
kusot	mag	in	1	-	-	-	-	-	-
kátok	um	in	1	-	-	-	-	-	-
kíta	mag	in	1	-	-	-	-	-	-
labag	um	in	1	-	-	-	-	-	-
laban	um	an	1	-	-	-	-	-	-
labas	um	in	1	-	-	-	-	-	-
labá	mag	in	1	-	-	-	-	-	-
laga	mag	i	1	-	-	-	-	-	-
lagay	mag	i	1	-	-	-	-	-	-
lagnat	um	in	1	-	-	-	-	-	-
lakad	mag	in	1	-	-	-	-	-	-
lakbay	mag	in	1	-	-	-	-	-	-
laki	um	an	1	-	-	-	-	-	-
lapit	um	an	1	-	-	-	-	-	-
laró'	mag	in	1	-	-	-	-	-	-
layas	um	in	1	-	-	-	-	-	-
layó'	um	in	1	-	-	-	-	-	-
liban	um	an	1	-	-	-	-	-	-
libang	mag	in	1	-	-	-	-	-	-
ligaw	um	an	1	-	-	-	-	-	-
limot	um	in	1	-	-	-	-	-	-
linis	um	in	1	-	-	-	-	-	-
linlang	mang	in	1	-	-	-	-	-	-
lipad	um	in	1	-	-	-	-	-	-
lipat	um	an	1	-	-	-	-	-	-
loko	um	in	1	-	-	-	-	-	-
lubog	um	i	1	-	-	-	-	-	-
lungkot	ma	in	1	-	-	-	-	-	-
lunok	um	in	1	-	-	-	-	-	-
lusob	um	in	1	-	-	-	-	-	-
lutó'	mag	in	1	-	-	-	-	-	-
lábas	um	an	1	-	-	-	-	-	-
lágay	mag	i	1	-	-	-	-	-	-
lípad	um	in	1	-	-	-	-	-	-
líto	ma	in	1	-	-	-	-	-	-
mahal	mag	in	1	-	-	-	-	-	-
makinilya	mag	in	1	-	-	-	-	-	-
maneho	mag	in	0	-	-	-	-	-	-
mangha'	ma	in	1	-	-	-	-	-	-
masahe	mag	in	1	-	-	-	-	-	-
muhí'	ma	in	1	-	-	-	-	-	-
másid	mag	in	1	-	-	-	-	-	-
nakaw	mag	in	1	-	-	-	-	-	-
ngiti	um	in	1	-	-	-	-	-	-
niwala	ma	in	1	-	-	-	-	-	-
nood	ma	in	1	-	-	-	-	-	-
okupá	mag	in	1	-	-	-	-	-	-
oo	um	in	1	-	-	-	-	-	-
order	mag	in	1	-	-	-	-	-	-
paalam	mag	in	1	-	-	-	-	-	-
pahinga	mag	in	1	-	-	-	-	-	-
palakpak	um	an	1	-	-	-	-	-	-
palengke	um	in	1	-	-	-	-	-	-
palit	mag	an	1	-	-	-	-	-	-
panalo	um	in	1	-	-	-	-	-	-
pangako'	um	i	1	-	-	-	-	-	-
pansin	ma	in	1	-	-	-	-	-	-
parada	um	i	1	-	-	-	-	-	-
pasa	mag	i	1	-	-	-	-	-	-
pasan	mag	in	1	-	-	-	-	-	-
pasok	um	in	1	-	-	-	-	-	-
pasyal	um	an	1	-	-	-	-	-	-
patay	mag	in	1	-	-	-	-	-	-
patuloy	mag	in	1	-	-	-	-	-	-
pigil	mag	in	1	-	-	-	-	-	-
pili'	um	in	1	-	-	-	-	-	-
pinta	mag	i	1	-	-	-	-	-	-
pirma	um	an	1	-	-	-	-	-	-
plantsa	mag	in	1	-	-	-	-	-	-
promote	um	in	1	-	-	-	-	-	-
pugot	mag	in	1	-	-	-	-	-	-
pukpok	um	in	1	-	-	-	-	-	-
punas	mag	an	1	-	-	-	-	-	-
punit	um	in	1	-	-	-	-	-	-
punta	um	an	1	-	-	-	-	-	-
puntá	um	in	1	-	-	-	-	-	-
punó'	mag	in	1	-	-	-	-	-	-
pátay	um	in	1	-	-	-	-	-	-
púnit	um	in	1	-	-	-	-	-	-
púno'	ma	in	1	-	-	-	-	-	-
pútol	um	in	1	-	-	-	-	-	-
regalo	mag	an	1	-	-	-	-	-	-
renta	mag	in	1	-	-	-	-	-	-
sabi	mag	in	1	-	-	-	-	-	-
sagot	um	in	1	-	-	-	-	-	-
sakay	um	in	1	-	-	-	-	-	-
saká	mag	in	1	-	-	-	-	-	-
sali	um	in	1	-	-	-	-	-	-
salita'	mag	in	1	-	-	-	-	-	-
saló	um	in	1	-	-	-	-	-	-
sama	um	an	1	-	-	-	-	-	-
samba	mag	in	1	-	-	-	-	-	-
sampay	mag	in	1	-	-	-	-	-	-
samá'	um	in	1	-	-	-	-	-	-
sanlá'	mag	in	1	-	-	-	-	-	-
sara	mag	in	1	-	-	-	-	-	isasara
sará	mag	in	1	-	-	-	-	-	-
sauli'	mag	i	1	-	-	-	-	-	-
sayaw	um	in	1	-	-	-	-	-	-
sayá	um	in	1	-	-	-	-	-	-
senyas	um	an	1	-	-	-	-	-	-
sibak	mag	in	1	-	-	-	-	-	-
siesta	mag	in	1	-	-	-	-	-	-
sigaw	um	an	1	-	-	-	-	-	-
silip	um	in	1	-	-	-	-	-	-
simangot	um	an	1	-	-	-	-	-	-
sinungaling	um	in	1	-	-	-	-	-	-
sipilyo	mag	in	1	-	-	-	-	-	-
sipol	um	an	1	-	-	-	-	-	-
sirá'	um	in	1	-	-	-	-	-	-
subo'	mag	in	1	-	-	-	-	-	-
subok	um	in	1	-	-	-	-	-	-
sugal	mag	in	1	-	-	-	-	-	-
sukat	mag	in	1	-	-	-	-	-	-
suklam	ma	i	1	-	-	-	-	-	-
suklay	mag	in	1	-	-	-	-	-	-
sukó'	um	i	1	-	-	-	-	-	-
sulat	um	an	1	-	-	-	-	-	-
sulit	mag	in	1	-	-	-	-	-	-
sulong	um	in	1	-	-	-	-	-	-
sumbong	mag	i	1	-	-	-	-	-	-
sundó'	mag	in	1	-	-	-	-	-	-
sunog	mag	in	1	-	-	-	-	-	-
sunong	mag	in	1	-	-	-	-	-	-
suntok	um	in	1	-	-	-	-	-	-
suot	mag	in	1	-	-	-	-	-	-
suri'	mag	in	1	-	-	-	-	-	-
surí'	mag	in	1	-	-	-	-	-	-
suway	um	in	1	-	-	-	-	-	-
suót	um	an	1	-	-	-	-	-	-
sákit	um	in	1	-	-	-	-	-	-
sáma	mag	i	1	-	-	-	-	-	-
súnod	um	in	1	-	-	-	-	-	-
taas	mag	i	1	-	-	-	-	-	-
tabí	mag	i	1	-	-	-	-	-	-
tago'	mag	i	1	-	-	-	-	-	-
taguyod	mag	in	1	-	-	-	-	-	-
tahi'	mag	in	1	-	-	-	-	-	-
tahimik	um	in	1	-	-	-	-	-	-
tahol	um	an	1	-	-	-	-	-	-
taka	mag	in	1	-	-	-	-	-	-
takbo	um	in	1	-	-	-	-	-	-
takip	mag	in	1	-	-	-	-	-	-
takot	ma	in	1	-	-	-	-	-	-
talon	um	in	1	-	-	-	-	-	-
tanan	mag	in	1	-	-	-	-	-	-
tanggal	mag	in	1	-	-	-	-	-	-
tanggap	um	in	1	-	-	-	-	-	-
tanggi	um	an	1	-	-	-	-	-	-
tanim	mag	in	1	-	-	-	-	-	itatanim
tanong	mag	in	1	-	-	-	-	-	-
tapon	mag	in	1	-	-	-	-	-	itatapon
tapos	um	in	1	-	-	-	-	-	-
tatad	um	in	1	-	-	-	-	-	-
tawa	um	in	1	-	-	-	-	-	-
tawag	um	in	1	-	-	-	-	-	-
tawid	um	in	1	-	-	-	-	-	-
tayó'	mag	i	1	-	-	-	-	-	-
timbang	mag	in	1	-	-	-	-	-	-
tinda	mag	i	1	-	-	-	-	-	-
tingin	um	in	1	-	-	-	-	-	-
tingín	um	in	1	-	-	-	-	-	-
tira	um	in	1	-	-	-	-	-	-
trabaho	mag	in	0	-	-	-	-	-	-
tugtog	um	in	1	-	-	-	-	-	-
tulak	mag	in	1	-	-	-	-	-	-
tulog	ma	an	1	-	-	-	-	-	-
tulong	um	an	1	-	-	-	-	-	-
tuloy	um	i	1	-	-	-	-	-	-
turo'	mag	in	1	-	-	-	-	-	-
táas	mag	in	1	-	-	-	-	-	-
tákot	mang	in	1	-	-	-	-	-	-
tángo'	um	in	1	-	-	-	-	-	-
tápos	mag	in	1	-	-	-	-	-	-
táyo'	um	in	1	-	-	-	-	-	-
ulat	mag	in	1	-	-	-	-	-	-
ulit	um	in	1	-	-	-	-	-	-
umpisa	mag	an	1	-	-	-	-	-	-
unlad	um	in	1	-	-	-	-	-	-
upa	um	an	1	-	-	-	-	-	-
upo'	um	in	1	-	-	-	-	-	-
usap	mag	in	1	-	-	-	-	-	-
usog	um	in	1	-	-	-	-	-	-
utang	um	in	1	-	-	-	-	-	-
utos	mag	an	1	-	-	-	-	-	-
uwí'	mag	in	1	-	-	-	-	-	-
wagi'	mag	in	1	-	-	-	-	-	-
wala'	ma	in	1	-	-	-	-	-	-
walis	mag	in	1	-	-	-	-	-	-
walá'	ma	in	1	-	-	-	-	-	-
wasak	mag	in	1	-	-	-	-	-	-
yabang	mag	in	1	-	-	-	-	-	-
yakap	um	in	1	-	-	-	-	-	-
yari'	mang	in	1	-	-	-	-	-	-
ábot	um	in	1	-	-	-	-	-	-
ása	um	in	1	-	-	-	-	-	-
útot	um	in	1	-	-	-	-	-	-
